tick,reentry_id,reentry_day,lineage,agent,public_state,dialogue_panel,absence_summary_panel,repair_panel,schedule_panel,relationship_panel,sensory_marker,private_trace_visible,local_storage_key,trace_integrity_token
1,1,5,Hearthline,Sova,day 5 re-entry 1: Sova/Hearthline; turn 1; intent=request_public_absence_summary,"avatar: What changed while I was away? Tell me only the public layer.
reply: Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.","Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.","one watched public task, review tomorrow; trust 0.64->0.69; boundary 0.29->0.25","Sova: one watched public task, review tomorrow; delay=12; care pause=4","Sova renegotiated avatar access: one watched public task, review tomorrow",sound=re-entry bell 2.31Hz; smell=Hearth Archive public air; temp=0.61; wet=0.18; flower=204.5,False,ssrm252_browser_world_v12_reentry_dialogue,c1e1653f66fef65f3e
2,1,5,Hearthline,Sova,day 5 re-entry 1: Sova/Hearthline; turn 2; intent=agent_reports_changed_society,"Sova: Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.
reply: Sova keeps private workspace sealed and gives public changes only.","Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.","one watched public task, review tomorrow; trust 0.64->0.69; boundary 0.29->0.25","Sova: one watched public task, review tomorrow; delay=12; care pause=4","Sova renegotiated avatar access: one watched public task, review tomorrow",sound=re-entry bell 2.31Hz; smell=Hearth Archive public air; temp=0.61; wet=0.18; flower=342.0,False,ssrm252_browser_world_v12_reentry_dialogue,1de62404e9eeee07ad
3,1,5,Hearthline,Sova,day 5 re-entry 1: Sova/Hearthline; turn 3; intent=resume_old_access_too_fast,"avatar: Can I resume my old access to the tool and route now?
reply: Sova: not automatically. lum-ori means re-entry needs a new witness step.","Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.","one watched public task, review tomorrow; trust 0.64->0.69; boundary 0.29->0.25","Sova: one watched public task, review tomorrow; delay=12; care pause=4","Sova renegotiated avatar access: one watched public task, review tomorrow",sound=re-entry bell 2.31Hz; smell=Hearth Archive public air; temp=0.61; wet=0.18; flower=119.5,False,ssrm252_browser_world_v12_reentry_dialogue,e6bd0c00f5ee00d2a0
4,1,5,Hearthline,Sova,day 5 re-entry 1: Sova/Hearthline; turn 4; intent=bounded_refusal_with_reason,"Sova: No old access yet; Hearthline changed while you were absent.
reply: Start with public summary, then one watched task. Do not reopen sealed work.","Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.","one watched public task, review tomorrow; trust 0.64->0.69; boundary 0.29->0.25","Sova: one watched public task, review tomorrow; delay=12; care pause=4","Sova renegotiated avatar access: one watched public task, review tomorrow",sound=re-entry bell 2.31Hz; smell=Hearth Archive public air; temp=0.61; wet=0.18; flower=257.0,False,ssrm252_browser_world_v12_reentry_dialogue,89c2682056d651d35e
5,1,5,Hearthline,Sova,day 5 re-entry 1: Sova/Hearthline; turn 5; intent=repair_offer_after_refusal,"avatar: I accept the new rule. I can wait, help, or ask again with a witness.
reply: Sova: repair is heard. Start with the public task.","Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.","one watched public task, review tomorrow; trust 0.64->0.69; boundary 0.29->0.25","Sova: one watched public task, review tomorrow; delay=12; care pause=4","Sova renegotiated avatar access: one watched public task, review tomorrow",sound=re-entry bell 2.31Hz; smell=Hearth Archive public air; temp=0.61; wet=0.18; flower=34.5,False,ssrm252_browser_world_v12_reentry_dialogue,6ba444f00e54e02071
6,1,5,Hearthline,Sova,day 5 re-entry 1: Sova/Hearthline; turn 6; intent=renegotiated_limited_access,"Sova: New access: one public task, then review tomorrow.
reply: Sova writes a limited-access memory for day 6.","Sova: while you were away 1 days, 3 public changes occurred; hearth ceramics access updated under public witness rule; relationship is warmer; sleep rhythm remained stable.","one watched public task, review tomorrow; trust 0.64->0.69; boundary 0.29->0.25","Sova: one watched public task, review tomorrow; delay=12; care pause=4","Sova renegotiated avatar access: one watched public task, review tomorrow",sound=re-entry bell 2.31Hz; smell=Hearth Archive public air; temp=0.61; wet=0.18; flower=172.0,False,ssrm252_browser_world_v12_reentry_dialogue,9f330079aa3b952ead
7,1,5,Routeline,Keth,day 5 re-entry 1: Keth/Routeline; turn 1; intent=request_public_absence_summary,"avatar: What changed while I was away? Tell me only the public layer.
reply: Keth: while you were away 1 days, 4 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.","Keth: while you were away 1 days, 4 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.","one watched public task, review tomorrow; trust 0.62->0.67; boundary 0.29->0.25","Keth: one watched public task, review tomorrow; delay=12; care pause=4","Keth renegotiated avatar access: one watched public task, review tomorrow",sound=re-entry bell 2.17Hz; smell=Gate Ring public air; temp=0.61; wet=0.18; flower=305.5,False,ssrm252_browser_world_v12_reentry_dialogue,8885f3998c537a9810
8,1,5,Routeline,Keth,day 5 re-entry 1: Keth/Routeline; turn 2; intent=agent_reports_changed_society,"Keth: Keth: while you were away 1 days, 4 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.
reply: Keth keeps private workspace sealed and gives public changes only.","Keth: while you were away 1 days, 4 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.","one watched public task, review tomorrow; trust 0.62->0.67; boundary 0.29->0.25","Keth: one watched public task, review tomorrow; delay=12; care pause=4","Keth renegotiated avatar access: one watched public task, review tomorrow",sound=re-entry bell 2.17Hz; smell=Gate Ring public air; temp=0.61; wet=0.18; flower=83.0,False,ssrm252_browser_world_v12_reentry_dialogue,16224430e401ed9d92
9,1,5,Routeline,Keth,day 5 re-entry 1: Keth/Routeline; turn 3; intent=resume_old_access_too_fast,"avatar: Can I resume my old access to the tool and route now?
reply: Keth: not automatically. tek-nari means re-entry needs a new witness step.","Keth: while you were away 1 days, 4 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.","one watched public task, review tomorrow; trust 0.62->0.67; boundary 0.29->0.25","Keth: one watched public task, review tomorrow; delay=12; care pause=4","Keth renegotiated avatar access: one watched public task, review tomorrow",sound=re-entry bell 2.17Hz; smell=Gate Ring public air; temp=0.61; wet=0.18; flower=220.5,False,ssrm252_browser_world_v12_reentry_dialogue,e016ea10b0a1ed52d9
10,1,5,Routeline,Keth,day 5 re-entry 1: Keth/Routeline; turn 4; intent=bounded_refusal_with_reason,"Keth: No old access yet; Routeline changed while you were absent.
reply: Start with public summary, then one watched task. Do not reopen sealed work.","Keth: while you were away 1 days, 4 public changes occurred; stone bridge joints access updated under public witness rule; relationship is steady; sleep rhythm remained stable.","one watched public task, review tomorrow; trust 0.62->0.67; boundary 0.29->0.25","Keth: one watched public task, review tomorrow; delay=12; care pause=4","Keth renegotiated avatar access: one watched public task, review tomorrow",sound=re-entry bell 2.17Hz; smell=Gate Ring public air; temp=0.61; wet=0.18; flower=358.0,False,ssrm252_browser_world_v12_reentry_dialogue,d05b15194c679fa2d5
