channel,passed,score,evidence,failure_if_false
report_332_readable_restart_gate_passed,True,1.0,Report 332 verdict=pass weakest=1.0,Report 333 would not be grounded in a passing readable-handoff gate
pre_patch_continue_action_defect_found,True,1.0,"persisted readable handoff has no visible Continue from prepared handoff control; persisted readable handoff does not restore a visible prepared-handoff download link after reload; visible next-action text points to handoff use, but no handoff-local continue control exists",Report 333 would not be tied to an observed missing continue-action defect
pre_patch_download_restore_defect_found,True,1.0,"persisted readable handoff has no visible Continue from prepared handoff control; persisted readable handoff does not restore a visible prepared-handoff download link after reload; visible next-action text points to handoff use, but no handoff-local continue control exists",Report 333 would not be tied to an observed missing restored-download defect
continue_action_source_generated,True,1.0,"generator, emitted JS, and emitted HTML contain the prepared-handoff action bridge",regeneration would remove the handoff continue/download action card
readable_resume_status_visible,True,1.0,"Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",restart card does not preserve the readable fresh resume handoff status
continue_control_visible,True,1.0,"Continue from prepared resume handoff
Download prepared outside-review handoff JSON",no visible Continue from prepared handoff control is restored after reload
continue_control_href_resume_shell,True,1.0,"{'disabled': False, 'download': '', 'href': '../ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?source=primary-demo-v63', 'id': 'continuePreparedHandoff', 'tag': 'a', 'text': 'Continue from prepared resume handoff'}",continue control does not target the maintained resume shell URL
download_link_restored_after_reload,True,1.0,[Circular],prepared handoff download link is not restored from persisted state after reload
status_next_action_matches_control,True,1.0,"Outside-review handoff ready: fresh resume handoff; checklist 7/7; shell evidence reviewer pass seen / receipt 9/9 / replay export ready; recorder 1 manual record(s) / export ready; next action: click Continue from prepared resume handoff, or download Prepared outside-review handoff JSON.",status next-action text does not match the visible continue control
raw_json_preview_still_fresh_resume,True,1.0,fresh=True kind=resume,action card broke the raw fresh resume JSON preview
continue_click_reaches_shell,True,1.0,http://127.0.0.1:8795/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?source=primary-demo-v63,clicking Continue from prepared handoff does not reach the maintained shell
shell_reviewer_controls_visible_after_continue,True,1.0,reviewer=True runPass=True return=True,continued shell session does not expose reviewer controls and return path
browser_console_clean,True,1.0,consoleErrors=0 messages=[],handoff continue-action browser flow produced console errors
boundary_preserved,True,1.0,"Deterministic browser-local handoff continue action bridge only; no LLM calls, no subjective consciousness, no autonomous natural language, no moral patienthood, no production persistence, no complete 3D engine, and no finished gameplay claim. This is local restart UX and review workflow hygiene, not external validation or evidence of inner experience.",report boundary implies more than browser-local restart workflow hardening
