tick_id,day,settlement_id,resident_id,project_id,project_name,scheduled_slot,task_site,project_stage,progress_before,progress_after,resident_owned_schedule,schedule_conflict_present,schedule_conflict_resolved,world_state_target,private_workspace_sealed,frequency_hz,flower_phase
0,1,glass_harbor,Oren,4691632fda,mend fog net,day-001:tick-00:resident-led,fog rail,prepare,0.08,0.089,True,True,False,fog rail:mend fog net,True,6.38721,0.034556
1,1,cinder_garden,Vale,669e90cbc3,repair seed calendar,day-001:tick-01:resident-led,seed shelf,work,0.08,0.091,True,False,True,seed shelf:repair seed calendar,True,8.95039,0.058889
2,1,lichen_bridge,Sol,797e050dde,weave spare rope,day-001:tick-02:resident-led,signal post,inspect,0.08,0.091,True,False,True,signal post:weave spare rope,True,7.62339,0.051222
3,1,orchid_engine,Bea,936769c116,stabilize steam kettle,day-001:tick-03:resident-led,orchid bay,handoff,0.08,0.091,True,False,True,orchid bay:stabilize steam kettle,True,9.95639,0.077556
4,1,moss_ward,Fay,23961e054e,patch blanket loom,day-001:tick-04:resident-led,rain gate,restock,0.08,0.091,True,False,True,rain gate:patch blanket loom,True,5.30939,0.034889
5,1,glass_harbor,Puck,4e34e5eca9,mark crossing rope,day-001:tick-05:resident-led,net room,survey,0.08,0.091,True,False,True,net room:mark crossing rope,True,6.45239,0.051222
6,1,cinder_garden,Wren,f54993de4d,sort ember fruit,day-001:tick-06:resident-led,shade tent,prepare,0.08,0.091,True,False,True,shade tent:sort ember fruit,True,9.01539,0.075556
7,1,lichen_bridge,Kio,e74a8726db,repair meal ledger,day-001:tick-07:resident-led,rope bridge,work,0.08,0.091,True,False,True,rope bridge:repair meal ledger,True,7.68839,0.067889
8,1,orchid_engine,Cai,fee339b1d9,clean gear wash,day-001:tick-08:resident-led,gear wash,inspect,0.08,0.091,True,False,True,gear wash:clean gear wash,True,10.02139,0.094222
9,1,moss_ward,Milo,d27f39c290,raise warm-cup shelf,day-001:tick-09:resident-led,root alcove,handoff,0.08,0.091,True,False,True,root alcove:raise warm-cup shelf,True,5.37439,0.051556
10,1,glass_harbor,Sera,c5ce3bb82a,mend fog net,day-001:tick-10:resident-led,lamp pier,restock,0.08,0.091,True,False,True,lamp pier:mend fog net,True,6.51739,0.067889
11,1,cinder_garden,Juno,ab3857f6de,repair seed calendar,day-001:tick-11:resident-led,ash path,survey,0.08,0.091,True,True,True,ash path:repair seed calendar,True,9.08039,0.092222
12,1,lichen_bridge,Luma,6e76849c77,weave spare rope,day-001:tick-12:resident-led,meal room,prepare,0.08,0.091,True,False,True,meal room:weave spare rope,True,7.75339,0.084556
13,1,orchid_engine,Dax,1194905158,stabilize steam kettle,day-001:tick-13:resident-led,engine ring,work,0.08,0.091,True,False,True,engine ring:stabilize steam kettle,True,10.08639,0.110889
14,1,moss_ward,Tala,ffd144b235,patch blanket loom,day-001:tick-14:resident-led,blanket room,inspect,0.08,0.091,True,False,True,blanket room:patch blanket loom,True,5.43939,0.068222
15,1,glass_harbor,Nia,e283abe06a,mark crossing rope,day-001:tick-15:resident-led,fog rail,handoff,0.08,0.091,True,False,True,fog rail:mark crossing rope,True,6.58239,0.084556
16,1,cinder_garden,Pax,f91854767d,sort ember fruit,day-001:tick-16:resident-led,seed shelf,restock,0.08,0.091,True,False,True,seed shelf:sort ember fruit,True,9.14539,0.108889
17,1,lichen_bridge,Rin,47513db752,repair meal ledger,day-001:tick-17:resident-led,signal post,survey,0.08,0.091,True,False,True,signal post:repair meal ledger,True,7.81839,0.101222
18,2,moss_ward,Milo,48ae12c016,copy root ledger,day-002:tick-00:resident-led,rain gate,work,0.08,0.091,True,False,True,rain gate:copy root ledger,True,5.4916,0.082111
19,2,glass_harbor,Sera,ea7173b0ad,relight public lamp,day-002:tick-01:resident-led,net room,inspect,0.08,0.091,True,False,True,net room:relight public lamp,True,6.63474,0.098444
20,2,cinder_garden,Juno,5f79a57e6f,cool ash path,day-002:tick-02:resident-led,shade tent,handoff,0.08,0.091,True,False,True,shade tent:cool ash path,True,9.1976,0.122778
21,2,lichen_bridge,Luma,e1bab827b9,test rope bridge,day-002:tick-03:resident-led,rope bridge,restock,0.08,0.091,True,False,True,rope bridge:test rope bridge,True,7.87074,0.115111
22,2,orchid_engine,Dax,3645f43e1d,tend orchid lamp,day-002:tick-04:resident-led,gear wash,survey,0.08,0.091,True,True,True,gear wash:tend orchid lamp,True,10.2036,0.141444
23,2,moss_ward,Tala,28589c06c6,drain rain path,day-002:tick-05:resident-led,root alcove,prepare,0.08,0.091,True,False,True,root alcove:drain rain path,True,5.55674,0.098778
24,2,glass_harbor,Nia,9a5c1e063a,seal fog catcher,day-002:tick-06:resident-led,lamp pier,work,0.08,0.091,True,False,True,lamp pier:seal fog catcher,True,6.6996,0.115111
25,2,cinder_garden,Pax,da2b247900,shade seed rows,day-002:tick-07:resident-led,ash path,inspect,0.08,0.091,True,False,True,ash path:shade seed rows,True,9.26274,0.139444
26,2,lichen_bridge,Rin,0d07f43a57,mark signal bell,day-002:tick-08:resident-led,meal room,handoff,0.08,0.091,True,False,True,meal room:mark signal bell,True,7.9356,0.131778
