tick_id,day,agent,project_id,followup_kind,request_text,tied_to_blocker,tied_to_fatigue,tied_to_material,next_consequence,player_visible
0,1,Ari,west_bridge_repair,none,none,false,false,false,none,false
1,1,Fay,herb_roof_garden,none,none,false,false,false,none,false
2,1,Milo,north_lantern_relay,none,none,false,false,false,none,false
3,1,Nia,archive_weather_log,none,none,false,false,false,none,false
4,1,Ari,west_bridge_repair,none,none,false,false,false,none,false
5,1,Fay,herb_roof_garden,none,none,false,false,true,none,false
6,1,Milo,north_lantern_relay,none,none,false,false,false,none,false
7,1,Nia,archive_weather_log,progress_notice,Nia: The sort step moved forward.,false,false,true,trust/access improves if repaired; project slows if ignored,true
8,1,Ari,west_bridge_repair,none,none,false,false,false,none,false
9,1,Fay,herb_roof_garden,none,none,true,false,true,none,false
10,1,Milo,north_lantern_relay,none,none,false,false,true,none,false
11,1,Nia,archive_weather_log,none,none,false,false,false,none,false
12,1,Ari,west_bridge_repair,none,none,false,false,false,none,false
13,1,Fay,herb_roof_garden,none,none,false,false,false,none,false
14,1,Milo,north_lantern_relay,none,none,false,false,false,none,false
15,1,Nia,archive_weather_log,none,none,false,false,true,none,false
16,1,Ari,west_bridge_repair,none,none,false,false,false,none,false
17,1,Fay,herb_roof_garden,none,none,false,false,false,none,false
18,2,Milo,north_lantern_relay,none,none,false,false,false,none,false
19,2,Nia,archive_weather_log,none,none,false,false,false,none,false
20,2,Ari,west_bridge_repair,none,none,false,false,true,none,false
21,2,Fay,herb_roof_garden,none,none,false,false,false,none,false
22,2,Milo,north_lantern_relay,none,none,false,false,false,none,false
23,2,Nia,archive_weather_log,none,none,false,false,false,none,false
24,2,Ari,west_bridge_repair,none,none,false,false,false,none,false
25,2,Fay,herb_roof_garden,none,none,false,false,true,none,false
26,2,Milo,north_lantern_relay,none,none,false,false,false,none,false
27,2,Nia,archive_weather_log,none,none,false,false,false,none,false
28,2,Ari,west_bridge_repair,none,none,false,false,false,none,false
29,2,Fay,herb_roof_garden,none,none,false,false,false,none,false
30,2,Milo,north_lantern_relay,none,none,false,false,false,none,false
31,2,Nia,archive_weather_log,none,none,true,false,true,none,false
32,2,Ari,west_bridge_repair,none,none,false,false,false,none,false
33,2,Fay,herb_roof_garden,none,none,false,false,false,none,false
34,2,Milo,north_lantern_relay,none,none,false,false,false,none,false
35,2,Nia,archive_weather_log,none,none,false,false,false,none,false
36,3,Fay,herb_roof_garden,none,none,false,false,false,none,false
37,3,Milo,north_lantern_relay,none,none,false,false,false,none,false
38,3,Nia,archive_weather_log,none,none,false,false,false,none,false
39,3,Ari,west_bridge_repair,none,none,false,false,true,none,false
40,3,Fay,herb_roof_garden,none,none,false,false,false,none,false
41,3,Milo,north_lantern_relay,none,none,false,false,false,none,false
42,3,Nia,archive_weather_log,none,none,false,false,false,none,false
43,3,Ari,west_bridge_repair,none,none,false,false,false,none,false
44,3,Fay,herb_roof_garden,none,none,false,false,false,none,false
45,3,Milo,north_lantern_relay,none,none,false,false,true,none,false
46,3,Nia,archive_weather_log,none,none,false,false,false,none,false
47,3,Ari,west_bridge_repair,none,none,false,false,false,none,false
48,3,Fay,herb_roof_garden,none,none,false,false,false,none,false
49,3,Milo,north_lantern_relay,none,none,false,false,false,none,false
50,3,Nia,archive_weather_log,none,none,false,false,true,none,false
51,3,Ari,west_bridge_repair,none,none,false,false,false,none,false
52,3,Fay,herb_roof_garden,none,none,false,false,false,none,false
53,3,Milo,north_lantern_relay,none,none,false,false,false,none,false
54,4,Nia,archive_weather_log,none,none,false,false,false,none,false
55,4,Ari,west_bridge_repair,none,none,false,false,false,none,false
56,4,Fay,herb_roof_garden,none,none,false,false,false,none,false
57,4,Milo,north_lantern_relay,none,none,false,false,false,none,false
58,4,Nia,archive_weather_log,none,none,false,false,true,none,false
59,4,Ari,west_bridge_repair,none,none,false,false,false,none,false
60,4,Fay,herb_roof_garden,none,none,false,false,true,none,false
61,4,Milo,north_lantern_relay,none,none,false,false,false,none,false
62,4,Nia,archive_weather_log,none,none,false,false,false,none,false
63,4,Ari,west_bridge_repair,none,none,false,false,false,none,false
64,4,Fay,herb_roof_garden,none,none,false,false,false,none,false
65,4,Milo,north_lantern_relay,none,none,false,false,true,none,false
66,4,Nia,archive_weather_log,none,none,false,false,false,none,false
67,4,Ari,west_bridge_repair,none,none,false,false,false,none,false
68,4,Fay,herb_roof_garden,none,none,false,false,false,none,false
69,4,Milo,north_lantern_relay,none,none,false,false,false,none,false
70,4,Nia,archive_weather_log,none,none,false,false,false,none,false
71,4,Ari,west_bridge_repair,none,none,false,false,false,none,false
72,5,Fay,herb_roof_garden,none,none,false,false,false,none,false
73,5,Milo,north_lantern_relay,none,none,false,false,false,none,false
74,5,Nia,archive_weather_log,none,none,false,false,false,none,false
75,5,Ari,west_bridge_repair,none,none,false,false,true,none,false
76,5,Fay,herb_roof_garden,none,none,false,false,false,none,false
77,5,Milo,north_lantern_relay,none,none,false,false,false,none,false
78,5,Nia,archive_weather_log,none,none,false,false,false,none,false
79,5,Ari,west_bridge_repair,none,none,false,false,false,none,false
80,5,Fay,herb_roof_garden,none,none,false,false,false,none,false
81,5,Milo,north_lantern_relay,none,none,false,false,true,none,false
82,5,Nia,archive_weather_log,none,none,false,false,false,none,false
83,5,Ari,west_bridge_repair,none,none,false,false,false,none,false
84,5,Fay,herb_roof_garden,none,none,false,false,false,none,false
85,5,Milo,north_lantern_relay,none,none,false,false,false,none,false
86,5,Nia,archive_weather_log,none,none,false,false,true,none,false
