tick,day,scene_id,focus_agent,avatar_scene_visible,sprite_layers_visible,collision_probe_visible,object_ceremony_visible,input_affordance_visible,sensory_frequency_hz,flower_phase,public_behavior_marker,private_workspace_sealed
0,1,v20-scene-d01,Keth,1,0,1,0,1,1.19,73.113968,collision probe redirects avatar step,1
1,1,v20-scene-d01,Melo,1,1,1,0,1,1.15,210.901732,avatar shifts around negotiation ring,1
2,1,v20-scene-d01,Nari,1,1,1,0,1,1.15,348.979496,avatar shifts around negotiation ring,1
3,1,v20-scene-d01,Ori,1,1,1,0,1,1.05,123.95726,avatar shifts around negotiation ring,1
4,1,v20-scene-d01,Vonn,1,0,1,1,1,1.12,264.425024,object ceremony path clears and handoff animates,1
5,1,v20-scene-d01,Sova,1,1,1,1,1,1.12,42.502788,object ceremony path clears and handoff animates,1
6,1,v20-scene-d01,Keth,1,1,1,1,1,1.12,179.630552,object ceremony path clears and handoff animates,1
7,1,v20-scene-d01,Melo,1,1,1,1,1,1.22,321.758316,object ceremony path clears and handoff animates,1
8,1,v20-scene-d01,Nari,1,1,1,0,0,1.15,97.44608,avatar shifts around negotiation ring,1
9,1,v20-scene-d01,Ori,1,1,1,1,1,1.22,237.913844,object ceremony path clears and handoff animates,1
10,1,v20-scene-d01,Vonn,1,1,1,1,1,1.22,15.991608,object ceremony path clears and handoff animates,1
11,1,v20-scene-d01,Sova,1,1,1,1,1,1.12,150.969372,object ceremony path clears and handoff animates,1
12,1,v20-scene-d01,Keth,1,1,1,1,1,1.12,289.047136,object ceremony path clears and handoff animates,1
13,1,v20-scene-d01,Melo,1,1,1,1,1,1.12,67.1249,object ceremony path clears and handoff animates,1
14,2,v20-scene-d02,Ori,1,1,1,1,1,1.22,200.450781,object ceremony path clears and handoff animates,1
15,2,v20-scene-d02,Vonn,1,1,1,0,1,1.15,336.138545,avatar shifts around negotiation ring,1
16,2,v20-scene-d02,Sova,1,1,1,1,1,1.22,116.606309,object ceremony path clears and handoff animates,1
17,2,v20-scene-d02,Keth,1,1,1,1,1,1.22,254.684073,object ceremony path clears and handoff animates,1
18,2,v20-scene-d02,Melo,1,1,1,1,1,1.16,30.901837,object ceremony path clears and handoff animates,1
19,2,v20-scene-d02,Nari,1,1,1,1,1,1.12,167.739601,object ceremony path clears and handoff animates,1
20,2,v20-scene-d02,Ori,1,1,1,1,1,1.12,305.817365,object ceremony path clears and handoff animates,1
21,2,v20-scene-d02,Vonn,1,1,1,1,1,1.12,82.945129,object ceremony path clears and handoff animates,1
22,2,v20-scene-d02,Sova,1,1,1,0,1,1.15,222.682893,avatar shifts around negotiation ring,1
23,2,v20-scene-d02,Keth,1,1,1,1,1,1.22,3.150657,object ceremony path clears and handoff animates,1
24,2,v20-scene-d02,Melo,1,1,1,1,1,1.22,141.228421,object ceremony path clears and handoff animates,1
25,2,v20-scene-d02,Nari,1,1,1,1,1,1.26,280.546185,object ceremony path clears and handoff animates,1
26,2,v20-scene-d02,Ori,1,1,1,1,1,1.16,55.523949,object ceremony path clears and handoff animates,1
27,2,v20-scene-d02,Vonn,1,0,1,1,1,1.16,193.601713,object ceremony path clears and handoff animates,1
28,3,v20-scene-d03,Keth,1,0,1,1,1,1.16,322.847641,object ceremony path clears and handoff animates,1
29,3,v20-scene-d03,Melo,1,1,1,0,1,1.19,102.585405,collision probe redirects avatar step,1
30,3,v20-scene-d03,Nari,1,1,1,1,1,1.22,241.813169,object ceremony path clears and handoff animates,1
31,3,v20-scene-d03,Ori,1,1,1,0,0,1.19,18.740933,collision probe redirects avatar step,1
32,3,v20-scene-d03,Vonn,1,1,1,1,1,1.22,157.968697,object ceremony path clears and handoff animates,1
33,3,v20-scene-d03,Sova,1,1,1,1,1,1.12,292.946461,object ceremony path clears and handoff animates,1
34,3,v20-scene-d03,Keth,1,1,1,1,1,1.12,71.024225,object ceremony path clears and handoff animates,1
35,3,v20-scene-d03,Melo,1,1,1,1,1,1.12,209.101989,object ceremony path clears and handoff animates,1
36,3,v20-scene-d03,Nari,1,1,1,0,1,1.09,345.079753,collision probe redirects avatar step,1
37,3,v20-scene-d03,Ori,1,0,1,1,1,1.22,128.357517,object ceremony path clears and handoff animates,1
38,3,v20-scene-d03,Vonn,1,1,1,1,1,1.22,266.435281,object ceremony path clears and handoff animates,1
39,3,v20-scene-d03,Sova,1,1,1,1,1,1.22,44.513045,object ceremony path clears and handoff animates,1
40,3,v20-scene-d03,Keth,1,1,1,0,1,1.15,180.200809,avatar shifts around negotiation ring,1
41,3,v20-scene-d03,Melo,1,0,1,1,1,1.12,317.568573,object ceremony path clears and handoff animates,1
42,4,v20-scene-d04,Ori,1,1,1,1,1,1.12,87.723746,object ceremony path clears and handoff animates,1
43,4,v20-scene-d04,Vonn,1,0,1,0,1,1.05,222.46151,avatar shifts around negotiation ring,1
44,4,v20-scene-d04,Sova,1,1,1,1,1,1.22,6.979274,object ceremony path clears and handoff animates,1
45,4,v20-scene-d04,Keth,1,1,1,1,1,1.26,146.297038,object ceremony path clears and handoff animates,1
46,4,v20-scene-d04,Melo,1,1,1,1,1,1.22,283.134802,object ceremony path clears and handoff animates,1
47,4,v20-scene-d04,Nari,1,1,1,1,1,1.22,61.212566,object ceremony path clears and handoff animates,1
48,4,v20-scene-d04,Ori,1,1,1,1,1,1.12,196.19033,object ceremony path clears and handoff animates,1
