tick,day,scene_id,agent,initiated_kind,target_object,initiated_by_reaction,initiated_by_inventory_need,visible_to_avatar,later_behavior_effect,initiation_score
0,1,v23-scene-d01,Keth,none,path cord,0,1,0,no visible later change,1.0
1,1,v23-scene-d01,Ori,none,sap hook,0,0,0,no visible later change,1.0
2,1,v23-scene-d01,Ori,none,sap hook,0,1,0,no visible later change,1.0
3,1,v23-scene-d01,Nari,none,ink ledger,0,1,0,no visible later change,1.0
4,1,v23-scene-d01,Sova,none,moth lantern,0,1,0,no visible later change,1.0
5,1,v23-scene-d01,Melo,none,tally beads,0,0,0,no visible later change,1.0
6,1,v23-scene-d01,Nari,calls-for-return,fern key,1,1,1,pathing and access changed,1.0
7,1,v23-scene-d01,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
8,1,v23-scene-d01,Sova,none,moth lantern,0,1,0,no visible later change,1.0
9,1,v23-scene-d01,Nari,later-followup,ink ledger,1,0,1,pathing and access changed,1.0
10,1,v23-scene-d01,Sova,calls-for-return,moth lantern,1,1,1,pathing and access changed,1.0
11,1,v23-scene-d01,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
12,1,v23-scene-d01,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
13,1,v23-scene-d01,Melo,none,tally beads,0,0,0,no visible later change,1.0
14,1,v23-scene-d01,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
15,1,v23-scene-d01,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
16,2,v23-scene-d02,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
17,2,v23-scene-d02,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
18,2,v23-scene-d02,Vonn,none,listening shell,0,1,0,no visible later change,1.0
19,2,v23-scene-d02,Vonn,calls-for-return,rain mirror,1,1,1,pathing and access changed,1.0
20,2,v23-scene-d02,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
21,2,v23-scene-d02,Keth,none,path cord,0,0,0,pathing and access changed,1.0
22,2,v23-scene-d02,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
23,2,v23-scene-d02,Keth,none,path cord,0,0,0,pathing and access changed,1.0
24,2,v23-scene-d02,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
25,2,v23-scene-d02,Nari,none,fern key,0,0,0,pathing and access changed,1.0
26,2,v23-scene-d02,Vonn,invites-help,listening shell,1,1,1,pathing and access changed,1.0
27,2,v23-scene-d02,Nari,invites-help,fern key,1,1,1,pathing and access changed,1.0
28,2,v23-scene-d02,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
29,2,v23-scene-d02,Sova,none,moth lantern,0,0,0,pathing and access changed,1.0
30,2,v23-scene-d02,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
31,2,v23-scene-d02,Melo,calls-for-return,tally beads,1,1,1,pathing and access changed,1.0
32,3,v23-scene-d03,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
33,3,v23-scene-d03,Nari,none,ink ledger,0,0,0,pathing and access changed,1.0
34,3,v23-scene-d03,Sova,asks-to-inspect,moth lantern,1,1,1,pathing and access changed,1.0
35,3,v23-scene-d03,Keth,invites-help,path cord,1,1,1,pathing and access changed,1.0
36,3,v23-scene-d03,Sova,calls-for-return,moth lantern,1,1,1,pathing and access changed,1.0
37,3,v23-scene-d03,Sova,calls-for-return,ember bowl,1,1,0,pathing and access changed,0.75
38,3,v23-scene-d03,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
39,3,v23-scene-d03,Ori,none,sap hook,0,0,0,pathing and access changed,1.0
40,3,v23-scene-d03,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
41,3,v23-scene-d03,Sova,invites-help,ember bowl,1,1,1,pathing and access changed,1.0
42,3,v23-scene-d03,Nari,asks-to-inspect,fern key,1,1,1,pathing and access changed,1.0
43,3,v23-scene-d03,Sova,later-followup,ember bowl,1,0,1,pathing and access changed,1.0
44,3,v23-scene-d03,Vonn,invites-help,rain mirror,1,1,1,pathing and access changed,1.0
45,3,v23-scene-d03,Keth,none,path cord,0,0,0,no visible later change,1.0
46,3,v23-scene-d03,Nari,none,fern key,0,0,0,pathing and access changed,1.0
47,3,v23-scene-d03,Melo,invites-help,tally beads,1,1,1,pathing and access changed,1.0
48,4,v23-scene-d04,Sova,calls-for-return,ember bowl,1,1,1,pathing and access changed,1.0
49,4,v23-scene-d04,Melo,none,tally beads,0,0,0,pathing and access changed,1.0
50,4,v23-scene-d04,Nari,invites-help,ink ledger,1,1,1,pathing and access changed,1.0
51,4,v23-scene-d04,Ori,none,sap hook,0,0,0,no visible later change,1.0
52,4,v23-scene-d04,Keth,none,path cord,0,0,0,pathing and access changed,1.0
