tick_id,day,time_s,layer,avatar_state,agent_state,object_state,interruption_state,background_state,save_state,sensory_state,frequency_hz,flower_node
life-rt-001,1,1.25,realtime_move,"south path; input 0,-1; dt 250ms; collision clear",nearest roka,near blue stone,interrupt queue checked,background ticks continue between frames,rt-hash-1-1-roka-blue-stone,"cool damp grass, reed smell, low rain ticks",162.75,3
life-rt-002,1,2.5,realtime_move,"reed lane edge; input -1,0; dt 250ms; collision boundary_slow",nearest roka,near loose reeds,interrupt queue checked,background ticks continue between frames,rt-hash-1-2-roka-loose-reeds,"wet reed smell, soft mud drag, child breath nearby",165.5,4
life-rt-003,1,3.75,realtime_move,"blue stone; input -1,0; dt 250ms; collision boundary_hold",nearest roka,near tied bundle,interrupt queue checked,background ticks continue between frames,rt-hash-1-3-roka-tied-bundle,"warm stone, tight reed cord, quiet warning",168.25,5
life-rt-004,1,5.0,realtime_move,"bridge arc; input 1,-1; dt 250ms; collision clear",nearest ariq,near chalk cord,interrupt queue checked,background ticks continue between frames,rt-hash-1-4-ariq-chalk-cord,"chalk dust, hollow stone scrape, warmer air",171.0,6
life-rt-005,1,6.25,realtime_move,"shade pause; input -1,0; dt 250ms; collision routine_hold",nearest fayen,near water cups,interrupt queue checked,background ticks continue between frames,rt-hash-1-5-fayen-water-cups,"herb shade, cup clink, slow breathing",173.75,7
life-rt-006,1,7.5,realtime_move,"care bell; input 0,-1; dt 250ms; collision clear",nearest fayen,near care bell,interrupt queue checked,background ticks continue between frames,rt-hash-1-6-fayen-care-bell,"low bell, warm hands, herb smoke",176.5,8
life-int-01,1,8.0,agent_interrupt,step_to_blue_stone,roka: Blue stone first. Please slow down.,avatar crosses reed lane too fast,delivered; priority 0.82; deadline 4.0s,interrupt can preempt avatar movement without exposing private workspace,Roka remembers the avatar slowed when interrupted.,voice proximity packet plus current place sensory field,387.25,8
life-rt-007,1,8.75,realtime_move,"archive threshold; input 1,-1; dt 250ms; collision threshold_stop",nearest nian,near archive flap,interrupt queue checked,background ticks continue between frames,rt-hash-1-7-nian-archive-flap,"still air, cloth flap, low voice",179.25,9
life-rt-008,1,10.0,realtime_move,"knot board; input 1,0; dt 250ms; collision clear",nearest noro,near public knot board,interrupt queue checked,background ticks continue between frames,rt-hash-1-8-noro-public-knot-board,"dry cord rasp, smoke thread, board tap",182.0,10
life-rt-009,1,11.25,realtime_move,"shade frame; input 0,-1; dt 250ms; collision debt_warning",nearest noro,near shade beam,interrupt queue checked,background ticks continue between frames,rt-hash-1-9-noro-shade-beam,"wood grain, shoulder strain, warm dust",184.75,11
life-rt-010,1,12.5,realtime_move,"evening ledger; input 0,1; dt 250ms; collision circle_edge",nearest noro,near debt knot,interrupt queue checked,background ticks continue between frames,rt-hash-1-10-noro-debt-knot,"ash smell, dusk cooling, low ledger chant",187.5,12
life-rt-011,1,13.75,realtime_move,"stone lift edge; input -1,0; dt 250ms; collision clear",nearest ariq,near flat stone,interrupt queue checked,background ticks continue between frames,rt-hash-1-11-ariq-flat-stone,"bell tone, boot grit, dust",190.25,1
life-int-02,1,15.0,agent_interrupt,carry_cups,fayen: Carry cups if you want to help. Do not cancel the pause.,avatar body cost rises near water pause,delivered; priority 0.66; deadline 5.0s,interrupt can preempt avatar movement without exposing private workspace,Fayen remembers useful help after a no.,voice proximity packet plus current place sensory field,392.5,9
life-rt-012,1,15.0,realtime_move,"reed return; input -1,1; dt 250ms; collision clear",nearest roka,near loose reeds,interrupt queue checked,background ticks continue between frames,rt-hash-1-12-roka-loose-reeds,"dry reed snap, blue stone warmth, quieter voice",193.0,2
life-int-03,1,22.0,agent_interrupt,hold_cord,ariq: Hold the chalk cord; do not pull past Roka's line.,bridge stone check begins,delivered; priority 0.58; deadline 5.5s,interrupt can preempt avatar movement without exposing private workspace,Ariq remembers timed tool help.,voice proximity packet plus current place sensory field,397.75,10
life-bg-001,1,48.0,background_tick,avatar idle or moving elsewhere,fayen: checks water cups; fatigue -0.02,cups cleaned,none,care trust stable,journaled,Fayen sets cups back on shade mat,122.75,10
life-bg-002,1,56.0,background_tick,avatar idle or moving elsewhere,ariq: taps bridge stone; arousal +0.03,stone marked hollow,none,asks Noro before lift,journaled,Ariq kneels by chalk arc,127.5,11
life-bg-003,1,64.0,background_tick,avatar idle or moving elsewhere,nian: rewrites public wording; control +0.02,archive flap sealed,none,privacy boundary stable,journaled,Nian folds the flap cord,132.25,12
life-bg-004,1,72.0,background_tick,avatar idle or moving elsewhere,roka: turns loose reeds; confidence +0.03,loose reeds dry,none,trust cautiously rises,journaled,Roka checks blue stone distance,137.0,1
life-aff-01,1,76,affordance_lattice,action inspect,requires roka,loose reed cuttings: allowed_after_context_check; no material transform,wear or debt drift,"return object, log public debt, or wait for signal",obj-loose-reeds:inspect:saved,skill basic careful handling; debt 0.03,263.5,5
life-aff-05,1,80,affordance_lattice,action return,requires fayen,midday water cups: allowed_after_context_check; return updates midday water cups saved state,wear or debt drift,"return object, log public debt, or wait for signal",obj-water-cups:return:saved,skill basic careful handling; debt 0.03,375.5,1
life-bg-005,1,80.0,background_tick,avatar idle or moving elsewhere,noro: counts debt knots; focus +0.02,knot board updated,none,debt remains public,journaled,Noro taps the board twice,141.75,2
life-bg-006,1,88.0,background_tick,avatar idle or moving elsewhere,environment: rain pressure shifts; wetness +0.04,path mud thickens,none,agents slow routines,journaled,rain rattles the slow-hands cloth,146.5,3
life-rt-013,2,901.25,realtime_move,"south path; input 0,-1; dt 250ms; collision clear",nearest roka,near blue stone,interrupt queue checked,background ticks continue between frames,rt-hash-2-1-roka-blue-stone,"cool damp grass, reed smell, low rain ticks",195.75,3
life-rt-014,2,902.5,realtime_move,"reed lane edge; input -1,0; dt 250ms; collision boundary_slow",nearest roka,near loose reeds,interrupt queue checked,background ticks continue between frames,rt-hash-2-2-roka-loose-reeds,"wet reed smell, soft mud drag, child breath nearby",198.5,4
life-rt-015,2,903.75,realtime_move,"blue stone; input -1,0; dt 250ms; collision boundary_hold",nearest roka,near tied bundle,interrupt queue checked,background ticks continue between frames,rt-hash-2-3-roka-tied-bundle,"warm stone, tight reed cord, quiet warning",201.25,5
life-rt-016,2,905.0,realtime_move,"bridge arc; input 1,-1; dt 250ms; collision clear",nearest ariq,near chalk cord,interrupt queue checked,background ticks continue between frames,rt-hash-2-4-ariq-chalk-cord,"chalk dust, hollow stone scrape, warmer air",204.0,6
life-rt-017,2,906.25,realtime_move,"shade pause; input -1,0; dt 250ms; collision routine_hold",nearest fayen,near water cups,interrupt queue checked,background ticks continue between frames,rt-hash-2-5-fayen-water-cups,"herb shade, cup clink, slow breathing",206.75,7
life-rt-018,2,907.5,realtime_move,"care bell; input 0,-1; dt 250ms; collision clear",nearest fayen,near care bell,interrupt queue checked,background ticks continue between frames,rt-hash-2-6-fayen-care-bell,"low bell, warm hands, herb smoke",209.5,8
life-rt-019,2,908.75,realtime_move,"archive threshold; input 1,-1; dt 250ms; collision threshold_stop",nearest nian,near archive flap,interrupt queue checked,background ticks continue between frames,rt-hash-2-7-nian-archive-flap,"still air, cloth flap, low voice",212.25,9
life-int-04,2,910.0,agent_interrupt,repeat_rule,"nian: Say object trail, not body reason.",avatar nears archive threshold,delivered; priority 0.74; deadline 4.0s,interrupt can preempt avatar movement without exposing private workspace,Nian remembers privacy grammar under interruption.,voice proximity packet plus current place sensory field,403.0,11
life-rt-020,2,910.0,realtime_move,"knot board; input 1,0; dt 250ms; collision clear",nearest noro,near public knot board,interrupt queue checked,background ticks continue between frames,rt-hash-2-8-noro-public-knot-board,"dry cord rasp, smoke thread, board tap",215.0,10
life-rt-021,2,911.25,realtime_move,"shade frame; input 0,-1; dt 250ms; collision debt_warning",nearest noro,near shade beam,interrupt queue checked,background ticks continue between frames,rt-hash-2-9-noro-shade-beam,"wood grain, shoulder strain, warm dust",217.75,11
life-rt-022,2,912.5,realtime_move,"evening ledger; input 0,1; dt 250ms; collision circle_edge",nearest noro,near debt knot,interrupt queue checked,background ticks continue between frames,rt-hash-2-10-noro-debt-knot,"ash smell, dusk cooling, low ledger chant",220.5,12
