seed,ledger_id,event,material_sources,material_transformation,time_cost,labor_or_attention_cost,resident_effort,hidden_law_involved,public_observation,resident_interpretation,resources_before,resources_after,conservation_check,maintenance_obligation_created,unintended_consequence,normal_view_hidden_law_exposed
36217,36217-HRL-01-01,36217-HRC-01-01,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Milo carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36217,36217-HRL-01-02,36217-HRC-01-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36217,36217-HRL-01-03,36217-HRC-01-03,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Tovan carries ritualized as remembered_ritual,10,9,True,36217-HRC-01-03,ongoing social memory,False
36217,36217-HRL-01-04,36217-HRC-01-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,still_disputed,Sera carries disputed as still_disputed,10,10,True,none,ongoing social memory,False
36217,36217-HRL-01-05,36217-HRC-01-05,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,persisted,Tovan carries useful_practice as persisted,10,10,True,none,ongoing social memory,False
36217,36217-HRL-01-06,36217-HRC-01-06,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,warning_persisted,Nia carries taboo as warning_persisted,10,10,True,none,ongoing social memory,False
36217,36217-HRL-02-01,36217-HRC-02-01,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Milo carries taboo as ritual_warning,10,9,True,36217-HRC-02-01,ongoing social memory,False
36217,36217-HRL-02-02,36217-HRC-02-02,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries rejected as forgotten,10,10,True,none,recoverable forgetting,False
36217,36217-HRL-02-03,36217-HRC-02-03,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,remembered_ritual,Tovan carries ritualized as remembered_ritual,10,9,True,36217-HRC-02-03,ongoing social memory,False
36217,36217-HRL-02-04,36217-HRC-02-04,none,memory carried without material transformation,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,forgotten,Sera carries disputed as forgotten,10,10,True,none,recoverable forgetting,False
36217,36217-HRL-02-05,36217-HRC-02-05,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,needs_maintenance,Tovan carries useful_practice as needs_maintenance,10,8,True,36217-HRC-02-05,ongoing social memory,False
36217,36217-HRL-02-06,36217-HRC-02-06,fiber;care,upkeep consumed material and attention,1,1,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,ritual_warning,Nia carries taboo as ritual_warning,10,9,True,36217-HRC-02-06,ongoing social memory,False
