metric,value
report,298
seed,20270505
verdict,pass
readiness,0.940653
mean_channel_score,0.981218
weakest_channel_score,0.846
weakest_named_channel,consolidated_vertical_slice_not_finished_product
integrated_loop_frames,4680
resident_scheduler_frames,4680
avatar_action_frames,4680
memory_debt_frames,4680
offscreen_activity_frames,4680
consequence_loop_frames,4680
dashboard_frames,4680
save_restore_replay_frames,1114
browser_ticks,4680
browser_buttons,172
live_days,260
ticks_per_day,18
refusal_frames,324
offscreen_life_frames,4680
source_v57_continuity,1.0
single_world_state_loop_binding,1.0
avatar_action_visible_consequence,1.0
resident_scheduler_continuity,0.930769
offscreen_life_progression,1.0
memory_debt_obligation_persistence,1.0
trust_repair_nonmagical,1.0
resident_refusal_boundary,1.0
recoverable_harm_guardrail,0.97906
save_restore_replay_integrity,1.0
dashboard_surface_usability,1.0
no_consciousness_claim_boundary,1.0
consolidated_vertical_slice_not_finished_product,0.846
