tick,day,replay_id,scene_id,includes_scene_visit,includes_task_obligation,includes_return_obligation,includes_trust_access_drift,includes_followup,includes_repair_or_deferral,includes_storage_snapshot,deterministic_order,replay_integrity_score
0,1,v24-replay-0000,v24-scene-d01,1,1,1,True,True,False,1,1,1.0
1,1,v24-replay-0001,v24-scene-d01,1,0,True,True,True,True,1,1,0.981481
2,1,v24-replay-0002,v24-scene-d01,1,1,1,1,1,False,1,1,0.977778
3,1,v24-replay-0003,v24-scene-d01,1,1,1,True,True,False,1,1,0.972222
4,1,v24-replay-0004,v24-scene-d01,1,1,1,True,True,False,1,1,1.0
5,1,v24-replay-0005,v24-scene-d01,1,0,True,True,True,True,1,1,0.972222
6,1,v24-replay-0006,v24-scene-d01,1,1,1,True,True,False,1,1,0.981481
7,1,v24-replay-0007,v24-scene-d01,1,1,1,1,True,False,1,1,0.959259
8,1,v24-replay-0008,v24-scene-d01,1,1,1,True,True,False,1,1,0.972222
9,1,v24-replay-0009,v24-scene-d01,1,0,True,True,True,True,1,1,1.0
10,1,v24-replay-0010,v24-scene-d01,1,1,1,True,True,False,1,1,0.972222
11,1,v24-replay-0011,v24-scene-d01,1,1,1,True,True,False,0,1,0.935185
12,1,v24-replay-0012,v24-scene-d01,1,1,True,1,True,1,1,1,0.977778
13,1,v24-replay-0013,v24-scene-d01,1,0,True,True,True,True,1,1,0.953704
14,1,v24-replay-0014,v24-scene-d01,1,1,1,True,True,False,1,1,0.972222
15,1,v24-replay-0015,v24-scene-d01,1,1,1,True,True,False,1,1,0.972222
16,1,v24-replay-0016,v24-scene-d01,1,1,1,1,1,1,1,1,1.0
17,1,v24-replay-0017,v24-scene-d01,1,0,True,True,True,True,1,1,0.953704
18,2,v24-replay-0018,v24-scene-d02,1,1,1,True,True,False,1,1,1.0
19,2,v24-replay-0019,v24-scene-d02,1,1,1,1,1,False,1,1,0.977778
20,2,v24-replay-0020,v24-scene-d02,1,1,1,1,1,1,1,1,1.0
21,2,v24-replay-0021,v24-scene-d02,1,0,True,True,True,True,1,1,0.953704
22,2,v24-replay-0022,v24-scene-d02,1,1,True,1,1,False,1,1,1.0
23,2,v24-replay-0023,v24-scene-d02,1,1,1,1,1,1,1,1,1.0
24,2,v24-replay-0024,v24-scene-d02,1,1,1,1,1,False,1,1,0.977778
25,2,v24-replay-0025,v24-scene-d02,1,1,1,True,True,False,1,1,1.0
26,2,v24-replay-0026,v24-scene-d02,1,1,1,True,True,False,1,1,0.981481
27,2,v24-replay-0027,v24-scene-d02,1,1,1,1,1,1,1,1,0.933333
28,2,v24-replay-0028,v24-scene-d02,1,1,1,True,True,False,1,1,0.972222
29,2,v24-replay-0029,v24-scene-d02,1,1,1,True,True,False,1,1,1.0
30,2,v24-replay-0030,v24-scene-d02,1,1,1,True,True,False,1,1,0.972222
31,2,v24-replay-0031,v24-scene-d02,1,1,1,1,True,False,1,1,0.937037
32,2,v24-replay-0032,v24-scene-d02,1,1,1,True,True,False,1,1,0.972222
33,2,v24-replay-0033,v24-scene-d02,1,0,True,True,True,True,1,1,0.972222
34,2,v24-replay-0034,v24-scene-d02,1,1,1,1,1,1,1,1,1.0
35,2,v24-replay-0035,v24-scene-d02,1,1,1,True,True,False,1,1,1.0
36,3,v24-replay-0036,v24-scene-d03,1,1,1,1,True,False,1,1,0.959259
37,3,v24-replay-0037,v24-scene-d03,1,1,1,True,True,False,1,1,0.972222
38,3,v24-replay-0038,v24-scene-d03,1,1,True,1,1,False,1,1,0.993889
39,3,v24-replay-0039,v24-scene-d03,1,1,1,True,True,False,1,1,1.0
40,3,v24-replay-0040,v24-scene-d03,1,1,1,True,True,False,1,1,1.0
41,3,v24-replay-0041,v24-scene-d03,1,1,True,1,1,False,1,1,0.993889
42,3,v24-replay-0042,v24-scene-d03,1,1,True,1,1,False,1,1,0.993889
43,3,v24-replay-0043,v24-scene-d03,1,1,True,1,1,False,1,1,0.993889
44,3,v24-replay-0044,v24-scene-d03,1,1,1,True,True,False,1,1,0.972222
45,3,v24-replay-0045,v24-scene-d03,1,0,True,True,True,True,1,1,0.972222
46,3,v24-replay-0046,v24-scene-d03,1,1,1,True,True,False,1,1,0.953704
47,3,v24-replay-0047,v24-scene-d03,1,1,True,1,1,False,1,1,0.993889
48,3,v24-replay-0048,v24-scene-d03,1,1,1,True,True,False,1,1,0.953704
49,3,v24-replay-0049,v24-scene-d03,1,0,True,True,True,True,1,1,0.972222
50,3,v24-replay-0050,v24-scene-d03,1,1,True,1,1,False,1,1,0.993889
51,3,v24-replay-0051,v24-scene-d03,1,1,1,True,True,False,1,1,0.953704
52,3,v24-replay-0052,v24-scene-d03,1,1,1,True,True,False,1,1,0.972222
53,3,v24-replay-0053,v24-scene-d03,1,0,True,True,True,True,1,1,0.972222
