tick_id,day,agent,infrastructure_id,initiative_kind,message,tied_to_stock,tied_to_wear,tied_to_skill,tied_to_failure,player_visible
0,1,Ari,river_mill_bridge,none,none,False,False,True,False,False
1,1,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
2,1,Nia,archive_public_kiosk,none,none,False,False,True,False,False
3,1,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
4,1,Ari,river_mill_bridge,none,none,False,False,True,False,False
5,1,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
6,1,Nia,archive_public_kiosk,none,none,False,False,True,False,False
7,1,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
8,1,Ari,river_mill_bridge,none,none,False,False,True,False,False
9,1,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
10,1,Nia,archive_public_kiosk,none,none,False,False,True,False,False
11,1,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
12,1,Ari,river_mill_bridge,none,none,False,False,True,False,False
13,1,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
14,1,Nia,archive_public_kiosk,none,none,False,False,True,False,False
15,1,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
16,1,Ari,river_mill_bridge,none,none,False,False,True,False,False
17,1,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
18,2,Nia,archive_public_kiosk,none,none,False,False,True,False,False
19,2,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
20,2,Ari,river_mill_bridge,none,none,False,False,True,False,False
21,2,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
22,2,Nia,archive_public_kiosk,none,none,False,False,True,False,False
23,2,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
24,2,Ari,river_mill_bridge,none,none,False,False,True,False,False
25,2,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
26,2,Nia,archive_public_kiosk,none,none,False,False,True,False,False
27,2,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
28,2,Ari,river_mill_bridge,none,none,False,False,True,False,False
29,2,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
30,2,Nia,archive_public_kiosk,ecology_care_notice,Nia: weather notice accuracy changed after today's work.,False,False,True,False,True
31,2,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
32,2,Ari,river_mill_bridge,none,none,False,False,True,False,False
33,2,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
34,2,Nia,archive_public_kiosk,none,none,False,False,True,False,False
35,2,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
36,3,Ari,river_mill_bridge,none,none,False,False,True,False,False
37,3,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
38,3,Nia,archive_public_kiosk,none,none,False,False,True,False,False
39,3,Milo,dusk_signal_workshop,ecology_care_notice,Milo: night movement pressure changed after today's work.,False,False,True,False,True
40,3,Ari,river_mill_bridge,none,none,False,False,True,False,False
41,3,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
42,3,Nia,archive_public_kiosk,none,none,False,False,True,False,False
43,3,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
44,3,Ari,river_mill_bridge,none,none,False,False,True,False,False
45,3,Fay,roof_greenhouse_cistern,none,none,False,False,True,False,False
46,3,Nia,archive_public_kiosk,none,none,False,False,True,False,False
47,3,Milo,dusk_signal_workshop,none,none,False,False,True,False,False
