tick_index,day,agent,public_routine_marker,public_body_affect_marker,public_relationship_marker,private_history_hint,replay_checkpoint,trace_integrity_token
1,1,Ari,day 1 dawn: Ari chooses quiet_route_scan,steady_continuity; sleep_debt=0.28; recovery=0.23,continues_neutral_boundary; trust=0.52; avoid=0.21,history_charge=0.22; autonomy=0.79; reason=relationship state remains bounded,r243-day01-tick001,r243:1:Ari:90bff84411
2,1,Fay,day 1 dawn: Fay chooses share_water,steady_continuity; sleep_debt=0.24; recovery=0.32,approaches_for_shared_task_later; trust=0.65; avoid=0.15,history_charge=0.18; autonomy=0.81; reason=help became recovery memory,no_checkpoint,r243:2:Fay:f32886ff20
3,1,Milo,day 1 dawn: Milo chooses wake_check_body,steady_continuity; sleep_debt=0.24; recovery=0.26,continues_neutral_boundary; trust=0.58; avoid=0.18,history_charge=0.19; autonomy=0.83; reason=relationship state remains bounded,no_checkpoint,r243:3:Milo:d650f5a877
4,1,Sol,day 1 dawn: Sol chooses prepare_tools,steady_continuity; sleep_debt=0.24; recovery=0.32,approaches_for_shared_task_later; trust=0.52; avoid=0.15,history_charge=0.17; autonomy=0.86; reason=help became recovery memory,no_checkpoint,r243:4:Sol:d9b0f9bca2
5,1,Ari,day 1 dawn: Ari chooses prepare_tools,steady_continuity; sleep_debt=0.30; recovery=0.28,approaches_for_shared_task_later; trust=0.54; avoid=0.18,history_charge=0.19; autonomy=0.85; reason=help became recovery memory,no_checkpoint,r243:5:Ari:2d999b4788
6,1,Fay,day 1 dawn: Fay chooses quiet_route_scan,steady_continuity; sleep_debt=0.28; recovery=0.25,shares_private_hint_voluntarily; trust=0.62; avoid=0.18,history_charge=0.21; autonomy=0.71; reason=trust stable across days,no_checkpoint,r243:6:Fay:271f68ae13
7,1,Milo,day 1 dawn: Milo chooses share_water,steady_continuity; sleep_debt=0.30; recovery=0.21,continues_neutral_boundary; trust=0.59; avoid=0.18,history_charge=0.19; autonomy=0.83; reason=relationship state remains bounded,no_checkpoint,r243:7:Milo:a6f4074a4f
8,1,Sol,day 1 dawn: Sol chooses wake_check_body,steady_continuity; sleep_debt=0.26; recovery=0.35,approaches_for_shared_task_later; trust=0.54; avoid=0.13,history_charge=0.14; autonomy=0.84; reason=help became recovery memory,no_checkpoint,r243:8:Sol:a973767659
9,1,Ari,day 1 day: Ari chooses repair_route,steady_continuity; sleep_debt=0.33; recovery=0.32,approaches_for_shared_task_later; trust=0.57; avoid=0.16,history_charge=0.16; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:9:Ari:90cb4173d5
10,1,Fay,day 1 day: Fay chooses market_exchange,steady_continuity; sleep_debt=0.30; recovery=0.30,approaches_for_shared_task_later; trust=0.65; avoid=0.16,history_charge=0.18; autonomy=0.83; reason=help became recovery memory,no_checkpoint,r243:10:Fay:6b404f046b
11,1,Milo,day 1 day: Milo chooses repair_route,steady_continuity; sleep_debt=0.36; recovery=0.18,continues_neutral_boundary; trust=0.56; avoid=0.20,history_charge=0.21; autonomy=0.79; reason=relationship state remains bounded,no_checkpoint,r243:11:Milo:8579ae5363
