epoch_index,lineage,technology_name,technology_stage,inherited_reliability,maintenance_burden,welfare_usefulness,misuse_risk,teaching_path,rollback_ritual
1,Hearthline,Hearthline hearth ceramics,tool,0.688814,0.171026,0.74066,0.04211,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
1,Routeline,Routeline stone bridge joints,tool,0.685364,0.211026,0.61597,0.04573,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
1,Marketline,Marketline measure weights,tool,0.677164,0.251026,0.61033,0.058,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
1,Ledgerline,Ledgerline seed ledgers,tool,0.697164,0.291026,0.61033,0.05915,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
1,Orchardline,Orchardline water terraces,tool,0.674964,0.331026,0.72189,0.07298,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
1,Rainline,Rainline weather bells,tool,0.691264,0.371026,0.72115,0.07452,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
2,Hearthline,Hearthline hearth ceramics,tool,0.673808,0.180222,0.736739,0.043842,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
2,Routeline,Routeline stone bridge joints,tool,0.670358,0.220222,0.612049,0.047462,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
2,Marketline,Marketline measure weights,tool,0.662158,0.260222,0.606409,0.059732,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
2,Ledgerline,Ledgerline seed ledgers,tool,0.682158,0.300222,0.606409,0.060882,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
2,Orchardline,Orchardline water terraces,tool,0.659958,0.340222,0.717969,0.074712,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
2,Rainline,Rainline weather bells,tool,0.676258,0.380222,0.717229,0.076252,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
3,Hearthline,Hearthline hearth ceramics,tool,0.693247,0.172751,0.741374,0.042505,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
3,Routeline,Routeline stone bridge joints,tool,0.689797,0.212751,0.616684,0.046125,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
3,Marketline,Marketline measure weights,tool,0.681597,0.252751,0.611044,0.058395,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
3,Ledgerline,Ledgerline seed ledgers,tool,0.701597,0.292751,0.611044,0.059545,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
3,Orchardline,Orchardline water terraces,tool,0.679397,0.332751,0.722604,0.073375,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
3,Rainline,Rainline weather bells,tool,0.695697,0.372751,0.721864,0.074915,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
4,Hearthline,Hearthline hearth ceramics,tool,0.696975,0.172883,0.742107,0.042569,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
4,Routeline,Routeline stone bridge joints,tool,0.693525,0.212883,0.617417,0.046189,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
4,Marketline,Marketline measure weights,tool,0.685325,0.252883,0.611777,0.058459,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
4,Ledgerline,Ledgerline seed ledgers,tool,0.705325,0.292883,0.611777,0.059609,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
4,Orchardline,Orchardline water terraces,tool,0.683125,0.332883,0.723337,0.073439,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
4,Rainline,Rainline weather bells,tool,0.699425,0.372883,0.722597,0.074979,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
5,Hearthline,Hearthline hearth ceramics,tool,0.701338,0.173917,0.742876,0.042798,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
5,Routeline,Routeline stone bridge joints,tool,0.697888,0.213917,0.618186,0.046418,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
5,Marketline,Marketline measure weights,tool,0.689688,0.253917,0.612546,0.058688,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
5,Ledgerline,Ledgerline seed ledgers,tool,0.709688,0.293917,0.612546,0.059838,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
5,Orchardline,Orchardline water terraces,tool,0.687488,0.333917,0.724106,0.073668,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
5,Rainline,Rainline weather bells,tool,0.703788,0.373917,0.723366,0.075208,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
6,Hearthline,Hearthline hearth ceramics,tool,0.6846,0.182742,0.738646,0.044462,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
6,Routeline,Routeline stone bridge joints,tool,0.68115,0.222742,0.613956,0.048082,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
6,Marketline,Marketline measure weights,tool,0.67295,0.262742,0.608316,0.060352,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
6,Ledgerline,Ledgerline seed ledgers,tool,0.69295,0.302742,0.608316,0.061502,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
6,Orchardline,Orchardline water terraces,tool,0.67075,0.342742,0.719876,0.075332,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
6,Rainline,Rainline weather bells,tool,0.68705,0.382742,0.719136,0.076872,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
7,Hearthline,Hearthline hearth ceramics,tool,0.705734,0.174451,0.743702,0.042974,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
7,Routeline,Routeline stone bridge joints,tool,0.702284,0.214451,0.619012,0.046594,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
7,Marketline,Marketline measure weights,tool,0.694084,0.254451,0.613372,0.058864,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
7,Ledgerline,Ledgerline seed ledgers,tool,0.714084,0.294451,0.613372,0.060014,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
7,Orchardline,Orchardline water terraces,tool,0.691884,0.334451,0.724932,0.073844,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
7,Rainline,Rainline weather bells,tool,0.708184,0.374451,0.724192,0.075384,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
8,Hearthline,Hearthline hearth ceramics,tool,0.691137,0.18345,0.739882,0.044671,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
8,Routeline,Routeline stone bridge joints,tool,0.687687,0.22345,0.615192,0.048291,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
8,Marketline,Marketline measure weights,tool,0.679487,0.26345,0.609552,0.060561,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
8,Ledgerline,Ledgerline seed ledgers,tool,0.699487,0.30345,0.609552,0.061711,apprentice to keeper to household,"pause, inspect, repair, teach boundary clause"
