tick_index,agent,distress_detected,care_opportunity,recovery_path_available,recovery_expected_ticks,no_spectacle_guard,bounded_negative_state,recovery_progress
1,Ari,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
2,Fay,False,seek_dry_warm_route,True,2,distress_requires_recovery_or_refusal_path,True,0.43
3,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
4,Sol,False,lower_sound_and_distance,True,2,distress_requires_recovery_or_refusal_path,True,0.43
5,Ari,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
6,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
7,Milo,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.25
8,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
9,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
10,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
11,Milo,False,bounded_refusal_or_delay,True,2,distress_requires_recovery_or_refusal_path,True,0.25
12,Sol,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
13,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
14,Fay,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
15,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
16,Sol,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
17,Ari,False,seek_dry_warm_route,True,2,distress_requires_recovery_or_refusal_path,True,0.43
18,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
19,Milo,False,lower_sound_and_distance,True,2,distress_requires_recovery_or_refusal_path,True,0.25
20,Sol,False,bounded_refusal_or_delay,True,2,distress_requires_recovery_or_refusal_path,True,0.43
21,Ari,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
22,Fay,False,ordinary_self_regulation,True,4,distress_requires_recovery_or_refusal_path,True,0.43
23,Milo,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.8
24,Sol,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
25,Ari,False,active_recovery_present,True,1,distress_requires_recovery_or_refusal_path,True,0.98
