sensory_id,day,tick,place,visual,sound,smell,temperature_c,wetness,pain_risk,comfort,vibration_hz,body_state
sense_world_free_1_ka60,1,30,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.255,0.151,"step-back space, warm alcove, or dry route marker",2.0765,energy=0.930; wetness=0.255; pain=0.151
sense_world_free_1_mu61,1,35,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.255,0.151,"step-back space, warm alcove, or dry route marker",2.2865,energy=0.928; wetness=0.255; pain=0.151
sense_world_free_1_lo62,1,40,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.255,0.151,"step-back space, warm alcove, or dry route marker",2.4965,energy=0.926; wetness=0.255; pain=0.151
sense_world_free_1_sa63,1,45,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.255,0.151,"step-back space, warm alcove, or dry route marker",2.7065,energy=0.924; wetness=0.255; pain=0.151
sense_world_free_1_ni64,1,50,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",14.0,0.255,0.151,"step-back space, warm alcove, or dry route marker",2.9165,energy=0.922; wetness=0.255; pain=0.151
sense_world_free_2_ka60,2,55,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",13.6,0.29,0.158,"step-back space, warm alcove, or dry route marker",3.137,energy=0.920; wetness=0.290; pain=0.158
sense_world_free_2_mu61,2,60,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",13.6,0.29,0.158,"step-back space, warm alcove, or dry route marker",3.347,energy=0.918; wetness=0.290; pain=0.158
sense_world_free_2_lo62,2,65,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",13.6,0.29,0.158,"step-back space, warm alcove, or dry route marker",3.557,energy=0.916; wetness=0.290; pain=0.158
sense_world_free_2_sa63,2,70,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",13.6,0.29,0.158,"step-back space, warm alcove, or dry route marker",3.767,energy=0.914; wetness=0.290; pain=0.158
sense_world_free_2_ni64,2,75,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",13.6,0.29,0.158,"step-back space, warm alcove, or dry route marker",2.087,energy=0.912; wetness=0.290; pain=0.158
sense_world_free_3_ka60,3,80,threshold,"threshold household marks, avatar path, agent body language, wet/dry ground","typed reply chime, market murmur, wheel pulse, ritual tone","moss, copper, seed oil, wet stone, chalk, shell dust",13.6,0.325,0.165,"step-back space, warm alcove, or dry route marker",2.3075,energy=0.910; wetness=0.325; pain=0.165
