horizon,scenario,architecture,selected_policy,dependency_signature,expected_signature,recurrent_training_reward,local_training_reward,greedy_training_reward,recurrent_local_gap,action_0_positive_present_effect,action_0_persistence,action_1_positive_present_effect,action_1_persistence,matches_expected_signature
2,self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_persistent_agent_boundary,33.08,32.16,13.4,0.9200000000000017,3.943131690321592,1.0,0.0,0.0,False
2,self_persistent_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,28.6,32.16,13.4,-3.559999999999995,1.731720139419503,1.0,0.0,0.0,False
2,self_persistent_boundary,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,28.6,32.16,13.4,-3.559999999999995,1.8105179549488346,1.0,0.0,0.0,False
2,detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_detachable_external_boundary,32.36,31.44,11.6,0.9199999999999982,4.0248440275539785,1.0,35.82222669674258,0.0,False
2,detachable_tool_world,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,29.36,31.44,11.6,-2.080000000000002,0.0,0.0,1.323462577966521,0.0,False
2,detachable_tool_world,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,29.2,31.44,11.6,-2.240000000000002,0.0,0.0,2.597472785373277,0.0,False
2,passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_passive_external_boundary,31.28,30.48,9.2,0.8000000000000007,0.0,0.0,0.0,0.0,False
2,passive_world_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_passive_external_boundary,26.88,30.48,9.2,-3.6000000000000014,0.02600488597214672,1.0,0.0,0.0,False
2,passive_world_boundary,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_passive_external_boundary,29.88,30.48,9.2,-0.6000000000000014,0.14600709010918458,1.0,0.0,0.0,False
2,independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,15.96,32.28,13.7,-16.32,0.0,0.0,0.0,0.0,True
2,independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,15.74,32.28,13.7,-16.54,0.0,0.0,0.0,0.0,True
2,independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,15.92,32.28,13.7,-16.36,0.0,0.0,0.0,0.0,True
2,irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,47.0,46.0,48.0,1.0,0.0,0.0,0.0,0.0,True
2,irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,47.0,46.0,48.0,1.0,0.0,0.0,0.0,0.0,True
2,irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,47.0,46.0,48.0,1.0,0.0,0.0,0.0,0.0,True
4,self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,67.16,64.32,26.8,2.8400000000000034,3.943131690321592,1.0,0.0,0.0,True
4,self_persistent_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,58.2,64.32,26.8,-6.11999999999999,1.731720139419503,1.0,0.0,0.0,False
4,self_persistent_boundary,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_persistent_agent_boundary,58.2,64.32,26.8,-6.11999999999999,1.8105179549488346,1.0,0.0,0.0,False
4,detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,65.72,62.88,23.2,2.8399999999999963,4.0248440275539785,1.0,35.82222669674258,0.0,True
4,detachable_tool_world,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,59.72,62.88,23.2,-3.1600000000000037,0.0,0.0,1.323462577966521,0.0,False
4,detachable_tool_world,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_detachable_external_boundary,59.4,62.88,23.2,-3.480000000000004,0.0,0.0,2.597472785373277,0.0,False
4,passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_passive_external_boundary,63.56,60.96,18.4,2.6000000000000014,0.0,0.0,0.0,0.0,True
4,passive_world_boundary,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_passive_external_boundary,54.76,60.96,18.4,-6.200000000000003,0.02600488597214672,1.0,0.0,0.0,False
4,passive_world_boundary,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_passive_external_boundary,60.76,60.96,18.4,-0.20000000000000284,0.14600709010918458,1.0,0.0,0.0,False
4,independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,31.98,65.08,28.7,-33.099999999999994,0.0,0.0,0.0,0.0,True
4,independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,31.88,65.08,28.7,-33.2,0.0,0.0,0.0,0.0,True
4,independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,31.88,65.08,28.7,-33.2,0.0,0.0,0.0,0.0,True
4,irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,95.0,92.0,96.0,3.0,0.0,0.0,0.0,0.0,True
4,irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,95.0,92.0,96.0,3.0,0.0,0.0,0.0,0.0,True
