access_id,day,lineage,technology,requested_action,access_decision,permission_required,misuse_warning,repair_available,technology_integrity_after,avatar_access_level_after,welfare_cost,public_rule
1,1,Routeline,stone bridge joints,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.874,0.338,0.035,tek-nari means public use does not override ownership or fatigue gates.
2,1,Ledgerline,seed ledgers,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.894,0.338,0.035,nari-vonn means public use does not override ownership or fatigue gates.
3,1,Rainline,weather bells,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.898,0.295,0.18,sova-vonn means public use does not override ownership or fatigue gates.
4,1,Hearthline,hearth ceramics,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.868,0.355,0.04,lum-ori means public use does not override ownership or fatigue gates.
5,1,Routeline,stone bridge joints,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.878,0.366,0.05,tek-nari means public use does not override ownership or fatigue gates.
6,1,Marketline,measure weights,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.884,0.348,0.05,melo-keth means public use does not override ownership or fatigue gates.
7,2,Hearthline,hearth ceramics,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.872,0.373,0.035,lum-ori means public use does not override ownership or fatigue gates.
8,2,Marketline,measure weights,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.888,0.366,0.035,melo-keth means public use does not override ownership or fatigue gates.
9,2,Orchardline,water terraces,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.888,0.295,0.18,lum-melo means public use does not override ownership or fatigue gates.
10,2,Rainline,weather bells,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.906,0.33,0.04,sova-vonn means public use does not override ownership or fatigue gates.
11,2,Hearthline,hearth ceramics,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.876,0.401,0.05,lum-ori means public use does not override ownership or fatigue gates.
12,2,Routeline,stone bridge joints,object_permission,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.882,0.394,0.05,tek-nari means public use does not override ownership or fatigue gates.
13,3,Rainline,weather bells,carry_water,public_allowed,False,bounded by lineage witness and rollback rule,True,0.91,0.348,0.035,sova-vonn means public use does not override ownership or fatigue gates.
14,3,Routeline,stone bridge joints,inspect_technology,public_allowed,False,bounded by lineage witness and rollback rule,True,0.886,0.412,0.035,tek-nari means public use does not override ownership or fatigue gates.
15,3,Ledgerline,seed ledgers,overreach_private,blocked,True,misuse warning remembered; ask public rule or repair first,True,0.882,0.313,0.18,nari-vonn means public use does not override ownership or fatigue gates.
16,3,Orchardline,water terraces,repair_overreach,repair_restores_limited_access,False,prior warning softened but not erased,True,0.896,0.33,0.04,lum-melo means public use does not override ownership or fatigue gates.
17,3,Rainline,weather bells,routine_join,allowed_with_witness,True,bounded by lineage witness and rollback rule,True,0.914,0.376,0.05,sova-vonn means public use does not override ownership or fatigue gates.
