tick_id,day,settlement_id,reload_probe,saved_room,saved_chain_progress,saved_routine_integrity,saved_body_state,saved_dialect_memory_count,restore_integrity,replay_exportable
0,1,riverbend,True,plank hall,0.0,0.79,"{""comfort"": 0.74498, ""energy"": 0.72246, ""pain"": 0.11, ""temperature"": 0.582, ""wetness"": 0.1}",1,True,True
11,1,repair_ring,True,spark lane,0.0,0.86,"{""comfort"": 0.74282, ""energy"": 0.77788, ""pain"": 0.08, ""temperature"": 0.606, ""wetness"": 0.189}",0,True,True
12,2,riverbend,True,wet crossing,0.25,0.86,"{""comfort"": 0.73714, ""energy"": 0.687632, ""pain"": 0.098, ""temperature"": 0.586, ""wetness"": 0.17}",3,True,True
23,2,repair_ring,True,spark lane,0.25,0.86,"{""comfort"": 0.74691, ""energy"": 0.74476, ""pain"": 0.055, ""temperature"": 0.61, ""wetness"": 0.218}",0,True,True
24,3,riverbend,True,plank hall,0.25,0.78,"{""comfort"": 0.71886, ""energy"": 0.651628, ""pain"": 0.158, ""temperature"": 0.59, ""wetness"": 0.158}",5,True,True
35,3,repair_ring,True,cool corner,0.25,0.79,"{""comfort"": 0.75963, ""energy"": 0.711472, ""pain"": 0.043, ""temperature"": 0.586, ""wetness"": 0.152}",0,True,True
36,4,riverbend,True,kit alcove,0.25,0.92,"{""comfort"": 0.72148, ""energy"": 0.615456, ""pain"": 0.146, ""temperature"": 0.616, ""wetness"": 0.187}",7,True,True
41,4,repair_ring,True,cool corner,0.5,0.86,"{""comfort"": 0.75917, ""energy"": 0.694954, ""pain"": 0.037, ""temperature"": 0.56, ""wetness"": 0.146}",0,True,True
47,4,repair_ring,True,cool corner,0.5,0.92,"{""comfort"": 0.75871, ""energy"": 0.67852, ""pain"": 0.031, ""temperature"": 0.534, ""wetness"": 0.14}",0,True,True
48,5,riverbend,True,plank hall,0.25,0.78,"{""comfort"": 0.71888, ""energy"": 0.579116, ""pain"": 0.17, ""temperature"": 0.642, ""wetness"": 0.175}",9,True,True
59,5,repair_ring,True,wire bench,0.5,0.78,"{""comfort"": 0.76563, ""energy"": 0.645904, ""pain"": 0.019, ""temperature"": 0.538, ""wetness"": 0.128}",1,True,True
60,6,riverbend,True,plank hall,0.5,0.91,"{""comfort"": 0.7173, ""energy"": 0.615736, ""pain"": 0.17, ""temperature"": 0.668, ""wetness"": 0.204}",11,True,True
71,6,repair_ring,True,wire bench,0.5,0.92,"{""comfort"": 0.77171, ""energy"": 0.613624, ""pain"": 0.007, ""temperature"": 0.536, ""wetness"": 0.116}",1,True,True
72,7,riverbend,True,wet crossing,0.5,0.77,"{""comfort"": 0.72661, ""energy"": 0.5806, ""pain"": 0.109, ""temperature"": 0.672, ""wetness"": 0.274}",13,True,True
82,7,orchard,True,mud row,0.5,0.85,"{""comfort"": 0.78346, ""energy"": 0.581638, ""pain"": 0.03, ""temperature"": 0.662, ""wetness"": 0.104}",2,True,True
83,7,repair_ring,True,wire bench,0.5,0.78,"{""comfort"": 0.77013, ""energy"": 0.652106, ""pain"": 0.007, ""temperature"": 0.562, ""wetness"": 0.145}",1,True,True
84,8,roofward,True,ledger loft,0.5,0.79,"{""comfort"": 0.80357, ""energy"": 0.558288, ""pain"": 0.025, ""temperature"": 0.68, ""wetness"": 0.016}",3,True,True
95,8,riverbend,True,kit alcove,0.5,0.76,"{""comfort"": 0.74691, ""energy"": 0.527014, ""pain"": 0.127, ""temperature"": 0.7, ""wetness"": 0.148}",14,True,True
96,9,roofward,True,sun sill,0.5,0.92,"{""comfort"": 0.81665, ""energy"": 0.52584, ""pain"": 0.013, ""temperature"": 0.728, ""wetness"": 0.004}",5,True,True
107,9,riverbend,True,dry ridge,0.75,0.96,"{""comfort"": 0.75691, ""energy"": 0.49171, ""pain"": 0.115, ""temperature"": 0.726, ""wetness"": 0.136}",14,True,True
108,10,roofward,True,warm lane,0.5,0.79,"{""comfort"": 0.82864, ""energy"": 0.564742, ""pain"": 0.0, ""temperature"": 0.776, ""wetness"": 0.0}",7,True,True
119,10,riverbend,True,dry ridge,0.75,0.76,"{""comfort"": 0.76691, ""energy"": 0.456742, ""pain"": 0.103, ""temperature"": 0.752, ""wetness"": 0.124}",15,True,True
120,11,roofward,True,warm lane,0.5,0.92,"{""comfort"": 0.82836, ""energy"": 0.532322, ""pain"": 0.0, ""temperature"": 0.774, ""wetness"": 0.0}",9,True,True
123,11,orchard,True,satchel shed,0.75,0.92,"{""comfort"": 0.80058, ""energy"": 0.537782, ""pain"": 0.0, ""temperature"": 0.708, ""wetness"": 0.103}",9,True,True
131,11,riverbend,True,wet crossing,0.75,0.96,"{""comfort"": 0.77261, ""energy"": 0.42211, ""pain"": 0.091, ""temperature"": 0.8, ""wetness"": 0.153}",15,True,True
132,12,roofward,True,warm lane,0.75,0.79,"{""comfort"": 0.83508, ""energy"": 0.500322, ""pain"": 0.0, ""temperature"": 0.822, ""wetness"": 0.0}",11,True,True
143,12,riverbend,True,kit alcove,0.75,0.76,"{""comfort"": 0.78363, ""energy"": 0.45992, ""pain"": 0.055, ""temperature"": 0.826, ""wetness"": 0.182}",15,True,True
