tick_id,day,agent_id,dominant_need,dominant_feeling,current_focus,active_memory_key,relationship_concern,intended_next_action,predicted_next_event,suppressed_action,self_note_hash,private_workspace_sealed,public_leakage_blocked
0,1,Ari,continue task,watchful,keep the west route dry,memory:Ari:0,avatar respect,continue,avatar asks again,ignore request,v36-047932,True,True
1,1,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:0,avatar reliability,continue,avatar asks again,ignore request,v36-131974,True,True
2,1,Nia,continue task,watchful,protect the clean signal pattern,memory:Nia:0,avatar respect,continue,avatar asks again,ignore request,v36-255898,True,True
3,1,Milo,continue task,watchful,keep the path visible,memory:Milo:0,avatar reliability,continue,avatar waits,ignore request,v36-029205,True,True
4,1,Ivo,continue task,watchful,keep the seeds dry,memory:Ivo:0,avatar reliability,continue,avatar waits,ignore request,v36-939622,True,True
5,1,Juno,continue task,settled,finish the wire without sparks,memory:Juno:0,avatar reliability,continue,avatar asks again,ignore request,v36-247057,True,True
6,1,Ari,continue task,watchful,keep the west route dry,memory:Ari:1,avatar reliability,continue,avatar waits,ignore request,v36-048916,True,True
7,1,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:0,avatar reliability,continue,avatar waits,ignore request,v36-132958,True,True
8,1,Nia,continue task,watchful,protect the clean signal pattern,memory:Nia:1,avatar reliability,continue,avatar asks again,ignore request,v36-256882,True,True
9,1,Milo,continue task,watchful,oil lantern,memory:Milo:0,avatar reliability,explain condition,avatar asks again,ignore request,v36-024695,True,True
10,1,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:1,avatar respect,continue,avatar asks again,ignore request,v36-951803,True,True
11,1,Juno,continue task,settled,finish the wire without sparks,memory:Juno:0,avatar reliability,continue,avatar asks again,ignore request,v36-260621,True,True
12,2,Ari,continue task,watchful,cedar repair kit,memory:Ari:1,avatar reliability,explain condition,avatar asks again,ignore request,v36-110458,True,True
13,2,Fay,continue task,settled,herb ledger,memory:Fay:1,avatar respect,continue,avatar asks again,ignore request,v36-813535,True,True
14,2,Nia,continue task,watchful,protect the clean signal pattern,memory:Nia:1,avatar reliability,continue,avatar asks again,ignore request,v36-270477,True,True
15,2,Milo,continue task,watchful,keep the path visible,memory:Milo:1,avatar reliability,continue,avatar asks again,ignore request,v36-042786,True,True
16,2,Ivo,continue task,settled,seed satchel,memory:Ivo:1,avatar reliability,continue,avatar asks again,ignore request,v36-840117,True,True
17,2,Juno,continue task,settled,finish the wire without sparks,memory:Juno:1,avatar reliability,continue,avatar asks again,ignore request,v36-261611,True,True
18,2,Ari,continue task,watchful,keep the west route dry,memory:Ari:2,avatar reliability,continue,avatar asks again,ignore request,v36-062581,True,True
19,2,Fay,continue task,settled,herb ledger,memory:Fay:1,avatar reliability,continue,avatar asks again,ignore request,v36-814525,True,True
20,2,Nia,continue task,watchful,protect the clean signal pattern,memory:Nia:2,avatar reliability,continue,avatar asks again,ignore request,v36-269981,True,True
21,2,Milo,continue task,watchful,oil lantern,memory:Milo:1,avatar respect,continue,avatar asks again,ignore request,v36-843558,True,True
22,2,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:2,avatar respect,continue,avatar asks again,ignore request,v36-952297,True,True
23,2,Juno,continue task,settled,copper wire,memory:Juno:2,avatar reliability,explain condition,avatar asks again,ignore request,v36-040302,True,True
24,3,Ari,continue task,watchful,keep the west route dry,memory:Ari:2,avatar reliability,continue,avatar asks again,ignore request,v36-062085,True,True
25,3,Fay,continue task,settled,finish the warm-lane ledger,memory:Fay:2,avatar respect,continue,avatar asks again,ignore request,v36-146502,True,True
26,3,Nia,continue task,watchful,protect the clean signal pattern,memory:Nia:2,avatar reliability,continue,avatar waits,ignore request,v36-270971,True,True
27,3,Milo,continue task,watchful,keep the path visible,memory:Milo:2,avatar reliability,continue,avatar waits,ignore request,v36-043280,True,True
28,3,Ivo,continue task,settled,keep the seeds dry,memory:Ivo:2,avatar reliability,continue,avatar asks again,ignore request,v36-953287,True,True
