tick_id,day,settlement_id,start_room,target_room,path,path_length,next_room,graph_valid,continuous_progress,saved_path_key
0,1,riverbend,arrival court,plank hall,arrival court > plank hall,2,plank hall,True,True,ssrm.v40.path.riverbend
1,1,roofward,arrival court,ledger loft,arrival court > glass stair > warm lane > ledger loft,4,glass stair,True,True,ssrm.v40.path.roofward
2,1,archive,arrival court,ink niche,arrival court > stone stacks > spool room > ink niche,4,stone stacks,True,True,ssrm.v40.path.archive
3,1,signal,arrival court,signal perch,arrival court > mast base > signal perch,3,mast base,True,True,ssrm.v40.path.signal
4,1,orchard,arrival court,arrival court,arrival court,1,arrival court,True,True,ssrm.v40.path.orchard
5,1,repair_ring,arrival court,cool corner,arrival court > wire bench > cool corner,3,wire bench,True,True,ssrm.v40.path.repair_ring
6,1,riverbend,plank hall,wet crossing,plank hall > wet crossing,2,wet crossing,True,True,ssrm.v40.path.riverbend
7,1,roofward,glass stair,ledger loft,glass stair > warm lane > ledger loft,3,warm lane,True,True,ssrm.v40.path.roofward
8,1,archive,stone stacks,memory desk,stone stacks > memory desk,2,memory desk,True,True,ssrm.v40.path.archive
9,1,signal,mast base,arrival court,mast base > arrival court,2,arrival court,True,True,ssrm.v40.path.signal
10,1,orchard,arrival court,arrival court,arrival court,1,arrival court,True,True,ssrm.v40.path.orchard
11,1,repair_ring,wire bench,spark lane,wire bench > spark lane,2,spark lane,True,True,ssrm.v40.path.repair_ring
12,2,riverbend,wet crossing,wet crossing,wet crossing,1,wet crossing,True,True,ssrm.v40.path.riverbend
13,2,roofward,warm lane,warm lane,warm lane,1,warm lane,True,True,ssrm.v40.path.roofward
14,2,archive,memory desk,memory desk,memory desk,1,memory desk,True,True,ssrm.v40.path.archive
15,2,signal,arrival court,lantern walk,arrival court > mast base > lantern walk,3,mast base,True,True,ssrm.v40.path.signal
16,2,orchard,arrival court,seed lane,arrival court > seed lane,2,seed lane,True,True,ssrm.v40.path.orchard
17,2,repair_ring,spark lane,cool corner,spark lane > wire bench > cool corner,3,wire bench,True,True,ssrm.v40.path.repair_ring
18,2,riverbend,wet crossing,dry ridge,wet crossing > plank hall > dry ridge,3,plank hall,True,True,ssrm.v40.path.riverbend
19,2,roofward,warm lane,sun sill,warm lane > sun sill,2,sun sill,True,True,ssrm.v40.path.roofward
20,2,archive,memory desk,memory desk,memory desk,1,memory desk,True,True,ssrm.v40.path.archive
21,2,signal,mast base,mast base,mast base,1,mast base,True,True,ssrm.v40.path.signal
22,2,orchard,seed lane,satchel shed,seed lane > mud row > satchel shed,3,mud row,True,True,ssrm.v40.path.orchard
23,2,repair_ring,wire bench,bell alcove,wire bench > spark lane > bell alcove,3,spark lane,True,True,ssrm.v40.path.repair_ring
24,3,riverbend,plank hall,plank hall,plank hall,1,plank hall,True,True,ssrm.v40.path.riverbend
25,3,roofward,sun sill,sun sill,sun sill,1,sun sill,True,True,ssrm.v40.path.roofward
26,3,archive,memory desk,arrival court,memory desk > stone stacks > arrival court,3,stone stacks,True,True,ssrm.v40.path.archive
27,3,signal,mast base,mast base,mast base,1,mast base,True,True,ssrm.v40.path.signal
28,3,orchard,mud row,satchel shed,mud row > satchel shed,2,satchel shed,True,True,ssrm.v40.path.orchard
29,3,repair_ring,spark lane,bell alcove,spark lane > bell alcove,2,bell alcove,True,True,ssrm.v40.path.repair_ring
30,3,riverbend,plank hall,kit alcove,plank hall > wet crossing > kit alcove,3,wet crossing,True,True,ssrm.v40.path.riverbend
31,3,roofward,sun sill,warm lane,sun sill > warm lane,2,warm lane,True,True,ssrm.v40.path.roofward
32,3,archive,stone stacks,stone stacks,stone stacks,1,stone stacks,True,True,ssrm.v40.path.archive
33,3,signal,mast base,arrival court,mast base > arrival court,2,arrival court,True,True,ssrm.v40.path.signal
34,3,orchard,satchel shed,market plank,satchel shed > market plank,2,market plank,True,True,ssrm.v40.path.orchard
35,3,repair_ring,bell alcove,cool corner,bell alcove > cool corner,2,cool corner,True,True,ssrm.v40.path.repair_ring
36,4,riverbend,wet crossing,kit alcove,wet crossing > kit alcove,2,kit alcove,True,True,ssrm.v40.path.riverbend
