tick_id,day,route_id,probe_kind,state_before_hash,state_after_hash,restored_route_choice,restored_forecast_revision,restored_recovery,restored_avatar_tasks,persistence_ok
0,1,riverbend_roofward,reload,v30-501824,v30-463072,river ford,1,0.662,0,True
1,1,roofward_archive,none,v30-495403,v30-449668,glass stair,1,0.638,0,True
2,1,archive_signal,none,v30-450943,v30-406489,paper lane,1,0.614,0,True
3,1,signal_orchard,none,v30-440853,v30-390244,dusk road,1,0.59,0,True
4,1,orchard_riverbend,none,v30-470682,v30-433149,fen track,1,0.566,0,True
5,1,central_repair_ring,none,v30-601289,v30-532427,outer bell path,1,0.552,0,True
6,1,riverbend_roofward,none,v30-521888,v30-463828,river ford,1,0.664,0,True
7,1,roofward_archive,none,v30-510368,v30-443295,glass stair,1,0.64,0,True
8,1,archive_signal,none,v30-465449,v30-407468,paper lane,2,0.626,0,True
9,1,signal_orchard,none,v30-447082,v30-396826,dusk road,1,0.592,0,True
10,1,orchard_riverbend,none,v30-492791,v30-440911,fen track,1,0.568,0,True
11,1,central_repair_ring,none,v30-603475,v30-541134,outer bell path,1,0.564,0,True
12,1,riverbend_roofward,none,v30-531677,v30-471857,river ford,1,0.666,0,True
13,1,roofward_archive,none,v30-511059,v30-457228,glass stair,1,0.642,0,True
14,1,archive_signal,none,v30-473645,v30-415010,paper lane,2,0.628,0,True
15,1,signal_orchard,restore,v30-456116,v30-391137,dusk road,1,0.6,0,True
16,2,orchard_riverbend,reload,v30-500935,v30-441541,fen track,2,0.586,0,True
17,2,central_repair_ring,none,v30-603884,v30-542039,outer bell path,1,0.576,0,True
18,2,riverbend_roofward,none,v30-532961,v30-472621,river ford,1,0.668,0,True
19,2,roofward_archive,none,v30-518072,v30-457990,glass stair,1,0.644,0,True
20,2,archive_signal,none,v30-466156,v30-407978,paper lane,2,0.63,0,True
21,2,signal_orchard,none,v30-448714,v30-516118,river lantern loop,1,0.612,0,True
22,2,orchard_riverbend,none,v30-500296,v30-441526,fen track,2,0.588,0,True
23,2,central_repair_ring,none,v30-604433,v30-542169,outer bell path,1,0.588,0,True
24,2,riverbend_roofward,none,v30-531748,v30-465610,river ford,2,0.68,0,True
25,2,roofward_archive,none,v30-517077,v30-525590,cool archive lane,1,0.656,0,True
26,2,archive_signal,none,v30-465884,v30-414666,paper lane,2,0.632,0,True
27,2,signal_orchard,none,v30-579469,v30-516890,river lantern loop,1,0.614,0,True
28,2,orchard_riverbend,none,v30-494571,v30-543396,market plank route,2,0.6,0,True
29,2,central_repair_ring,none,v30-604977,v30-527965,outer bell path,1,0.6,0,True
30,2,riverbend_roofward,none,v30-526282,v30-471723,river ford,2,0.682,0,True
31,2,roofward_archive,restore,v30-581415,v30-525329,cool archive lane,1,0.674,0,True
32,3,archive_signal,reload,v30-465895,v30-408587,paper lane,3,0.65,0,True
33,3,signal_orchard,none,v30-579740,v30-403687,dusk road,1,0.616,0,True
34,3,orchard_riverbend,none,v30-604894,v30-556401,market plank route,2,0.612,0,True
35,3,central_repair_ring,none,v30-592097,v30-540871,outer bell path,1,0.612,0,True
36,3,riverbend_roofward,none,v30-532954,v30-472487,river ford,2,0.684,0,True
37,3,roofward_archive,none,v30-589431,v30-526103,cool archive lane,1,0.676,0,True
38,3,archive_signal,none,v30-466869,v30-415275,paper lane,3,0.652,0,True
39,3,signal_orchard,none,v30-462740,v30-404441,dusk road,1,0.618,0,True
40,3,orchard_riverbend,none,v30-619600,v30-556789,market plank route,3,0.634,0,True
41,3,central_repair_ring,none,v30-603182,v30-541001,outer bell path,1,0.624,0,True
42,3,riverbend_roofward,none,v30-533076,v30-472476,river ford,2,0.686,0,True
43,3,roofward_archive,none,v30-581177,v30-526102,cool archive lane,1,0.678,0,True
44,3,archive_signal,none,v30-474387,v30-415256,paper lane,3,0.654,0,True
45,3,signal_orchard,none,v30-462618,v30-510314,river lantern loop,1,0.63,0,True
46,3,orchard_riverbend,none,v30-620549,v30-557567,market plank route,3,0.636,0,True
47,3,central_repair_ring,restore,v30-605962,v30-541515,outer bell path,1,0.642,0,True
48,4,riverbend_roofward,reload,v30-533378,v30-472000,river ford,3,0.704,0,True
49,4,roofward_archive,none,v30-589199,v30-519478,cool archive lane,1,0.69,0,True
50,4,archive_signal,none,v30-473658,v30-415237,paper lane,3,0.656,0,True
51,4,signal_orchard,none,v30-565623,v30-516754,river lantern loop,1,0.642,0,True
52,4,orchard_riverbend,none,v30-620426,v30-557700,market plank route,3,0.648,0,True
53,4,central_repair_ring,none,v30-603988,v30-569113,inner repair yard,1,0.644,0,True
54,4,riverbend_roofward,none,v30-525187,v30-471989,river ford,3,0.706,0,True
55,4,roofward_archive,none,v30-580842,v30-524816,cool archive lane,1,0.702,0,True
56,4,archive_signal,none,v30-475161,v30-416226,paper lane,4,0.668,0,True
57,4,signal_orchard,none,v30-580253,v30-517653,river lantern loop,1,0.654,0,True
58,4,orchard_riverbend,none,v30-622038,v30-558737,market plank route,3,0.696,1,True
59,4,central_repair_ring,none,v30-626454,v30-569893,inner repair yard,1,0.646,0,True
60,4,riverbend_roofward,none,v30-533906,v30-471978,river ford,3,0.708,0,True
61,4,roofward_archive,none,v30-587556,v30-524943,cool archive lane,1,0.714,0,True
62,4,archive_signal,restore,v30-466949,v30-415013,paper lane,4,0.704,1,True
63,4,signal_orchard,restore,v30-580526,v30-517392,river lantern loop,1,0.672,0,True
64,5,orchard_riverbend,reload,v30-620738,v30-557430,market plank route,4,0.714,1,True
65,5,central_repair_ring,none,v30-633865,v30-542422,outer bell path,1,0.658,0,True
