scenario,agent,selected_policy,selected_architecture,dependency_signature,episodes,mean_total_reward,mean_shared_cue_count,mean_local_probe_count,mean_risky_count,mean_safe_count,mean_failed_risky_count,mean_success_rate
independent_hidden,greedy_no_state,task_local_probe,sum_rnn,no_shared_recurrent_boundary,500,44.56,0.0,0.0,8.0,0.0,3.686,0.53925
independent_hidden,learned_structure_selector,task_local_probe,sum_rnn,no_shared_recurrent_boundary,500,125.024,0.0,8.0,4.314,3.686,0.0,1.0
independent_hidden,oracle_observation,task_local_probe,sum_rnn,no_shared_recurrent_boundary,500,133.024,0.0,0.0,4.314,3.686,0.0,1.0
independent_hidden,recurrent_controller,task_local_probe,sum_rnn,no_shared_recurrent_boundary,500,62.344,9.0,0.0,0.144,7.856,0.074,0.99075
independent_hidden,safe_no_state,task_local_probe,sum_rnn,no_shared_recurrent_boundary,500,64.0,0.0,0.0,0.0,8.0,0.0,1.0
independent_hidden,task_local_probe,task_local_probe,sum_rnn,no_shared_recurrent_boundary,500,125.024,0.0,8.0,4.314,3.686,0.0,1.0
irrelevant_control,greedy_no_state,greedy_no_state,sum_rnn,no_shared_recurrent_boundary,500,192.0,0.0,0.0,8.0,0.0,0.0,1.0
irrelevant_control,learned_structure_selector,greedy_no_state,sum_rnn,no_shared_recurrent_boundary,500,192.0,0.0,0.0,8.0,0.0,0.0,1.0
irrelevant_control,oracle_observation,greedy_no_state,sum_rnn,no_shared_recurrent_boundary,500,192.0,0.0,0.0,8.0,0.0,0.0,1.0
irrelevant_control,recurrent_controller,greedy_no_state,sum_rnn,no_shared_recurrent_boundary,500,191.0,9.0,0.0,8.0,0.0,0.0,1.0
irrelevant_control,safe_no_state,greedy_no_state,sum_rnn,no_shared_recurrent_boundary,500,64.0,0.0,0.0,0.0,8.0,0.0,1.0
irrelevant_control,task_local_probe,greedy_no_state,sum_rnn,no_shared_recurrent_boundary,500,184.0,0.0,8.0,8.0,0.0,0.0,1.0
self_noisy_hidden,greedy_no_state,recurrent_controller,sum_rnn,agent_bounded_recurrent,500,48.0,0.0,0.0,8.0,0.0,3.6,0.55
self_noisy_hidden,learned_structure_selector,recurrent_controller,sum_rnn,agent_bounded_recurrent,500,132.632,9.0,0.0,4.432,3.568,0.032,0.996
self_noisy_hidden,oracle_observation,recurrent_controller,sum_rnn,agent_bounded_recurrent,500,134.4,0.0,0.0,4.4,3.6,0.0,1.0
self_noisy_hidden,recurrent_controller,recurrent_controller,sum_rnn,agent_bounded_recurrent,500,132.632,9.0,0.0,4.432,3.568,0.032,0.996
self_noisy_hidden,safe_no_state,recurrent_controller,sum_rnn,agent_bounded_recurrent,500,64.0,0.0,0.0,0.0,8.0,0.0,1.0
self_noisy_hidden,task_local_probe,recurrent_controller,sum_rnn,agent_bounded_recurrent,500,126.4,0.0,8.0,4.4,3.6,0.0,1.0
world_noisy_hidden,greedy_no_state,recurrent_controller,sum_rnn,external_recurrent,500,49.28,0.0,0.0,8.0,0.0,3.568,0.554
world_noisy_hidden,learned_structure_selector,recurrent_controller,sum_rnn,external_recurrent,500,133.144,9.0,0.0,4.464,3.536,0.032,0.996
world_noisy_hidden,oracle_observation,recurrent_controller,sum_rnn,external_recurrent,500,134.912,0.0,0.0,4.432,3.568,0.0,1.0
world_noisy_hidden,recurrent_controller,recurrent_controller,sum_rnn,external_recurrent,500,133.144,9.0,0.0,4.464,3.536,0.032,0.996
world_noisy_hidden,safe_no_state,recurrent_controller,sum_rnn,external_recurrent,500,64.0,0.0,0.0,0.0,8.0,0.0,1.0
world_noisy_hidden,task_local_probe,recurrent_controller,sum_rnn,external_recurrent,500,126.912,0.0,8.0,4.432,3.568,0.0,1.0
