tick,day,avatar_x,avatar_y,avatar_room,entered_world,movement_command,collision_or_boundary,nearby_resident,visible_scene_changed,playable_input_bound
0,1,85,80,tool alcove,True,north,soft room boundary,Tovan,True,True
1,1,102,104,rain court,True,south,soft room boundary,Nia,True,True
2,1,119,128,fiber loft,True,east,clear path,Ari,True,True
3,1,136,152,west hearth,True,west,clear path,Fay,True,True
4,1,153,176,river gate,True,wait,clear path,Milo,True,True
5,1,170,200,arrival court,True,click,clear path,Sera,True,True
6,1,187,224,tool alcove,True,north,clear path,Tovan,True,True
7,1,204,248,rain court,True,south,clear path,Nia,True,True
8,1,221,272,fiber loft,True,east,clear path,Ari,True,True
9,1,238,296,west hearth,True,west,clear path,Fay,True,True
10,1,255,320,river gate,True,wait,clear path,Milo,True,True
11,1,272,344,arrival court,True,click,clear path,Sera,True,True
12,1,289,368,tool alcove,True,north,clear path,Tovan,True,True
13,1,306,392,rain court,True,south,clear path,Nia,True,True
14,1,323,416,fiber loft,True,east,clear path,Ari,True,True
15,1,340,440,west hearth,True,west,clear path,Fay,True,True
16,1,357,464,river gate,True,wait,clear path,Milo,True,True
17,1,374,488,arrival court,True,click,clear path,Sera,True,True
18,2,396,278,rain court,True,south,clear path,Tovan,True,True
19,2,413,302,fiber loft,True,east,clear path,Nia,True,True
20,2,430,326,west hearth,True,west,clear path,Ari,True,True
21,2,447,350,river gate,True,wait,clear path,Fay,True,True
22,2,464,374,arrival court,True,click,clear path,Milo,True,True
23,2,481,398,tool alcove,True,north,clear path,Sera,True,True
24,2,498,422,rain court,True,south,clear path,Tovan,True,True
25,2,515,446,fiber loft,True,east,clear path,Nia,True,True
26,2,532,470,west hearth,True,west,clear path,Ari,True,True
27,2,549,494,river gate,True,wait,clear path,Fay,True,True
28,2,566,518,arrival court,True,click,clear path,Milo,True,True
29,2,583,102,tool alcove,True,north,soft room boundary,Sera,True,True
30,2,600,126,rain court,True,south,clear path,Tovan,True,True
31,2,617,150,fiber loft,True,east,clear path,Nia,True,True
32,2,634,174,west hearth,True,west,clear path,Ari,True,True
33,2,651,198,river gate,True,wait,clear path,Fay,True,True
34,2,668,222,arrival court,True,click,clear path,Milo,True,True
35,2,685,246,tool alcove,True,north,clear path,Sera,True,True
36,3,707,476,fiber loft,True,east,clear path,Tovan,True,True
37,3,724,500,west hearth,True,west,clear path,Nia,True,True
38,3,741,84,river gate,True,wait,soft room boundary,Ari,True,True
39,3,758,108,arrival court,True,click,soft room boundary,Fay,True,True
40,3,775,132,tool alcove,True,north,clear path,Milo,True,True
41,3,792,156,rain court,True,south,clear path,Sera,True,True
42,3,809,180,fiber loft,True,east,clear path,Tovan,True,True
43,3,826,204,west hearth,True,west,clear path,Nia,True,True
44,3,843,228,river gate,True,wait,clear path,Ari,True,True
45,3,860,252,arrival court,True,click,clear path,Fay,True,True
46,3,877,276,tool alcove,True,north,clear path,Milo,True,True
47,3,894,300,rain court,True,south,clear path,Sera,True,True
48,3,911,324,fiber loft,True,east,clear path,Tovan,True,True
49,3,928,348,west hearth,True,west,clear path,Nia,True,True
50,3,85,372,river gate,True,wait,soft room boundary,Ari,True,True
51,3,102,396,arrival court,True,click,soft room boundary,Fay,True,True
52,3,119,420,tool alcove,True,north,clear path,Milo,True,True
53,3,136,444,rain court,True,south,clear path,Sera,True,True
54,4,158,234,west hearth,True,west,clear path,Tovan,True,True
