tick_id,day,mentor,apprentice,skill_domain,apprentice_skill_before,practice_delta,apprentice_skill_after,mentor_fatigue,succession_event,inherits_responsibility,visible_teaching_marker
0,1,Ari,Toma,Bridgewright Guild,0.22,0.002,0.222,0.281,False,practice only,Ari->Toma:0.22
1,1,Fay,Lio,Glassgarden Guild,0.245,0.002,0.247,0.336,False,practice only,Fay->Lio:0.25
2,1,Nia,Sera,Index Guild,0.27,0.006,0.276,0.378,False,practice only,Nia->Sera:0.28
3,1,Milo,Ren,Signal Guild,0.295,0.006,0.301,0.408,False,practice only,Milo->Ren:0.30
4,1,Ivo,Mara,Seed Guild,0.32,0.002,0.322,0.426,False,practice only,Ivo->Mara:0.32
5,1,Ari,Toma,Bridgewright Guild,0.222,0.002,0.224,0.287,False,practice only,Ari->Toma:0.22
6,1,Fay,Lio,Glassgarden Guild,0.247,0.002,0.249,0.342,False,practice only,Fay->Lio:0.25
7,1,Nia,Sera,Index Guild,0.276,0.006,0.282,0.396,False,practice only,Nia->Sera:0.28
8,1,Milo,Ren,Signal Guild,0.301,0.006,0.307,0.426,False,practice only,Milo->Ren:0.31
9,1,Ivo,Mara,Seed Guild,0.322,0.002,0.324,0.432,False,practice only,Ivo->Mara:0.32
10,1,Ari,Toma,Bridgewright Guild,0.224,0.002,0.226,0.293,False,practice only,Ari->Toma:0.23
11,1,Fay,Lio,Glassgarden Guild,0.249,0.002,0.251,0.348,False,practice only,Fay->Lio:0.25
12,1,Nia,Sera,Index Guild,0.282,0.002,0.284,0.402,False,practice only,Nia->Sera:0.28
13,1,Milo,Ren,Signal Guild,0.307,0.006,0.313,0.444,False,practice only,Milo->Ren:0.31
14,1,Ivo,Mara,Seed Guild,0.324,0.002,0.326,0.438,False,practice only,Ivo->Mara:0.33
15,1,Ari,Toma,Bridgewright Guild,0.226,0.006,0.232,0.286,False,practice only,Ari->Toma:0.23
16,2,Fay,Lio,Glassgarden Guild,0.251,0.002,0.253,0.329,False,practice only,Fay->Lio:0.25
17,2,Nia,Sera,Index Guild,0.284,0.002,0.286,0.408,False,practice only,Nia->Sera:0.29
18,2,Milo,Ren,Signal Guild,0.313,0.006,0.319,0.462,False,practice only,Milo->Ren:0.32
19,2,Ivo,Mara,Seed Guild,0.326,0.006,0.332,0.456,False,practice only,Ivo->Mara:0.33
20,2,Ari,Toma,Bridgewright Guild,0.232,0.002,0.234,0.292,False,practice only,Ari->Toma:0.23
21,2,Fay,Lio,Glassgarden Guild,0.253,0.002,0.255,0.335,False,practice only,Fay->Lio:0.26
22,2,Nia,Sera,Index Guild,0.286,0.002,0.288,0.414,False,practice only,Nia->Sera:0.29
23,2,Milo,Ren,Signal Guild,0.319,0.006,0.325,0.48,False,practice only,Milo->Ren:0.33
24,2,Ivo,Mara,Seed Guild,0.332,0.006,0.338,0.474,False,practice only,Ivo->Mara:0.34
25,2,Ari,Toma,Bridgewright Guild,0.234,0.002,0.236,0.298,False,practice only,Ari->Toma:0.24
26,2,Fay,Lio,Glassgarden Guild,0.255,0.002,0.257,0.341,False,practice only,Fay->Lio:0.26
27,2,Nia,Sera,Index Guild,0.288,0.002,0.29,0.42,False,practice only,Nia->Sera:0.29
28,2,Milo,Ren,Signal Guild,0.325,0.002,0.327,0.486,False,practice only,Milo->Ren:0.33
29,2,Ivo,Mara,Seed Guild,0.338,0.006,0.344,0.492,False,practice only,Ivo->Mara:0.34
30,2,Ari,Toma,Bridgewright Guild,0.236,0.002,0.238,0.304,False,practice only,Ari->Toma:0.24
31,2,Fay,Lio,Glassgarden Guild,0.257,0.006,0.263,0.334,False,practice only,Fay->Lio:0.26
32,3,Nia,Sera,Index Guild,0.29,0.002,0.292,0.401,False,practice only,Nia->Sera:0.29
33,3,Milo,Ren,Signal Guild,0.327,0.002,0.329,0.492,False,practice only,Milo->Ren:0.33
34,3,Ivo,Mara,Seed Guild,0.344,0.006,0.35,0.51,False,practice only,Ivo->Mara:0.35
35,3,Ari,Toma,Bridgewright Guild,0.238,0.006,0.244,0.322,False,practice only,Ari->Toma:0.24
36,3,Fay,Lio,Glassgarden Guild,0.263,0.002,0.265,0.34,False,practice only,Fay->Lio:0.27
37,3,Nia,Sera,Index Guild,0.292,0.002,0.294,0.407,False,practice only,Nia->Sera:0.29
38,3,Milo,Ren,Signal Guild,0.329,0.002,0.331,0.498,False,practice only,Milo->Ren:0.33
39,3,Ivo,Mara,Seed Guild,0.35,0.006,0.356,0.528,False,practice only,Ivo->Mara:0.36
