tick_id,day,week,settlement_id,reload_index,sleep_count,economy_count,reciprocity_count,work_plan_count,avatar_intervention_count,culture_count,checksum,restored_sleep_visible,restored_economy_visible,restored_reciprocity_visible,restored_work_plan_visible,restored_avatar_choice_visible,restored_culture_visible,replay_exportable
0,1,1,glass_harbor,1,1,1,1,1,1,1,4f75975d3b3a07c0,True,True,True,True,True,True,True
1,1,1,cinder_garden,1,1,1,0,1,1,1,1b2aa641baa0e0a5,True,True,True,True,True,True,True
2,1,1,lichen_bridge,1,1,1,1,1,1,1,93dbc9258015bec7,True,True,True,True,True,True,True
3,1,1,orchid_engine,1,1,1,0,1,1,1,dccb260e3330bbe8,True,True,True,True,True,True,True
4,1,1,moss_ward,1,1,1,1,1,0,1,7042d4741d3d1725,True,True,True,True,True,True,True
5,1,1,glass_harbor,2,2,2,1,2,2,2,a182d681300ebc9a,True,True,True,True,True,True,True
6,1,1,cinder_garden,2,2,2,1,2,1,2,1a7d23145f2ed6ca,True,True,True,True,True,True,True
7,1,1,lichen_bridge,2,2,2,1,2,2,2,832e90b4ceb0d09a,True,True,True,True,True,True,True
8,1,1,orchid_engine,2,2,2,1,2,1,2,15e838f253c1c7f4,True,True,True,True,True,True,True
9,1,1,moss_ward,2,2,2,1,2,1,2,2258f6b8ab4f5453,True,True,True,True,True,True,True
10,1,1,glass_harbor,3,3,3,2,3,3,3,0a501b9e8d1569dc,True,True,True,True,True,True,True
11,1,1,cinder_garden,3,3,3,1,3,2,3,42f26132f7b023e6,True,True,True,True,True,True,True
12,1,1,lichen_bridge,3,3,3,2,3,3,3,1e87d2ba81f17ba6,True,True,True,True,True,True,True
13,1,1,orchid_engine,3,3,3,1,3,2,3,8fe51ddedb68573b,True,True,True,True,True,True,True
14,1,1,moss_ward,3,3,3,2,3,1,3,32bceff2ee9e35bd,True,True,True,True,True,True,True
15,1,1,glass_harbor,4,4,4,2,4,4,4,4fdbee147c725821,True,True,True,True,True,True,True
16,2,1,lichen_bridge,4,4,4,3,4,3,4,ec7915a5531c9b56,True,True,True,True,True,True,True
24,2,1,glass_harbor,5,6,6,3,6,5,6,f7978469d65242f1,True,True,True,True,True,True,True
32,3,1,moss_ward,4,7,7,5,7,2,7,67bd297fc6421353,True,True,True,True,True,True,True
40,3,1,lichen_bridge,5,9,9,5,9,6,9,0a5986795d0e3e14,True,True,True,True,True,True,True
48,4,1,cinder_garden,4,10,10,6,10,7,10,29846ccfbc385e81,True,True,True,True,True,True,True
56,4,1,moss_ward,5,12,12,7,12,6,12,06133f1841f789b6,True,True,True,True,True,True,True
64,5,1,orchid_engine,4,13,13,7,13,8,13,0d0f9426af522948,True,True,True,True,True,True,True
72,5,1,cinder_garden,5,15,15,8,15,11,15,2eb94bab8844159c,True,True,True,True,True,True,True
80,6,1,glass_harbor,6,17,17,9,17,11,17,f19db126b8311e99,True,True,True,True,True,True,True
88,6,1,orchid_engine,5,18,18,9,18,11,18,7da83578aaeee0e3,True,True,True,True,True,True,True
96,7,1,lichen_bridge,6,20,20,11,20,15,20,b2f8bdba95edf3e5,True,True,True,True,True,True,True
104,7,1,glass_harbor,7,22,22,11,22,15,22,0d36002bb106a4ec,True,True,True,True,True,True,True
112,8,2,moss_ward,6,23,23,13,23,11,23,bb72d4d04147bf74,True,True,True,True,True,True,True
120,8,2,lichen_bridge,7,25,25,13,25,18,25,a818a0b1b9db4e50,True,True,True,True,True,True,True
128,9,2,cinder_garden,6,26,26,14,26,19,26,197a15685e80c343,True,True,True,True,True,True,True
136,9,2,moss_ward,7,28,28,15,28,15,28,4852a54774540f9a,True,True,True,True,True,True,True
144,10,2,orchid_engine,6,29,29,15,29,18,29,cfd78988441a55e1,True,True,True,True,True,True,True
152,10,2,cinder_garden,7,31,31,16,31,23,31,a3bb1f340dda80ef,True,True,True,True,True,True,True
160,11,2,glass_harbor,8,33,33,17,33,21,33,bb484b23c107de81,True,True,True,True,True,True,True
168,11,2,orchid_engine,7,34,34,17,34,21,34,4636fd280dae2809,True,True,True,True,True,True,True
176,12,2,lichen_bridge,8,36,36,19,36,27,36,ce1e8aeb3f7fd838,True,True,True,True,True,True,True
184,12,2,glass_harbor,9,38,38,19,38,25,38,2ffb7064012f5f75,True,True,True,True,True,True,True
192,13,2,moss_ward,8,39,39,21,39,20,39,faf27fd1e5804f3e,True,True,True,True,True,True,True
200,13,2,lichen_bridge,9,41,41,21,41,30,41,c6652790acea1b4e,True,True,True,True,True,True,True
208,14,2,cinder_garden,8,42,42,22,42,31,42,cc48a349ac73f899,True,True,True,True,True,True,True
216,14,2,moss_ward,9,44,44,23,44,24,44,61c8861a35b03c62,True,True,True,True,True,True,True
224,15,3,orchid_engine,8,45,45,23,45,28,45,251cc0a1ffb5ecde,True,True,True,True,True,True,True
