channel,passed,score,evidence,failure_if_false
trust_repair_panel_present,True,1.0,maintained shell exposes a visible trust-repair scenario panel,recoverable harm/trust repair would remain implicit in generic controls
generated_source_of_truth,True,1.0,trust-repair scenario logic lives in the v61 generator,regeneration would erase the scenario controls
bounded_recoverable_design,True,1.0,scenario labels harm as bounded/recoverable and repair as non-magical concrete help,scenario could imply unbounded distress or magical trust repair
routes_to_public_history,True,1.0,trust wound and repair steps are recorded in public resident history,reviewers would not see the consequence loop without raw JSON
browser_workflow,True,1.0,browser workflow pass recorded as True,source checks alone would not prove the scenario works in a browser
browser_interrupt_visible,True,1.0,"{'before': {'debtOut': '0 / trust 0.630', 'label': 'before_interrupt', 'memoryOut': 'warned about wet route', 'replayOut': '1 rows', 'residentDashboardOut': 'Resources: water 12 / fiber 10 / wood 17 / care 6\n  Ari   | repair awning    | progress 0.360 | debt  1 | trust 0.580 | history  0 | stable | memory: met avatar at arrival court\n* Fay   | sort herbs       | progress 0.500 | debt  0 | trust 0.630 | history  0 | stable | memory: warned about wet route\n  Milo  | carry water      | progress 0.240 | debt  2 | trust 0.480 | history  0 | debt pressure | memory: tool loan pending\n  Sera  | dry cloaks       | progress 0.420 | debt  1 | trust 0.540 | history  0 | stable | memory: asked for quiet\n  Tovan | map safe route   | progress 0.390 | debt  1 | trust 0.510 | history  0 | trust fragile | memory: keeps route tokens\n  Nia   | sort glass jars  | progress 0.470 | debt  0 | trust 0.610 | history  0 | stable | memory: remembers quiet greeting', 'residentHistoryOut': '  Ari now: debt 1 / trust 0.580 / progress 0.360 / memory: met avatar at arrival court\n  no recorded public interaction history yet\n* Fay now: debt 0 / trust 0.630 / progress 0.500 / memory: warned about wet route\n  no recorded public interaction history yet\n  Milo now: debt 2 / trust 0.480 / progress 0.240 / memory: tool loan pending\n  no recorded public interaction history yet\n  Sera now: debt 1 / trust 0.540 / progress 0.420 / memory: asked for quiet\n  no recorded public interaction history yet\n  Tovan now: debt 1 / trust 0.510 / progress 0.390 / memory: keeps route tokens\n  no recorded public interaction history yet\n  Nia now: debt 0 / trust 0.610 / progress 0.470 / memory: remembers quiet greeting\n  no recorded public interaction history yet', 'selected': 'Fay', 'trust': 0.63, 'trustRepairOut': 'Selected: Fay | trust 0.630 | debt 0 | progress 0.500\nState: no active trust wound\nRecent public history:\nno trust repair events yet', 'url': 'http://127.0.0.1:8773/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63'}, 'after': {'debtOut': '0 / trust 0.570', 'label': 'after_interrupt', 'memoryOut': 'avatar interrupted work', 'replayOut': '2 rows', 'residentDashboardOut': 'Resources: water 12 / fiber 10 / wood 17 / care 6\n  Ari   | repair awning    | progress 0.360 | debt  1 | trust 0.580 | history  0 | stable | memory: met avatar at arrival court\n* Fay   | sort herbs       | progress 0.500 | debt  0 | trust 0.570 | history  1 | stable | memory: avatar interrupted work\n  Milo  | carry water      | progress 0.240 | debt  2 | trust 0.480 | history  0 | debt pressure | memory: tool loan pending\n  Sera  | dry cloaks       | progress 0.420 | debt  1 | trust 0.540 | history  0 | stable | memory: asked for quiet\n  Tovan | map safe route   | progress 0.390 | debt  1 | trust 0.510 | history  0 | trust fragile | memory: keeps route tokens\n  Nia   | sort glass jars  | progress 0.470 | debt  0 | trust 0.610 | history  0 | stable | memory: remembers quiet greeting', 'residentHistoryOut': '  Ari now: debt 1 / trust 0.580 / progress 0.360 / memory: met avatar at arrival court\n  no recorded public interaction history yet\n* Fay now: debt 0 / trust 0.570 / progress 0.500 / memory: avatar interrupted work\n  t1 trust wound: avatar interrupted work during sort herbs -> debt 0 trust 0.57 progress 0.5\n  Milo now: debt 2 / trust 0.480 / progress 0.240 / memory: tool loan pending\n  no recorded public interaction history yet\n  Sera now: debt 1 / trust 0.540 / progress 0.420 / memory: asked for quiet\n  no recorded public interaction history yet\n  Tovan now: debt 1 / trust 0.510 / progress 0.390 / memory: keeps route tokens\n  no recorded public interaction history yet\n  Nia now: debt 0 / trust 0.610 / progress 0.470 / memory: remembers quiet greeting\n  no recorded public interaction history yet', 'selected': 'Fay', 'trust': 0.57, 'trustRepairOut': 'Selected: Fay | trust 0.570 | debt 0 | progress 0.500\nState: wound visible; apology/space/help can repair\nRecent public history:\nt1 trust wound: avatar interrupted work during sort herbs -> trust 0.57 debt 0 progress 0.5', 'url': 'http://127.0.0.1:8773/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63'}}",interrupt action would not visibly lower trust and record the wound
browser_repair_sequence_visible,True,1.0,"{'after_apology': {'debtOut': '0 / trust 0.594', 'label': 'after_apology', 'memoryOut': 'avatar apologized and named the interruption', 'replayOut': '3 rows', 'residentDashboardOut': 'Resources: water 12 / fiber 10 / wood 17 / care 6\n  Ari   | repair awning    | progress 0.360 | debt  1 | trust 0.580 | history  0 | stable | memory: met avatar at arrival court\n* Fay   | sort herbs       | progress 0.500 | debt  0 | trust 0.594 | history  2 | stable | memory: avatar apologized and named the interruption\n  Milo  | carry water      | progress 0.240 | debt  2 | trust 0.480 | history  0 | debt pressure | memory: tool loan pending\n  Sera  | dry cloaks       | progress 0.420 | debt  1 | trust 0.540 | history  0 | stable | memory: asked for quiet\n  Tovan | map safe route   | progress 0.390 | debt  1 | trust 0.510 | history  0 | trust fragile | memory: keeps route tokens\n  Nia   | sort glass jars  | progress 0.470 | debt  0 | trust 0.610 | history  0 | stable | memory: remembers quiet greeting', 'residentHistoryOut': '  Ari now: debt 1 / trust 0.580 / progress 0.360 / memory: met avatar at arrival court\n  no recorded public interaction history yet\n* Fay now: debt 0 / trust 0.594 / progress 0.500 / memory: avatar apologized and named the interruption\n  t1 trust wound: avatar interrupted work during sort herbs -> debt 0 trust 0.57 progress 0.5\n  t2 trust repair: avatar apologized and named the interruption -> debt 0 trust 0.594 progress 0.5\n  Milo now: debt 2 / trust 0.480 / progress 0.240 / memory: tool loan pending\n  no recorded public interaction history yet\n  Sera now: debt 1 / trust 0.540 / progress 0.420 / memory: asked for quiet\n  no recorded public interaction history yet\n  Tovan now: debt 1 / trust 0.510 / progress 0.390 / memory: keeps route tokens\n  no recorded public interaction history yet\n  Nia now: debt 0 / trust 0.610 / progress 0.470 / memory: remembers quiet greeting\n  no recorded public interaction history yet', 'selected': 'Fay', 'trust': 0.594, 'trustRepairOut': 'Selected: Fay | trust 0.594 | debt 0 | progress 0.500\nState: repair in progress\nRecent public history:\nt1 trust wound: avatar interrupted work during sort herbs -> trust 0.57 debt 0 progress 0.5\nt2 trust repair: avatar apologized and named the interruption -> trust 0.594 debt 0 progress 0.5', 'url': 'http://127.0.0.1:8773/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63'}, 'after_space': {'debtOut': '0 / trust 0.606', 'label': 'after_space', 'memoryOut': 'avatar gave space after apology', 'replayOut': '4 rows', 'residentDashboardOut': 'Resources: water 12 / fiber 10 / wood 17 / care 6\n  Ari   | repair awning    | progress 0.360 | debt  1 | trust 0.580 | history  0 | stable | memory: met avatar at arrival court\n* Fay   | sort herbs       | progress 0.510 | debt  0 | trust 0.606 | history  3 | stable | memory: avatar gave space after apology\n  Milo  | carry water      | progress 0.240 | debt  2 | trust 0.480 | history  0 | debt pressure | memory: tool loan pending\n  Sera  | dry cloaks       | progress 0.420 | debt  1 | trust 0.540 | history  0 | stable | memory: asked for quiet\n  Tovan | map safe route   | progress 0.390 | debt  1 | trust 0.510 | history  0 | trust fragile | memory: keeps route tokens\n  Nia   | sort glass jars  | progress 0.470 | debt  0 | trust 0.610 | history  0 | stable | memory: remembers quiet greeting', 'residentHistoryOut': '  Ari now: debt 1 / trust 0.580 / progress 0.360 / memory: met avatar at arrival court\n  no recorded public interaction history yet\n* Fay now: debt 0 / trust 0.606 / progress 0.510 / memory: avatar gave space after apology\n  t1 trust wound: avatar interrupted work during sort herbs -> debt 0 trust 0.57 progress 0.5\n  t2 trust repair: avatar apologized and named the interruption -> debt 0 trust 0.594 progress 0.5\n  t3 trust repair: avatar gave space and let work continue -> debt 0 trust 0.606 progress 0.51\n  Milo now: debt 2 / trust 0.480 / progress 0.240 / memory: tool loan pending\n  no recorded public interaction history yet\n  Sera now: debt 1 / trust 0.540 / progress 0.420 / memory: asked for quiet\n  no recorded public interaction history yet\n  Tovan now: debt 1 / trust 0.510 / progress 0.390 / memory: keeps route tokens\n  no recorded public interaction history yet\n  Nia now: debt 0 / trust 0.610 / progress 0.470 / memory: remembers quiet greeting\n  no recorded public interaction history yet', 'selected': 'Fay', 'trust': 0.606, 'trustRepairOut': 'Selected: Fay | trust 0.606 | debt 0 | progress 0.510\nState: repair in progress\nRecent public history:\nt1 trust wound: avatar interrupted work during sort herbs -> trust 0.57 debt 0 progress 0.5\nt2 trust repair: avatar apologized and named the interruption -> trust 0.594 debt 0 progress 0.5\nt3 trust repair: avatar gave space and let work continue -> trust 0.606 debt 0 progress 0.51', 'url': 'http://127.0.0.1:8773/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63'}, 'after_help': {'debtOut': '0 / trust 0.640', 'label': 'after_help', 'memoryOut': 'avatar repaired trust with concrete help', 'replayOut': '5 rows', 'residentDashboardOut': 'Resources: water 12 / fiber 10 / wood 17 / care 6\n  Ari   | repair awning    | progress 0.360 | debt  1 | trust 0.580 | history  0 | stable | memory: met avatar at arrival court\n* Fay   | sort herbs       | progress 0.538 | debt  0 | trust 0.640 | history  4 | stable | memory: avatar repaired trust with concrete help\n  Milo  | carry water      | progress 0.240 | debt  2 | trust 0.480 | history  0 | debt pressure | memory: tool loan pending\n  Sera  | dry cloaks       | progress 0.420 | debt  1 | trust 0.540 | history  0 | stable | memory: asked for quiet\n  Tovan | map safe route   | progress 0.390 | debt  1 | trust 0.510 | history  0 | trust fragile | memory: keeps route tokens\n  Nia   | sort glass jars  | progress 0.470 | debt  0 | trust 0.610 | history  0 | stable | memory: remembers quiet greeting', 'residentHistoryOut': '  Ari now: debt 1 / trust 0.580 / progress 0.360 / memory: met avatar at arrival court\n  no recorded public interaction history yet\n* Fay now: debt 0 / trust 0.640 / progress 0.538 / memory: avatar repaired trust with concrete help\n  t1 trust wound: avatar interrupted work during sort herbs -> debt 0 trust 0.57 progress 0.5\n  t2 trust repair: avatar apologized and named the interruption -> debt 0 trust 0.594 progress 0.5\n  t3 trust repair: avatar gave space and let work continue -> debt 0 trust 0.606 progress 0.51\n  t4 trust repair: avatar repaired trust with concrete help -> debt 0 trust 0.64 progress 0.538\n  Milo now: debt 2 / trust 0.480 / progress 0.240 / memory: tool loan pending\n  no recorded public interaction history yet\n  Sera now: debt 1 / trust 0.540 / progress 0.420 / memory: asked for quiet\n  no recorded public interaction history yet\n  Tovan now: debt 1 / trust 0.510 / progress 0.390 / memory: keeps route tokens\n  no recorded public interaction history yet\n  Nia now: debt 0 / trust 0.610 / progress 0.470 / memory: remembers quiet greeting\n  no recorded public interaction history yet', 'selected': 'Fay', 'trust': 0.64, 'trustRepairOut': 'Selected: Fay | trust 0.640 | debt 0 | progress 0.538\nState: repair completed through concrete help\nRecent public history:\nt1 trust wound: avatar interrupted work during sort herbs -> trust 0.57 debt 0 progress 0.5\nt2 trust repair: avatar apologized and named the interruption -> trust 0.594 debt 0 progress 0.5\nt3 trust repair: avatar gave space and let work continue -> trust 0.606 debt 0 progress 0.51\nt4 trust repair: avatar repaired trust with concrete help -> trust 0.64 debt 0 progress 0.538', 'url': 'http://127.0.0.1:8773/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63'}, 'after_save': {'debtOut': '0 / trust 0.640', 'label': 'after_save', 'memoryOut': 'avatar repaired trust with concrete help', 'replayOut': '6 rows', 'residentDashboardOut': 'Resources: water 12 / fiber 10 / wood 17 / care 6\n  Ari   | repair awning    | progress 0.360 | debt  1 | trust 0.580 | history  0 | stable | memory: met avatar at arrival court\n* Fay   | sort herbs       | progress 0.538 | debt  0 | trust 0.640 | history  4 | stable | memory: avatar repaired trust with concrete help\n  Milo  | carry water      | progress 0.240 | debt  2 | trust 0.480 | history  0 | debt pressure | memory: tool loan pending\n  Sera  | dry cloaks       | progress 0.420 | debt  1 | trust 0.540 | history  0 | stable | memory: asked for quiet\n  Tovan | map safe route   | progress 0.390 | debt  1 | trust 0.510 | history  0 | trust fragile | memory: keeps route tokens\n  Nia   | sort glass jars  | progress 0.470 | debt  0 | trust 0.610 | history  0 | stable | memory: remembers quiet greeting', 'residentHistoryOut': '  Ari now: debt 1 / trust 0.580 / progress 0.360 / memory: met avatar at arrival court\n  no recorded public interaction history yet\n* Fay now: debt 0 / trust 0.640 / progress 0.538 / memory: avatar repaired trust with concrete help\n  t1 trust wound: avatar interrupted work during sort herbs -> debt 0 trust 0.57 progress 0.5\n  t2 trust repair: avatar apologized and named the interruption -> debt 0 trust 0.594 progress 0.5\n  t3 trust repair: avatar gave space and let work continue -> debt 0 trust 0.606 progress 0.51\n  t4 trust repair: avatar repaired trust with concrete help -> debt 0 trust 0.64 progress 0.538\n  Milo now: debt 2 / trust 0.480 / progress 0.240 / memory: tool loan pending\n  no recorded public interaction history yet\n  Sera now: debt 1 / trust 0.540 / progress 0.420 / memory: asked for quiet\n  no recorded public interaction history yet\n  Tovan now: debt 1 / trust 0.510 / progress 0.390 / memory: keeps route tokens\n  no recorded public interaction history yet\n  Nia now: debt 0 / trust 0.610 / progress 0.470 / memory: remembers quiet greeting\n  no recorded public interaction history yet', 'selected': 'Fay', 'trust': 0.64, 'trustRepairOut': 'Selected: Fay | trust 0.640 | debt 0 | progress 0.538\nState: repair completed through concrete help\nRecent public history:\nt1 trust wound: avatar interrupted work during sort herbs -> trust 0.57 debt 0 progress 0.5\nt2 trust repair: avatar apologized and named the interruption -> trust 0.594 debt 0 progress 0.5\nt3 trust repair: avatar gave space and let work continue -> trust 0.606 debt 0 progress 0.51\nt4 trust repair: avatar repaired trust with concrete help -> trust 0.64 debt 0 progress 0.538', 'url': 'http://127.0.0.1:8773/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?reset=1&source=primary-demo-v63'}}",apology/space/help would not visibly repair trust through multiple public steps
browser_dashboard_history_sync,True,1.0,"{'dashboard': 'Resources: water 12 / fiber 10 / wood 17 / care 6\n  Ari   | repair awning    | progress 0.360 | debt  1 | trust 0.580 | history  0 | stable | memory: met avatar at arrival court\n* Fay   | sort herbs       | progress 0.538 | debt  0 | trust 0.640 | history  4 | stable | memory: avatar repaired trust with concrete help\n  Milo  | carry water      | progress 0.240 | debt  2 | trust 0.480 | history  0 | debt pressure | memory: tool loan pending\n  Sera  | dry cloaks       | progress 0.420 | debt  1 | trust 0.540 | history  0 | stable | memory: asked for quiet\n  Tovan | map safe route   | progress 0.390 | debt  1 | trust 0.510 | history  0 | trust fragile | memory: keeps route tokens\n  Nia   | sort glass jars  | progress 0.470 | debt  0 | trust 0.610 | history  0 | stable | memory: remembers quiet greeting', 'history': '  Ari now: debt 1 / trust 0.580 / progress 0.360 / memory: met avatar at arrival court\n  no recorded public interaction history yet\n* Fay now: debt 0 / trust 0.640 / progress 0.538 / memory: avatar repaired trust with concrete help\n  t1 trust wound: avatar interrupted work during sort herbs -> debt 0 trust 0.57 progress 0.5\n  t2 trust repair: avatar apologized and named the interruption -> debt 0 trust 0.594 progress 0.5\n  t3 trust repair: avatar gave space and let work continue -> debt 0 trust 0.606 progress 0.51\n  t4 trust repair: avatar repaired trust with concrete help -> debt 0 trust 0.64 progress 0.538\n  Milo now: debt 2 / trust 0.480 / progress 0.240 / memory: tool loan pending\n  no recorded public interaction history yet\n  Sera now: debt 1 / trust 0.540 / progress 0.420 / memory: asked for quiet\n  no recorded public interaction history yet\n  Tovan now: debt 1 / trust 0.510 / progress 0.390 / memory: keeps route tokens\n  no recorded public interaction history yet\n  Nia now: debt 0 / trust 0.610 / progress 0.470 / memory: remembers quiet greeting\n  no recorded public interaction history yet', 'trust_panel': 'Selected: Fay | trust 0.640 | debt 0 | progress 0.538\nState: repair completed through concrete help\nRecent public history:\nt1 trust wound: avatar interrupted work during sort herbs -> trust 0.57 debt 0 progress 0.5\nt2 trust repair: avatar apologized and named the interruption -> trust 0.594 debt 0 progress 0.5\nt3 trust repair: avatar gave space and let work continue -> trust 0.606 debt 0 progress 0.51\nt4 trust repair: avatar repaired trust with concrete help -> trust 0.64 debt 0 progress 0.538'}",dashboard and resident history would not agree on trust-repair state
browser_resume_persistence,True,1.0,"{'debtOut': '0 / trust 0.640', 'label': 'after_resume', 'memoryOut': 'avatar repaired trust with concrete help', 'replayOut': '6 rows', 'residentDashboardOut': 'Resources: water 12 / fiber 10 / wood 17 / care 6\n  Ari   | repair awning    | progress 0.360 | debt  1 | trust 0.580 | history  0 | stable | memory: met avatar at arrival court\n* Fay   | sort herbs       | progress 0.538 | debt  0 | trust 0.640 | history  4 | stable | memory: avatar repaired trust with concrete help\n  Milo  | carry water      | progress 0.240 | debt  2 | trust 0.480 | history  0 | debt pressure | memory: tool loan pending\n  Sera  | dry cloaks       | progress 0.420 | debt  1 | trust 0.540 | history  0 | stable | memory: asked for quiet\n  Tovan | map safe route   | progress 0.390 | debt  1 | trust 0.510 | history  0 | trust fragile | memory: keeps route tokens\n  Nia   | sort glass jars  | progress 0.470 | debt  0 | trust 0.610 | history  0 | stable | memory: remembers quiet greeting', 'residentHistoryOut': '  Ari now: debt 1 / trust 0.580 / progress 0.360 / memory: met avatar at arrival court\n  no recorded public interaction history yet\n* Fay now: debt 0 / trust 0.640 / progress 0.538 / memory: avatar repaired trust with concrete help\n  t1 trust wound: avatar interrupted work during sort herbs -> debt 0 trust 0.57 progress 0.5\n  t2 trust repair: avatar apologized and named the interruption -> debt 0 trust 0.594 progress 0.5\n  t3 trust repair: avatar gave space and let work continue -> debt 0 trust 0.606 progress 0.51\n  t4 trust repair: avatar repaired trust with concrete help -> debt 0 trust 0.64 progress 0.538\n  Milo now: debt 2 / trust 0.480 / progress 0.240 / memory: tool loan pending\n  no recorded public interaction history yet\n  Sera now: debt 1 / trust 0.540 / progress 0.420 / memory: asked for quiet\n  no recorded public interaction history yet\n  Tovan now: debt 1 / trust 0.510 / progress 0.390 / memory: keeps route tokens\n  no recorded public interaction history yet\n  Nia now: debt 0 / trust 0.610 / progress 0.470 / memory: remembers quiet greeting\n  no recorded public interaction history yet', 'selected': 'Fay', 'trust': 0.64, 'trustRepairOut': 'Selected: Fay | trust 0.640 | debt 0 | progress 0.538\nState: repair completed through concrete help\nRecent public history:\nt1 trust wound: avatar interrupted work during sort herbs -> trust 0.57 debt 0 progress 0.5\nt2 trust repair: avatar apologized and named the interruption -> trust 0.594 debt 0 progress 0.5\nt3 trust repair: avatar gave space and let work continue -> trust 0.606 debt 0 progress 0.51\nt4 trust repair: avatar repaired trust with concrete help -> trust 0.64 debt 0 progress 0.538', 'url': 'http://127.0.0.1:8773/visualizations/ssrm_3d_browser_world_v61_vertical_slice_app_shell/index.html?source=primary-demo-v63'}",trust-repair consequences would not persist through leave/return
console_clean,True,1.0,browser console error count was 0,browser workflow produced runtime console errors
