tick_id,day,tick,project_id,subproject_id,assignee,delegated_by,role,dependency,dependency_ready,progress_before,progress_delta,progress_after,accepted,blocked_reason,visible_status
0,1,0,greenhouse_heat_loop,coil_pipe,Milo,Fay,Milo owns coil_pipe,fit_glass,False,0.0,0.0,0.0,False,delegate asks for clearer terms,blocked: delegate asks for clearer terms
1,1,1,flood_bridge_market_route,lamp_markers,Milo,Ari,Milo owns lamp_markers,seal_joints,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
2,1,2,archive_public_kiosk,build_frame,Ari,Nia,Ari owns build_frame,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
3,1,3,dusk_signal_court,comfort_corner,Fay,Milo,Fay owns comfort_corner,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
4,1,4,greenhouse_heat_loop,coil_pipe,Milo,Fay,Milo owns coil_pipe,fit_glass,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
5,1,5,flood_bridge_market_route,lamp_markers,Milo,Ari,Milo owns lamp_markers,seal_joints,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
6,1,6,archive_public_kiosk,build_frame,Ari,Nia,Ari owns build_frame,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
7,1,7,dusk_signal_court,comfort_corner,Fay,Milo,Fay owns comfort_corner,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
8,1,8,greenhouse_heat_loop,coil_pipe,Milo,Fay,Milo owns coil_pipe,fit_glass,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
9,1,9,flood_bridge_market_route,lamp_markers,Milo,Ari,Milo owns lamp_markers,seal_joints,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
10,1,10,archive_public_kiosk,build_frame,Ari,Nia,Ari owns build_frame,sort_index,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
11,1,11,dusk_signal_court,comfort_corner,Fay,Milo,Fay owns comfort_corner,stake_posts,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
12,1,12,greenhouse_heat_loop,coil_pipe,Milo,Fay,Milo owns coil_pipe,fit_glass,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
13,1,13,flood_bridge_market_route,lamp_markers,Milo,Ari,Milo owns lamp_markers,seal_joints,False,0.0,0.0,0.0,True,dependency not ready,blocked: dependency not ready
