tick_id,day,agent,infrastructure_id,old_routine,new_routine,mutation_kind,triggered_by_state,routine_changed,later_visible
0,1,Ari,river_mill_bridge,manual household workaround,unchanged,stable,durability=0.85; skill=0.34; ecology=0.57,False,False
1,1,Fay,roof_greenhouse_cistern,manual household workaround,unchanged,stable,durability=0.82; skill=0.38; ecology=0.52,False,False
2,1,Nia,archive_public_kiosk,manual household workaround,unchanged,stable,durability=0.79; skill=0.43; ecology=0.51,False,False
3,1,Milo,dusk_signal_workshop,manual household workaround,unchanged,stable,durability=0.77; skill=0.46; ecology=0.55,False,False
4,1,Ari,river_mill_bridge,manual household workaround,unchanged,stable,durability=0.85; skill=0.34; ecology=0.57,False,False
5,1,Fay,roof_greenhouse_cistern,manual household workaround,unchanged,stable,durability=0.81; skill=0.39; ecology=0.54,False,False
6,1,Nia,archive_public_kiosk,manual household workaround,unchanged,stable,durability=0.78; skill=0.43; ecology=0.50,False,False
7,1,Milo,dusk_signal_workshop,manual household workaround,unchanged,stable,durability=0.76; skill=0.46; ecology=0.56,False,False
8,1,Ari,river_mill_bridge,manual household workaround,unchanged,stable,durability=0.83; skill=0.35; ecology=0.57,False,False
9,1,Fay,roof_greenhouse_cistern,manual household workaround,unchanged,stable,durability=0.80; skill=0.39; ecology=0.54,False,False
10,1,Nia,archive_public_kiosk,manual household workaround,unchanged,stable,durability=0.78; skill=0.43; ecology=0.50,False,False
11,1,Milo,dusk_signal_workshop,manual household workaround,unchanged,stable,durability=0.75; skill=0.47; ecology=0.57,False,False
12,1,Ari,river_mill_bridge,manual household workaround,unchanged,stable,durability=0.83; skill=0.36; ecology=0.57,False,False
13,1,Fay,roof_greenhouse_cistern,manual household workaround,unchanged,stable,durability=0.80; skill=0.40; ecology=0.54,False,False
14,1,Nia,archive_public_kiosk,manual household workaround,unchanged,stable,durability=0.77; skill=0.44; ecology=0.51,False,False
15,1,Milo,dusk_signal_workshop,manual household workaround,unchanged,stable,durability=0.74; skill=0.48; ecology=0.57,False,False
16,1,Ari,river_mill_bridge,manual household workaround,unchanged,stable,durability=0.82; skill=0.36; ecology=0.57,False,False
17,1,Fay,roof_greenhouse_cistern,manual household workaround,unchanged,stable,durability=0.79; skill=0.40; ecology=0.55,False,False
18,2,Nia,archive_public_kiosk,manual household workaround,unchanged,stable,durability=0.84; skill=0.44; ecology=0.52,False,False
19,2,Milo,dusk_signal_workshop,manual household workaround,unchanged,stable,durability=0.74; skill=0.48; ecology=0.58,False,False
