tick_id,day,debtor,creditor,project_id,material_or_service,debt_delta,balance_after,due_day,settled,settlement_kind,visible_to_parties,repair_path
0,1,Milo,Fay,greenhouse_heat_loop,copper,0.0,0.0,6,False,none,False,none
1,1,Milo,Ari,flood_bridge_market_route,oil,0.0,0.0,7,False,none,False,none
2,1,Ari,Nia,archive_public_kiosk,ink,0.0,0.0,6,False,none,False,none
3,1,Fay,Milo,dusk_signal_court,rope,0.0,0.0,8,False,none,False,none
4,1,Milo,Fay,greenhouse_heat_loop,copper,0.0,0.0,5,False,none,False,none
5,1,Milo,Ari,flood_bridge_market_route,oil,0.0,0.0,6,False,none,False,none
6,1,Ari,Nia,archive_public_kiosk,ink,0.0,0.0,5,False,none,False,none
7,1,Fay,Milo,dusk_signal_court,rope,0.0,0.0,7,False,none,False,none
8,1,Milo,Fay,greenhouse_heat_loop,copper,0.0,0.0,4,False,none,False,none
9,1,Milo,Ari,flood_bridge_market_route,oil,0.0,0.0,5,False,none,False,none
10,1,Ari,Nia,archive_public_kiosk,ink,0.0,0.0,4,False,none,False,none
11,1,Fay,Milo,dusk_signal_court,rope,0.0,0.0,6,False,none,False,none
12,1,Milo,Fay,greenhouse_heat_loop,copper,0.0,0.0,8,False,none,False,none
13,1,Milo,Ari,flood_bridge_market_route,oil,0.0,0.0,4,False,none,False,none
14,1,Ari,Nia,archive_public_kiosk,ink,0.0,0.0,8,False,none,False,none
15,1,Fay,Milo,dusk_signal_court,rope,0.0,0.0,5,False,none,False,none
16,1,Milo,Fay,greenhouse_heat_loop,copper,0.0,0.0,7,False,none,False,none
17,1,Milo,Ari,flood_bridge_market_route,oil,0.0,0.0,8,False,none,False,none
18,1,Ari,Nia,archive_public_kiosk,ink,0.0,0.0,7,False,none,False,none
19,1,Fay,Milo,dusk_signal_court,rope,0.0,0.0,4,False,none,False,none
20,2,Milo,Fay,greenhouse_heat_loop,water,0.0,0.0,7,False,none,False,none
21,2,Nia,Ari,flood_bridge_market_route,planks,0.0,0.0,9,False,none,False,none
22,2,Fay,Nia,archive_public_kiosk,thread,0.0,0.0,8,False,none,False,none
23,2,Ari,Milo,dusk_signal_court,oil,0.0,0.0,8,False,none,False,none
24,2,Milo,Fay,greenhouse_heat_loop,water,0.0,0.0,6,False,none,False,none
25,2,Nia,Ari,flood_bridge_market_route,planks,0.0,0.0,8,False,none,False,none
26,2,Fay,Nia,archive_public_kiosk,thread,0.0,0.0,7,False,none,False,none
27,2,Ari,Milo,dusk_signal_court,oil,0.0,0.0,7,False,none,False,none
28,2,Milo,Fay,greenhouse_heat_loop,water,0.0,0.0,5,False,none,False,none
29,2,Nia,Ari,flood_bridge_market_route,planks,0.0,0.0,7,False,none,False,none
