tick_id,day,agent_id,avatar_event,ego_wound,ego_repair,posture,gaze,distance_delta,voice_shape,movement_speed,visible_expression,expression_tied_to_ego_state
0,1,Ari,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
2,1,Nia,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
4,1,Ivo,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
7,1,Fay,give_space,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
9,1,Milo,request_owned_object,none,none,lantern held between body and road,task gaze,-0.01,steady,normal,True,True
11,1,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,normal,True,True
12,2,Ari,request_owned_object,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
14,2,Nia,ask_help,none,none,chin lifted toward the spool,task gaze,-0.01,steady,normal,True,True
16,2,Ivo,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
17,2,Juno,ask_status,none,none,elbows tucked around the wire,task gaze,-0.01,steady,normal,True,True
19,2,Fay,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
21,2,Milo,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
23,2,Juno,request_owned_object,none,none,elbows tucked around the wire,task gaze,-0.01,steady,normal,True,True
24,3,Ari,ask_permission,none,none,shoulders angled toward the ridge,task gaze,-0.01,steady,normal,True,True
26,3,Nia,offer_apology,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
28,3,Ivo,ask_help,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
31,3,Fay,ask_help,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
33,3,Milo,interrupt_task,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
34,3,Ivo,ask_permission,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
35,3,Juno,ask_permission,none,none,elbows tucked around the wire,task gaze,-0.01,steady,normal,True,True
36,4,Ari,move_owned_object,ownership boundary crossed,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
38,4,Nia,offer_care,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
39,4,Milo,protect_object,none,apology/space accepted,softens and faces avatar,direct gaze,-0.055,warmer and longer,normal,True,True
40,4,Ivo,ask_status,none,none,one palm over the satchel cord,task gaze,-0.01,steady,normal,True,True
43,4,Fay,ask_status,none,none,hands open near the ledger,task gaze,-0.01,steady,normal,True,True
45,4,Milo,misname_agent,social face wound,none,turns away with object shielded,side gaze,0.075,short and guarded,normal,True,True
