metric,value
source_v54_continuity,1.0
playable_task_loop_trace,1.0
resident_pathing_to_project_site,1.0
tool_pickup_drop_trace,1.0
visible_inventory_delta_trace,1.0
recoverable_failed_work_trace,1.0
relationship_phrase_session_continuity,1.0
multi_session_reload_integrity,1.0
browser_v55_surface,1.0
private_workspace_boundary_preserved,1.0
frequency_flower_task_binding,1.0
conversation_no_llm_boundary,1.0
task_loop_not_finished_gameplay,0.842
browser_world_v55_surface,1.0
weakest_channel_name,task_loop_not_finished_gameplay
mean_playable_task_loop_channel_score,0.988714
weakest_channel_score,0.842
browser_world_v55_playable_task_loop_readiness,0.9447
session_day_count,204.0
playable_task_loop_count,3672.0
resident_pathing_count,3672.0
tool_pickup_drop_count,3672.0
visible_inventory_delta_count,3672.0
recoverable_failed_work_count,2550.0
relationship_phrase_session_count,3672.0
session_reload_probe_count,490.0
browser_tick_count,3672.0
html_button_count,302.0
html_localstorage_handler_count,2.0
