day,lineage,agent,sleep_start_hour,sleep_end_hour,sleep_hours,wake_quality,circadian_phase,interruption_count,dream_rehearsal_available,public_sleep_marker
1,Hearthline,Sova,21,5,7.941298,0.995278,recovered,0,True,Sova wakes recovered; interruptions=0; avatar=present_passive.
1,Routeline,Keth,22,6,7.809298,0.971358,recovered,0,True,Keth wakes recovered; interruptions=0; avatar=present_passive.
1,Marketline,Melo,21,7,7.787298,0.973238,recovered,0,True,Melo wakes recovered; interruptions=0; avatar=present_passive.
1,Ledgerline,Nari,22,5,7.853298,0.970798,recovered,0,True,Nari wakes recovered; interruptions=0; avatar=present_passive.
1,Orchardline,Ori,21,6,7.897298,0.983038,recovered,0,True,Ori wakes recovered; interruptions=0; avatar=present_passive.
1,Rainline,Vonn,22,7,7.798298,0.969098,recovered,0,True,Vonn wakes recovered; interruptions=0; avatar=present_passive.
2,Hearthline,Sova,21,5,7.329237,0.888554,recovered,1,True,Sova wakes recovered; interruptions=1; avatar=present_passive.
2,Routeline,Keth,22,6,7.197237,0.864634,recovered,1,True,Keth wakes recovered; interruptions=1; avatar=present_passive.
2,Marketline,Melo,21,7,7.175237,0.866514,recovered,1,True,Melo wakes recovered; interruptions=1; avatar=present_passive.
2,Ledgerline,Nari,22,5,7.241237,0.864074,recovered,1,True,Nari wakes recovered; interruptions=1; avatar=present_passive.
2,Orchardline,Ori,21,6,7.285237,0.876314,recovered,1,True,Ori wakes recovered; interruptions=1; avatar=present_passive.
2,Rainline,Vonn,22,7,7.186237,0.862374,recovered,1,True,Vonn wakes recovered; interruptions=1; avatar=present_passive.
3,Hearthline,Sova,21,5,7.931157,0.994669,recovered,0,True,Sova wakes recovered; interruptions=0; avatar=idle_nearby.
3,Routeline,Keth,22,6,7.799157,0.970749,recovered,0,True,Keth wakes recovered; interruptions=0; avatar=idle_nearby.
3,Marketline,Melo,21,7,7.777157,0.972629,recovered,0,True,Melo wakes recovered; interruptions=0; avatar=idle_nearby.
3,Ledgerline,Nari,22,5,7.843157,0.970189,recovered,0,True,Nari wakes recovered; interruptions=0; avatar=idle_nearby.
3,Orchardline,Ori,21,6,7.887157,0.982429,recovered,0,True,Ori wakes recovered; interruptions=0; avatar=idle_nearby.
3,Rainline,Vonn,22,7,7.788157,0.968489,recovered,0,True,Vonn wakes recovered; interruptions=0; avatar=idle_nearby.
4,Hearthline,Sova,21,5,8.10837,1.0,recovered,0,True,Sova wakes recovered; interruptions=0; avatar=absent_saved.
4,Routeline,Keth,22,6,7.97637,0.981382,recovered,0,True,Keth wakes recovered; interruptions=0; avatar=absent_saved.
4,Marketline,Melo,21,7,7.95437,0.983262,recovered,0,True,Melo wakes recovered; interruptions=0; avatar=absent_saved.
4,Ledgerline,Nari,22,5,8.02037,0.980822,recovered,0,True,Nari wakes recovered; interruptions=0; avatar=absent_saved.
4,Orchardline,Ori,21,6,8.06437,0.993062,recovered,0,True,Ori wakes recovered; interruptions=0; avatar=absent_saved.
4,Rainline,Vonn,22,7,7.96537,0.979122,recovered,0,True,Vonn wakes recovered; interruptions=0; avatar=absent_saved.
5,Hearthline,Sova,21,5,7.372102,0.891126,recovered,1,True,Sova wakes recovered; interruptions=1; avatar=reentry.
5,Routeline,Keth,22,6,7.790102,0.970206,recovered,0,True,Keth wakes recovered; interruptions=0; avatar=reentry.
5,Marketline,Melo,21,7,7.768102,0.972086,recovered,0,True,Melo wakes recovered; interruptions=0; avatar=reentry.
5,Ledgerline,Nari,22,5,7.284102,0.866646,recovered,1,True,Nari wakes recovered; interruptions=1; avatar=reentry.
5,Orchardline,Ori,21,6,7.878102,0.981886,recovered,0,True,Ori wakes recovered; interruptions=0; avatar=reentry.
5,Rainline,Vonn,22,7,7.779102,0.967946,recovered,0,True,Vonn wakes recovered; interruptions=0; avatar=reentry.
6,Hearthline,Sova,21,5,7.926149,0.994369,recovered,0,True,Sova wakes recovered; interruptions=0; avatar=idle_nearby.
6,Routeline,Keth,22,6,7.794149,0.970449,recovered,0,True,Keth wakes recovered; interruptions=0; avatar=idle_nearby.
6,Marketline,Melo,21,7,7.772149,0.972329,recovered,0,True,Melo wakes recovered; interruptions=0; avatar=idle_nearby.
6,Ledgerline,Nari,22,5,7.838149,0.969889,recovered,0,True,Nari wakes recovered; interruptions=0; avatar=idle_nearby.
6,Orchardline,Ori,21,6,7.882149,0.982129,recovered,0,True,Ori wakes recovered; interruptions=0; avatar=idle_nearby.
6,Rainline,Vonn,22,7,7.783149,0.968189,recovered,0,True,Vonn wakes recovered; interruptions=0; avatar=idle_nearby.
7,Hearthline,Sova,21,5,7.319881,0.887993,recovered,1,True,Sova wakes recovered; interruptions=1; avatar=present_passive.
7,Routeline,Keth,22,6,7.187881,0.864073,recovered,1,True,Keth wakes recovered; interruptions=1; avatar=present_passive.
7,Marketline,Melo,21,7,7.165881,0.865953,recovered,1,True,Melo wakes recovered; interruptions=1; avatar=present_passive.
7,Ledgerline,Nari,22,5,7.231881,0.863513,recovered,1,True,Nari wakes recovered; interruptions=1; avatar=present_passive.
7,Orchardline,Ori,21,6,7.275881,0.875753,recovered,1,True,Ori wakes recovered; interruptions=1; avatar=present_passive.
7,Rainline,Vonn,22,7,7.176881,0.861813,recovered,1,True,Vonn wakes recovered; interruptions=1; avatar=present_passive.
8,Hearthline,Sova,21,5,7.92414,0.994248,recovered,0,True,Sova wakes recovered; interruptions=0; avatar=present_passive.
8,Routeline,Keth,22,6,7.79214,0.970328,recovered,0,True,Keth wakes recovered; interruptions=0; avatar=present_passive.
8,Marketline,Melo,21,7,7.77014,0.972208,recovered,0,True,Melo wakes recovered; interruptions=0; avatar=present_passive.
