tick_id,day,route_id,drill_id,minigame_step,input_prompt,selected_action,step_success,score_delta,recovery_lesson,replayable
0,1,riverbend_roofward,drill:riverbend_roofward:d1,none,none,none,False,0.0,none,False
1,1,roofward_archive,drill:roofward_archive:d1,none,none,none,False,0.0,none,False
2,1,archive_signal,drill:archive_signal:d1,none,none,none,False,0.0,none,False
3,1,signal_orchard,drill:signal_orchard:d1,none,none,none,False,0.0,none,False
4,1,orchard_riverbend,drill:orchard_riverbend:d1,none,none,none,False,0.0,none,False
5,1,central_repair_ring,drill:central_repair_ring:d1,none,none,none,False,0.0,none,False
6,1,riverbend_roofward,drill:riverbend_roofward:d1,none,none,none,False,0.0,none,False
7,1,roofward_archive,drill:roofward_archive:d1,none,none,none,False,0.0,none,False
8,1,archive_signal,drill:archive_signal:d1,none,none,none,False,0.0,none,False
9,1,signal_orchard,drill:signal_orchard:d1,none,none,none,False,0.0,none,False
10,1,orchard_riverbend,drill:orchard_riverbend:d1,none,none,none,False,0.0,none,False
11,1,central_repair_ring,drill:central_repair_ring:d1,none,none,none,False,0.0,none,False
12,1,riverbend_roofward,drill:riverbend_roofward:d1,none,none,none,False,0.0,none,False
13,1,roofward_archive,drill:roofward_archive:d1,none,none,none,False,0.0,none,False
14,1,archive_signal,drill:archive_signal:d1,none,none,none,False,0.0,none,False
15,1,signal_orchard,drill:signal_orchard:d1,none,none,none,False,0.0,none,False
16,2,orchard_riverbend,drill:orchard_riverbend:d2,none,none,none,False,0.0,none,False
17,2,central_repair_ring,drill:central_repair_ring:d2,none,none,none,False,0.0,none,False
18,2,riverbend_roofward,drill:riverbend_roofward:d2,none,none,none,False,0.0,none,False
19,2,roofward_archive,drill:roofward_archive:d2,none,none,none,False,0.0,none,False
20,2,archive_signal,drill:archive_signal:d2,none,none,none,False,0.0,none,False
21,2,signal_orchard,drill:signal_orchard:d2,none,none,none,False,0.0,none,False
22,2,orchard_riverbend,drill:orchard_riverbend:d2,none,none,none,False,0.0,none,False
23,2,central_repair_ring,drill:central_repair_ring:d2,none,none,none,False,0.0,none,False
24,2,riverbend_roofward,drill:riverbend_roofward:d2,none,none,none,False,0.0,none,False
25,2,roofward_archive,drill:roofward_archive:d2,none,none,none,False,0.0,none,False
26,2,archive_signal,drill:archive_signal:d2,none,none,none,False,0.0,none,False
27,2,signal_orchard,drill:signal_orchard:d2,none,none,none,False,0.0,none,False
28,2,orchard_riverbend,drill:orchard_riverbend:d2,none,none,none,False,0.0,none,False
29,2,central_repair_ring,drill:central_repair_ring:d2,none,none,none,False,0.0,none,False
30,2,riverbend_roofward,drill:riverbend_roofward:d2,none,none,none,False,0.0,none,False
31,2,roofward_archive,drill:roofward_archive:d2,none,none,none,False,0.0,none,False
32,3,archive_signal,drill:archive_signal:d3,none,none,none,False,0.0,none,False
33,3,signal_orchard,drill:signal_orchard:d3,none,none,none,False,0.0,none,False
34,3,orchard_riverbend,drill:orchard_riverbend:d3,none,none,none,False,0.0,none,False
35,3,central_repair_ring,drill:central_repair_ring:d3,none,none,none,False,0.0,none,False
36,3,riverbend_roofward,drill:riverbend_roofward:d3,none,none,none,False,0.0,none,False
37,3,roofward_archive,drill:roofward_archive:d3,none,none,none,False,0.0,none,False
38,3,archive_signal,drill:archive_signal:d3,none,none,none,False,0.0,none,False
39,3,signal_orchard,drill:signal_orchard:d3,none,none,none,False,0.0,none,False
40,3,orchard_riverbend,drill:orchard_riverbend:d3,none,none,none,False,0.0,none,False
41,3,central_repair_ring,drill:central_repair_ring:d3,none,none,none,False,0.0,none,False
42,3,riverbend_roofward,drill:riverbend_roofward:d3,none,none,none,False,0.0,none,False
43,3,roofward_archive,drill:roofward_archive:d3,none,none,none,False,0.0,none,False
44,3,archive_signal,drill:archive_signal:d3,none,none,none,False,0.0,none,False
45,3,signal_orchard,drill:signal_orchard:d3,none,none,none,False,0.0,none,False
46,3,orchard_riverbend,drill:orchard_riverbend:d3,none,none,none,False,0.0,none,False
47,3,central_repair_ring,drill:central_repair_ring:d3,none,none,none,False,0.0,none,False
48,4,riverbend_roofward,drill:riverbend_roofward:d4,none,none,none,False,0.0,none,False
49,4,roofward_archive,drill:roofward_archive:d4,none,none,none,False,0.0,none,False
50,4,archive_signal,drill:archive_signal:d4,none,none,none,False,0.0,none,False
51,4,signal_orchard,drill:signal_orchard:d4,none,none,none,False,0.0,none,False
52,4,orchard_riverbend,drill:orchard_riverbend:d4,none,none,none,False,0.0,none,False
53,4,central_repair_ring,drill:central_repair_ring:d4,none,none,none,False,0.0,none,False
54,4,riverbend_roofward,drill:riverbend_roofward:d4,none,none,none,False,0.0,none,False
55,4,roofward_archive,drill:roofward_archive:d4,none,none,none,False,0.0,none,False
56,4,archive_signal,drill:archive_signal:d4,none,none,none,False,0.0,none,False
57,4,signal_orchard,drill:signal_orchard:d4,none,none,none,False,0.0,none,False
58,4,orchard_riverbend,drill:orchard_riverbend:d4,none,none,none,False,0.0,none,False
59,4,central_repair_ring,drill:central_repair_ring:d4,none,none,none,False,0.0,none,False
60,4,riverbend_roofward,drill:riverbend_roofward:d4,none,none,none,False,0.0,none,False
61,4,roofward_archive,drill:roofward_archive:d4,none,none,none,False,0.0,none,False
62,4,archive_signal,drill:archive_signal:d4,none,none,none,False,0.0,none,False
63,4,signal_orchard,drill:signal_orchard:d4,none,none,none,False,0.0,none,False
64,5,orchard_riverbend,drill:orchard_riverbend:d5,none,none,none,False,0.0,none,False
65,5,central_repair_ring,drill:central_repair_ring:d5,none,none,none,False,0.0,none,False
66,5,riverbend_roofward,drill:riverbend_roofward:d5,none,none,none,False,0.0,none,False
67,5,roofward_archive,drill:roofward_archive:d5,choose detour,choose public recovery action,cool archive lane,True,0.03,"forecast, caravan task, recovery marker",True
68,5,archive_signal,drill:archive_signal:d5,none,none,none,False,0.0,none,False
69,5,signal_orchard,drill:signal_orchard:d5,none,none,none,False,0.0,none,False
70,5,orchard_riverbend,drill:orchard_riverbend:d5,none,none,none,False,0.0,none,False
71,5,central_repair_ring,drill:central_repair_ring:d5,assign caravan task,choose public recovery action,carry wire spool,True,0.03,"forecast, caravan task, recovery marker",True
72,5,riverbend_roofward,drill:riverbend_roofward:d5,none,none,none,False,0.0,none,False
73,5,roofward_archive,drill:roofward_archive:d5,none,none,none,False,0.0,none,False
74,5,archive_signal,drill:archive_signal:d5,none,none,none,False,0.0,none,False
75,5,signal_orchard,drill:signal_orchard:d5,none,none,none,False,0.0,none,False
76,5,orchard_riverbend,drill:orchard_riverbend:d5,none,none,none,False,0.0,none,False
