tick,day,ceremony_id,loop_id,agent,object_name,handling_action,object_contact_recorded,handoff_respected,ceremony_step_completed,object_state_changed,object_ceremony_score
0,1,v19-object-ceremony-d01-t00,v19-loop-001,Keth,path cord,lift_object,1,0,0,0,0.5
1,1,v19-object-ceremony-d01-t01,v19-loop-001,Melo,tally beads,offer_handoff,1,1,0,1,1.0
2,1,v19-object-ceremony-d01-t02,v19-loop-001,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
3,1,v19-object-ceremony-d01-t03,v19-loop-001,Ori,sap hook,tap_witness,1,1,0,1,1.0
4,1,v19-object-ceremony-d01-t04,v19-loop-001,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
5,1,v19-object-ceremony-d01-t05,v19-loop-001,Sova,ember bowl,touch_marker,1,1,1,0,0.75
6,1,v19-object-ceremony-d01-t06,v19-loop-001,Keth,path cord,lift_object,1,1,1,1,1.0
7,1,v19-object-ceremony-d01-t07,v19-loop-001,Melo,tally beads,offer_handoff,1,1,0,1,1.0
8,1,v19-object-ceremony-d01-t08,v19-loop-002,Nari,ink ledger,place_between_agents,0,1,0,0,0.75
9,1,v19-object-ceremony-d01-t09,v19-loop-002,Ori,sap hook,tap_witness,1,1,1,1,1.0
10,1,v19-object-ceremony-d01-t10,v19-loop-002,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
11,1,v19-object-ceremony-d01-t11,v19-loop-002,Sova,ember bowl,touch_marker,1,1,0,1,1.0
12,2,v19-object-ceremony-d02-t00,v19-loop-002,Melo,tally beads,offer_handoff,1,1,0,1,1.0
13,2,v19-object-ceremony-d02-t01,v19-loop-002,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
14,2,v19-object-ceremony-d02-t02,v19-loop-002,Ori,sap hook,tap_witness,1,1,1,1,1.0
15,2,v19-object-ceremony-d02-t03,v19-loop-002,Vonn,listening shell,return_to_owner,1,1,1,1,1.0
16,2,v19-object-ceremony-d02-t04,v19-loop-003,Sova,ember bowl,touch_marker,1,1,0,1,1.0
17,2,v19-object-ceremony-d02-t05,v19-loop-003,Keth,path cord,lift_object,1,1,1,1,1.0
18,2,v19-object-ceremony-d02-t06,v19-loop-003,Melo,tally beads,offer_handoff,1,1,0,0,0.75
19,2,v19-object-ceremony-d02-t07,v19-loop-003,Nari,ink ledger,place_between_agents,1,0,0,0,0.5
20,2,v19-object-ceremony-d02-t08,v19-loop-003,Ori,sap hook,tap_witness,1,1,0,1,0.75
21,2,v19-object-ceremony-d02-t09,v19-loop-003,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
22,2,v19-object-ceremony-d02-t10,v19-loop-003,Sova,ember bowl,touch_marker,1,1,0,1,1.0
23,2,v19-object-ceremony-d02-t11,v19-loop-003,Keth,path cord,lift_object,1,1,0,1,1.0
24,3,v19-object-ceremony-d03-t00,v19-loop-004,Nari,ink ledger,place_between_agents,1,1,0,1,1.0
25,3,v19-object-ceremony-d03-t01,v19-loop-004,Ori,sap hook,tap_witness,1,1,0,1,1.0
26,3,v19-object-ceremony-d03-t02,v19-loop-004,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
27,3,v19-object-ceremony-d03-t03,v19-loop-004,Sova,ember bowl,touch_marker,1,1,0,1,1.0
28,3,v19-object-ceremony-d03-t04,v19-loop-004,Keth,path cord,lift_object,1,1,0,1,1.0
29,3,v19-object-ceremony-d03-t05,v19-loop-004,Melo,tally beads,offer_handoff,1,1,0,1,1.0
30,3,v19-object-ceremony-d03-t06,v19-loop-004,Nari,ink ledger,place_between_agents,1,1,1,1,1.0
31,3,v19-object-ceremony-d03-t07,v19-loop-004,Ori,sap hook,tap_witness,1,1,0,0,0.75
32,3,v19-object-ceremony-d03-t08,v19-loop-005,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
33,3,v19-object-ceremony-d03-t09,v19-loop-005,Sova,ember bowl,touch_marker,1,1,1,1,1.0
34,3,v19-object-ceremony-d03-t10,v19-loop-005,Keth,path cord,lift_object,1,1,0,1,1.0
35,3,v19-object-ceremony-d03-t11,v19-loop-005,Melo,tally beads,offer_handoff,1,1,0,1,1.0
36,4,v19-object-ceremony-d04-t00,v19-loop-005,Ori,sap hook,tap_witness,1,1,0,1,1.0
37,4,v19-object-ceremony-d04-t01,v19-loop-005,Vonn,listening shell,return_to_owner,1,1,0,1,1.0
38,4,v19-object-ceremony-d04-t02,v19-loop-005,Sova,ember bowl,touch_marker,1,0,0,0,0.5
