day,season,agent,kind,note,tradeoff,care_from,care_success,care_delayed,relationship,relationship_before,relationship_after,adverse_body_before,adverse_body_after,hunger,warmth_deficit,wetness,fatigue,illness_risk,symptoms,pain,market_stress_before,market_stress_after,care_capacity,private_workspace_sealed,frequency_rate_hz,flower_ring,claim_boundary
1,wet chill,Ari,exposure,Ari starts wet route work without enough heat wood.,,,False,False,,,,0.259,0.306,0.405,0.527,0.471,0.363,0.247,0.050,0.080,0.320,0.340,0.580,True,1.670,12,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
3,wet chill,Ari,care,Fay dries Ari's sleeve and shares stove time.,,Fay,True,False,Fay,0.640,0.680,0.310,0.286,0.411,0.474,0.402,0.366,0.215,0.050,0.080,0.340,0.340,0.580,True,2.117,16,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
5,wet chill,Fay,tradeoff,Fay protects hunger at the cost of warmth.,buys food instead of heat,,False,False,,,,0.243,0.251,0.555,0.317,0.231,0.313,0.237,0.060,0.040,0.380,0.420,0.650,True,3.445,28,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
8,wet chill,Milo,exposure,Milo waits in wet archive draft because tool price is high.,,,False,False,,,,0.255,0.283,0.375,0.397,0.391,0.393,0.287,0.080,0.060,0.520,0.550,0.460,True,4.889,41,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
11,wet chill,Fay,symptom,Fay develops a cough after cold stove nights and misses one repair meal.,,,False,False,Ari,0.690,0.670,0.254,0.278,0.561,0.324,0.242,0.366,0.234,0.180,0.040,0.420,0.420,0.650,True,6.005,51,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
14,wet chill,Fay,care,Ari brings dry wood and accepts a shorter visit.,,Ari,True,False,Ari,0.670,0.720,0.282,0.267,0.566,0.282,0.254,0.370,0.231,0.130,0.040,0.420,0.420,0.650,True,6.990,60,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
18,wet chill,Milo,market_stress,Milo's food debt makes him guarded when Fay asks about repayment.,,,False,False,Fay,0.610,0.570,0.287,0.313,0.481,0.404,0.402,0.436,0.326,0.080,0.060,0.550,0.650,0.460,True,1.896,14,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
21,cold scarcity,Milo,care,Fay shares food without erasing Milo's debt memory.,,Fay,True,False,Fay,0.570,0.610,0.318,0.302,0.412,0.419,0.407,0.443,0.296,0.080,0.060,0.650,0.650,0.460,True,2.224,17,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
24,cold scarcity,Ari,refusal,Ari refuses night brace labor and Milo accepts the body limit.,,,False,False,Milo,0.570,0.590,0.290,0.286,0.422,0.489,0.407,0.343,0.213,0.050,0.080,0.340,0.330,0.530,True,3.775,31,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
27,cold scarcity,Ari,symptom,Ari's chill becomes a wrist ache after repeated wet work.,,,False,False,Fay,0.703,0.693,0.291,0.320,0.432,0.503,0.412,0.399,0.211,0.150,0.130,0.330,0.330,0.530,True,5.113,43,"Deterministic seasonal body-ecology substrate only: not real illness, not real care, not subjective suffering, not subjective consciousness, and not moral patienthood."
