tick_id,day,settlement_id,schedulable_project_panel,inventory_task_panel,tool_wear_panel,failed_recovery_panel,phrase_relationship_panel,reload_panel,frequency_flower_panel,visible_boundary_notice,save_restore_key,replay_key
0,1,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v54.glass_harbor.state,ssrm.v54.glass_harbor.replay
1,1,cinder_garden,True,True,True,True,True,True,True,True,ssrm.v54.cinder_garden.state,ssrm.v54.cinder_garden.replay
2,1,lichen_bridge,True,True,True,True,True,True,True,True,ssrm.v54.lichen_bridge.state,ssrm.v54.lichen_bridge.replay
3,1,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v54.orchid_engine.state,ssrm.v54.orchid_engine.replay
4,1,moss_ward,True,True,True,True,True,True,True,True,ssrm.v54.moss_ward.state,ssrm.v54.moss_ward.replay
5,1,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v54.glass_harbor.state,ssrm.v54.glass_harbor.replay
6,1,cinder_garden,True,True,True,True,True,True,True,True,ssrm.v54.cinder_garden.state,ssrm.v54.cinder_garden.replay
7,1,lichen_bridge,True,True,True,True,True,True,True,True,ssrm.v54.lichen_bridge.state,ssrm.v54.lichen_bridge.replay
8,1,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v54.orchid_engine.state,ssrm.v54.orchid_engine.replay
9,1,moss_ward,True,True,True,True,True,True,True,True,ssrm.v54.moss_ward.state,ssrm.v54.moss_ward.replay
10,1,glass_harbor,True,True,True,True,True,True,True,True,ssrm.v54.glass_harbor.state,ssrm.v54.glass_harbor.replay
11,1,cinder_garden,True,True,True,True,True,True,True,True,ssrm.v54.cinder_garden.state,ssrm.v54.cinder_garden.replay
12,1,lichen_bridge,True,True,True,True,True,True,True,True,ssrm.v54.lichen_bridge.state,ssrm.v54.lichen_bridge.replay
13,1,orchid_engine,True,True,True,True,True,True,True,True,ssrm.v54.orchid_engine.state,ssrm.v54.orchid_engine.replay
14,1,moss_ward,True,True,True,True,True,True,True,True,ssrm.v54.moss_ward.state,ssrm.v54.moss_ward.replay
