metric,value
source_in_browser_mutation_continuity,1.0
multi_agent_concurrency_surface,0.97619
concurrent_branch_persistence,0.97619
conflict_detection_rate,0.951389
arbitration_resolution_rate,0.875
followup_arbitration_after_reload,0.939394
schedule_access_trust_conflict_binding,1.0
partial_rollback_isolation,0.967262
privacy_safe_arbitration,1.0
typed_arbitration_confidence,0.856346
replay_arbitration_integrity,0.985952
save_restore_multi_branch_integrity,0.967742
sensory_frequency_flower_conflict_rhythm,1.0
browser_world_v15_surface_available,1.0
mean_conflict_channel_score,0.963962
weakest_channel_score,0.856346
browser_world_v15_conflict_arbitration_readiness,0.92522
