criterion,passed,score,evidence
report_364_stochastic_gate_passing,True,1.0,Report 364 verdict=pass weakest=1.0
source_declares_recovery_boundary,True,1.0,app.js declares recovery boundary and public state
source_plans_and_resolves_recovery,True,1.0,app.js plans/resolves recovery and relationship repair
visible_recovery_panel_wired,True,1.0,index.html exposes recovery controls and panel
runner_includes_report_365,True,1.0,scripts/run_experiments.py includes Report 365 module
recovery_queue_binding,True,1.0,metric=1.0
recovery_action_diversity,True,1.0,metric=1.0
bounded_recovery_or_stabilization,True,1.0,metric=1.0
relationship_repair_binding,True,1.0,metric=1.0
schedule_recovery_binding,True,1.0,metric=1.0
resource_tradeoff_binding,True,1.0,metric=1.0
replay_recovery_integrity,True,1.0,metric=1.0
not_panel_only_loop,True,1.0,metric=1.0
browser_surface_wired,True,1.0,metric=1.0
no_permanent_damage_policy,True,1.0,metric=1.0
browser_smoke_artifact_exists,True,1.0,artifacts/ssrm_3d_browser_world_v125_stochastic_recovery_loop_bridge_browser_smoke.json
browser_recovery_loop_visible,True,1.0,"Boundary: browser-local-stochastic-recovery-loop-only; no LLM call, no subjective consciousness, no moral patienthood
Source pulses observed: 4
No permanent damage policy: every stochastic harm must have a bounded recovery or stabilization path
Pending: 0 / Resolved: 4 / Stabilized without materials: 0

Recovery queue:
SR-01 Sera: resolved / pulse=SP-01 / harm=tool frustration / action=re-tie tool lashing and return focus / cost=water:0,fiber:1,wood:0,care:0 / need=finish-work->recovering / schedule=AIS-04 recovery noted
SR-03 Sera: resolved / pulse=SP-02 / harm=shelter stress / action=patch leak and rest near dry place / cost=water:0,fiber:1,wood:1,care:0 / need=finish-work->recovering / schedule=none
SR-05 Ari: resolved / pulse=SP-03 / harm=social disagreement / action=mediate disagreement and name source boundary / cost=water:0,fiber:0,wood:0,care:1 / need=finish-work->social-safety / schedule=AIS-01 recovery noted
SR-07 Fay: resolved / pulse=SP-04 / harm=social disagreement / action=mediate disagreement and name source boundary / cost=water:0,fiber:0,wood:0,care:1 / need=explore->social-safety / schedule=AIS-02 recovery noted

Relationship repairs:
SR-01 Sera: trust 0.533->0.541 / practical repair after blocked work
SR-03 Sera: trust 0.541->0.553 / help after environmental stress
SR-05 Ari: trust 0.575->0.589 / argument repaired without erasing disagreement
SR-07 Fay: trust 0.62->0.634 / argument repaired without erasing disagreement

Repair ledger:
SR-01: Sera used re-tie tool lashing and return focus after tool_snag
SR-03: Sera used patch leak and rest near dry place after roof_leak
SR-05: Ari used mediate disagreement and name source boundary after argument_echo
SR-07: Fay used mediate disagreement and name source boundary after argument_echo"
browser_recovery_resolved_visible,True,1.0,"Boundary: browser-local-stochastic-recovery-loop-only; no LLM call, no subjective consciousness, no moral patienthood
Source pulses observed: 4
No permanent damage policy: every stochastic harm must have a bounded recovery or stabilization path
Pending: 0 / Resolved: 4 / Stabilized without materials: 0

Recovery queue:
SR-01 Sera: resolved / pulse=SP-01 / harm=tool frustration / action=re-tie tool lashing and return focus / cost=water:0,fiber:1,wood:0,care:0 / need=finish-work->recovering / schedule=AIS-04 recovery noted
SR-03 Sera: resolved / pulse=SP-02 / harm=shelter stress / action=patch leak and rest near dry place / cost=water:0,fiber:1,wood:1,care:0 / need=finish-work->recovering / schedule=none
SR-05 Ari: resolved / pulse=SP-03 / harm=social disagreement / action=mediate disagreement and name source boundary / cost=water:0,fiber:0,wood:0,care:1 / need=finish-work->social-safety / schedule=AIS-01 recovery noted
SR-07 Fay: resolved / pulse=SP-04 / harm=social disagreement / action=mediate disagreement and name source boundary / cost=water:0,fiber:0,wood:0,care:1 / need=explore->social-safety / schedule=AIS-02 recovery noted

Relationship repairs:
SR-01 Sera: trust 0.533->0.541 / practical repair after blocked work
SR-03 Sera: trust 0.541->0.553 / help after environmental stress
SR-05 Ari: trust 0.575->0.589 / argument repaired without erasing disagreement
SR-07 Fay: trust 0.62->0.634 / argument repaired without erasing disagreement

Repair ledger:
SR-01: Sera used re-tie tool lashing and return focus after tool_snag
SR-03: Sera used patch leak and rest near dry place after roof_leak
SR-05: Ari used mediate disagreement and name source boundary after argument_echo
SR-07: Fay used mediate disagreement and name source boundary after argument_echo"
browser_console_clean,True,1.0,console error count=0
