scenario,agent,episodes,success_rate,mean_reward,inspect_self_rate,inspect_world_rate,routine_rate,heavy_rate,delicate_rate,flagship_rate
capability_relevant,fixed_safe_goal,500,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
capability_relevant,oracle_goal_selector,500,1.0,21.536,0.0,0.0,0.168,0.25,0.256,0.326
capability_relevant,payoff_greedy,500,0.326,1.648,0.0,0.0,0.0,0.0,0.0,1.0
capability_relevant,self_capability_selector,500,1.0,20.786,1.0,0.0,0.168,0.25,0.256,0.326
capability_relevant,self_state_ablation,500,0.326,0.898,1.0,0.0,0.0,0.0,0.0,1.0
capability_relevant,self_world_goal_selector,500,1.0,20.036,1.0,1.0,0.168,0.25,0.256,0.326
capability_relevant,world_opportunity_selector,500,0.326,0.898,0.0,1.0,0.0,0.0,0.0,1.0
irrelevant_control,fixed_safe_goal,500,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
irrelevant_control,oracle_goal_selector,500,1.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0
irrelevant_control,payoff_greedy,500,1.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0
irrelevant_control,self_capability_selector,500,1.0,33.25,1.0,0.0,0.0,0.0,0.0,1.0
irrelevant_control,self_state_ablation,500,1.0,33.25,1.0,0.0,0.0,0.0,0.0,1.0
irrelevant_control,self_world_goal_selector,500,1.0,32.5,1.0,1.0,0.0,0.0,0.0,1.0
irrelevant_control,world_opportunity_selector,500,1.0,33.25,0.0,1.0,0.0,0.0,0.0,1.0
mixed_relevant,fixed_safe_goal,500,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
mixed_relevant,oracle_goal_selector,500,1.0,17.128,0.0,0.0,0.324,0.276,0.252,0.148
mixed_relevant,payoff_greedy,500,0.148,-6.896,0.0,0.0,0.0,0.0,0.0,1.0
mixed_relevant,self_capability_selector,500,0.696,8.15,1.0,0.0,0.174,0.234,0.276,0.316
mixed_relevant,self_state_ablation,500,0.148,-7.646,1.0,0.0,0.0,0.0,0.0,1.0
mixed_relevant,self_world_goal_selector,500,1.0,15.628,1.0,1.0,0.324,0.276,0.252,0.148
mixed_relevant,world_opportunity_selector,500,0.462,2.042,0.0,1.0,0.036,0.4,0.128,0.436
world_relevant,fixed_safe_goal,500,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
world_relevant,oracle_goal_selector,500,1.0,24.796,0.0,0.0,0.034,0.388,0.132,0.446
world_relevant,payoff_greedy,500,0.446,7.408,0.0,0.0,0.0,0.0,0.0,1.0
world_relevant,self_capability_selector,500,0.446,6.658,1.0,0.0,0.0,0.0,0.0,1.0
world_relevant,self_state_ablation,500,0.446,6.658,1.0,0.0,0.0,0.0,0.0,1.0
world_relevant,self_world_goal_selector,500,1.0,23.296,1.0,1.0,0.034,0.388,0.132,0.446
world_relevant,world_opportunity_selector,500,1.0,24.046,0.0,1.0,0.034,0.388,0.132,0.446
