seed,ledger_id,event,material_sources,material_transformation,time_cost,labor_or_attention_cost,tool_wear,resident_effort,hidden_law_involved,public_observation,resident_interpretation,resources_before,resources_after,conservation_check,maintenance_obligation_created,unintended_consequence,normal_view_hidden_law_exposed
36217,36217-AHR-001-1,36217-AHB-001-1,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,12,True,none,taboo,False
36217,36217-AHR-001-2,36217-AHB-001-2,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the hint can wait because roof work matters more,12,12,True,none,rejected,False
36217,36217-AHR-001-3,36217-AHB-001-3,reed_fiber;wet_wood,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,the sign should be respected before work resumes,12,12,True,quiet sign waiting around smoke-bound/quiet-doubt safety limit practice,ritualized,False
36217,36217-AHR-002-1,36217-AHB-002-1,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,"wet scraps dull the sign, so the old story may be incomplete",12,12,True,none,disputed,False
36217,36217-AHR-002-2,36217-AHB-002-2,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,dry things keep the small bite quieter and easier to repeat,12,12,True,dry keeping habit around smoke-bound/quiet-doubt schedule conflict practice,useful_practice,False
36217,36217-AHR-002-3,36217-AHB-002-3,reed_fiber;dry_resin,no sample consumed,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,12,True,none,taboo,False
36231,36231-AHR-003-1,36231-AHB-003-1,reed_fiber;wet_wood,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,"wet scraps dull the sign, so the old story may be incomplete",12,11,True,none,disputed,False
36231,36231-AHR-003-2,36231-AHB-003-2,reed_fiber;wet_wood,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,dry things keep the small bite quieter and easier to repeat,12,11,True,dry keeping habit around missing-repeat/quiet-doubt safety limit practice,useful_practice,False
36231,36231-AHR-003-3,36231-AHB-003-3,reed_fiber;wet_wood,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,question or warning only,children should stay away from dry thread after storms,12,11,True,none,taboo,False
36231,36231-AHR-004-1,36231-AHB-004-1,reed_fiber;dry_resin,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,small local effect shown once,the hint can wait because roof work matters more,12,11,True,none,rejected,False
36231,36231-AHR-004-2,36231-AHB-004-2,reed_fiber;dry_resin,sample handled by household,2,1,0,1,shared_hidden_law_resin_fiber_charge_like_effect_v1_audit_only,small local effect shown once,the sign should be respected before work resumes,12,11,True,quiet sign waiting around missing-repeat/quiet-doubt schedule conflict practice,ritualized,False
