metric,value
agent_sensory_body_update_coupling,1.0
avatar_conversation_input_surface,1.0
avatar_input_count,605.0
body_update_count,807.0
bounded_refusal_recovery_calibration,0.8656716417910447
browser_replay_integrity,1.0
browser_world_v35_avatar_conversation_readiness,0.936187
click_to_talk_agent_reply_binding,0.9640644361833953
click_to_talk_reply_count,807.0
conversation_memory_count,807.0
conversation_memory_persistence,1.0
dialogue_not_unbounded,0.842
html_button_count,25.0
html_input_count,1.0
html_localstorage_handler_count,3.0
mean_avatar_conversation_channel_score,0.976553
private_workspace_boundary,1.0
recovery_choice_availability,1.0
recovery_clicked_count,116.0
refusal_count,134.0
relationship_continuity_after_talk,1.0
relationship_update_count,807.0
replay_event_count,1412.0
resolved_refusal_count,116.0
sensory_frequency_flower_binding,1.0
source_v34_continuity,1.0
text_input_to_event_binding,1.0
visible_browser_v35_surface,1.0
visible_reply_count,778.0
weakest_channel_name,dialogue_not_unbounded
weakest_channel_score,0.842
