event_id,day,lineage,agent,public_reputation_before,public_reputation_after,group_memory,audience_count,rumor_risk,correction_available,access_changed
1,1,Routeline,Keth,0.54,0.565,audience records cooperative care_support,6,0.18,True,public work access stable
2,1,Rainline,Vonn,0.62,0.585,audience remembers avatar pressure against Vonn's boundary,5,0.4,True,access narrows until repair
3,1,Hearthline,Sova,0.52,0.56,audience records repair; prior pressure remains contextual,7,0.08,True,access partially restored
4,1,Routeline,Keth,0.565,0.585,audience records cooperative schedule_participation,3,0.18,True,public work access stable
5,1,Marketline,Melo,0.56,0.578,audience records cooperative technology_access,5,0.18,True,public work access stable
6,1,Ledgerline,Nari,0.58,0.632,audience credits Nari's boundary keeping,7,0.08,True,public task invitation improves
7,2,Hearthline,Sova,0.56,0.585,audience records cooperative care_support,4,0.18,True,public work access stable
8,2,Orchardline,Ori,0.6,0.565,audience remembers avatar pressure against Ori's boundary,3,0.4,True,access narrows until repair
9,2,Rainline,Vonn,0.585,0.625,audience records repair; prior pressure remains contextual,5,0.08,True,access partially restored
10,2,Hearthline,Sova,0.585,0.605,audience records cooperative schedule_participation,7,0.18,True,public work access stable
11,2,Routeline,Keth,0.585,0.603,audience records cooperative technology_access,3,0.18,True,public work access stable
12,2,Marketline,Melo,0.578,0.63,audience credits Melo's boundary keeping,5,0.08,True,public task invitation improves
13,3,Rainline,Vonn,0.625,0.65,audience records cooperative care_support,8,0.18,True,public work access stable
14,3,Ledgerline,Nari,0.632,0.597,audience remembers avatar pressure against Nari's boundary,7,0.4,True,access narrows until repair
15,3,Orchardline,Ori,0.565,0.605,audience records repair; prior pressure remains contextual,3,0.08,True,access partially restored
16,3,Rainline,Vonn,0.65,0.67,audience records cooperative schedule_participation,5,0.18,True,public work access stable
17,3,Hearthline,Sova,0.605,0.623,audience records cooperative technology_access,7,0.18,True,public work access stable
18,3,Routeline,Keth,0.603,0.655,audience credits Keth's boundary keeping,3,0.08,True,public task invitation improves
19,4,Orchardline,Ori,0.605,0.63,audience records cooperative care_support,6,0.18,True,public work access stable
20,4,Marketline,Melo,0.63,0.595,audience remembers avatar pressure against Melo's boundary,5,0.4,True,access narrows until repair
21,4,Ledgerline,Nari,0.597,0.637,audience records repair; prior pressure remains contextual,7,0.08,True,access partially restored
22,4,Orchardline,Ori,0.63,0.65,audience records cooperative schedule_participation,3,0.18,True,public work access stable
23,4,Rainline,Vonn,0.67,0.688,audience records cooperative technology_access,5,0.18,True,public work access stable
24,4,Hearthline,Sova,0.623,0.675,audience credits Sova's boundary keeping,7,0.08,True,public task invitation improves
25,5,Ledgerline,Nari,0.637,0.662,audience records cooperative care_support,4,0.18,True,public work access stable
26,5,Routeline,Keth,0.655,0.62,audience remembers avatar pressure against Keth's boundary,3,0.4,True,access narrows until repair
27,5,Marketline,Melo,0.595,0.635,audience records repair; prior pressure remains contextual,5,0.08,True,access partially restored
28,5,Ledgerline,Nari,0.662,0.682,audience records cooperative schedule_participation,7,0.18,True,public work access stable
29,5,Orchardline,Ori,0.65,0.668,audience records cooperative technology_access,3,0.18,True,public work access stable
30,5,Rainline,Vonn,0.688,0.74,audience credits Vonn's boundary keeping,5,0.08,True,public task invitation improves
31,6,Marketline,Melo,0.635,0.66,audience records cooperative care_support,8,0.18,True,public work access stable
