tick,day,replay_id,loop_id,includes_animation_state,includes_turn_gesture,includes_proximity,includes_object_handling,includes_sensory_timing,deterministic_order,replay_integrity_score
0,1,v19-replay-d01-t00,v19-loop-001,0,0,1,0,1,1,0.675
1,1,v19-replay-d01-t01,v19-loop-001,1,1,1,1,1,1,1.0
2,1,v19-replay-d01-t02,v19-loop-001,1,1,1,1,0,1,0.963333
3,1,v19-replay-d01-t03,v19-loop-001,1,1,1,1,1,1,0.944445
4,1,v19-replay-d01-t04,v19-loop-001,1,1,1,1,1,1,0.944445
5,1,v19-replay-d01-t05,v19-loop-001,1,1,1,1,1,1,0.958333
6,1,v19-replay-d01-t06,v19-loop-001,1,1,1,1,1,1,1.0
7,1,v19-replay-d01-t07,v19-loop-001,1,1,1,1,1,1,0.944445
8,1,v19-replay-d01-t08,v19-loop-002,1,1,1,1,1,1,0.958333
9,1,v19-replay-d01-t09,v19-loop-002,1,1,1,1,1,1,1.0
10,1,v19-replay-d01-t10,v19-loop-002,1,1,1,1,1,1,1.0
11,1,v19-replay-d01-t11,v19-loop-002,1,1,1,1,1,1,0.944445
12,2,v19-replay-d02-t00,v19-loop-002,1,1,1,1,1,1,1.0
13,2,v19-replay-d02-t01,v19-loop-002,1,1,1,1,1,1,1.0
14,2,v19-replay-d02-t02,v19-loop-002,1,1,1,1,1,1,1.0
15,2,v19-replay-d02-t03,v19-loop-002,1,1,1,1,1,1,1.0
16,2,v19-replay-d02-t04,v19-loop-003,1,1,1,1,1,1,1.0
17,2,v19-replay-d02-t05,v19-loop-003,1,1,1,1,1,1,1.0
18,2,v19-replay-d02-t06,v19-loop-003,1,1,1,1,1,1,0.958333
19,2,v19-replay-d02-t07,v19-loop-003,1,1,1,0,1,1,0.916667
20,2,v19-replay-d02-t08,v19-loop-003,1,1,1,1,1,1,0.958333
21,2,v19-replay-d02-t09,v19-loop-003,1,1,1,1,1,1,1.0
22,2,v19-replay-d02-t10,v19-loop-003,1,1,1,1,1,1,0.944445
23,2,v19-replay-d02-t11,v19-loop-003,1,1,1,1,1,1,1.0
24,3,v19-replay-d03-t00,v19-loop-004,1,1,1,1,1,1,1.0
25,3,v19-replay-d03-t01,v19-loop-004,1,1,1,1,1,1,1.0
26,3,v19-replay-d03-t02,v19-loop-004,1,1,1,1,1,1,1.0
27,3,v19-replay-d03-t03,v19-loop-004,1,1,1,1,1,1,1.0
28,3,v19-replay-d03-t04,v19-loop-004,1,1,1,1,1,1,1.0
29,3,v19-replay-d03-t05,v19-loop-004,1,0,1,1,1,1,0.888889
30,3,v19-replay-d03-t06,v19-loop-004,1,1,1,1,1,1,0.958333
31,3,v19-replay-d03-t07,v19-loop-004,0,1,1,1,1,1,0.925
32,3,v19-replay-d03-t08,v19-loop-005,1,1,1,1,1,1,1.0
33,3,v19-replay-d03-t09,v19-loop-005,1,0,1,1,0,1,0.852222
34,3,v19-replay-d03-t10,v19-loop-005,1,1,1,1,1,1,1.0
35,3,v19-replay-d03-t11,v19-loop-005,1,1,1,1,1,1,1.0
36,4,v19-replay-d04-t00,v19-loop-005,1,1,1,1,1,1,0.944445
37,4,v19-replay-d04-t01,v19-loop-005,1,1,1,1,1,1,0.944445
38,4,v19-replay-d04-t02,v19-loop-005,1,1,1,0,1,1,0.916667
39,4,v19-replay-d04-t03,v19-loop-005,1,1,1,1,1,1,1.0
40,4,v19-replay-d04-t04,v19-loop-006,1,1,1,1,1,1,1.0
41,4,v19-replay-d04-t05,v19-loop-006,1,1,1,1,1,1,0.958333
42,4,v19-replay-d04-t06,v19-loop-006,1,1,1,1,1,1,1.0
43,4,v19-replay-d04-t07,v19-loop-006,1,1,1,1,1,1,1.0
44,4,v19-replay-d04-t08,v19-loop-006,1,1,1,1,1,1,0.902778
45,4,v19-replay-d04-t09,v19-loop-006,1,1,1,1,1,1,1.0
46,4,v19-replay-d04-t10,v19-loop-006,1,1,1,1,1,1,1.0
47,4,v19-replay-d04-t11,v19-loop-006,1,1,1,1,1,1,1.0
48,5,v19-replay-d05-t00,v19-loop-007,1,1,1,1,1,1,1.0
49,5,v19-replay-d05-t01,v19-loop-007,1,1,1,1,1,1,1.0
50,5,v19-replay-d05-t02,v19-loop-007,1,1,1,1,1,1,1.0
51,5,v19-replay-d05-t03,v19-loop-007,1,1,1,1,1,1,1.0
52,5,v19-replay-d05-t04,v19-loop-007,1,1,1,1,1,1,1.0
53,5,v19-replay-d05-t05,v19-loop-007,1,1,1,1,1,1,1.0
54,5,v19-replay-d05-t06,v19-loop-007,1,1,1,1,1,1,1.0
55,5,v19-replay-d05-t07,v19-loop-007,1,1,1,1,1,1,0.944445
56,5,v19-replay-d05-t08,v19-loop-008,1,1,1,1,1,1,1.0
57,5,v19-replay-d05-t09,v19-loop-008,1,1,1,0,1,1,0.916667
58,5,v19-replay-d05-t10,v19-loop-008,1,0,1,1,1,1,0.888889
59,5,v19-replay-d05-t11,v19-loop-008,1,1,1,1,1,1,1.0
60,6,v19-replay-d06-t00,v19-loop-008,1,1,1,1,1,1,1.0
61,6,v19-replay-d06-t01,v19-loop-008,1,1,1,1,1,1,1.0
62,6,v19-replay-d06-t02,v19-loop-008,0,1,1,1,1,1,0.911111
63,6,v19-replay-d06-t03,v19-loop-008,1,1,1,1,1,1,1.0
64,6,v19-replay-d06-t04,v19-loop-009,1,1,1,1,0,1,0.963333
65,6,v19-replay-d06-t05,v19-loop-009,1,1,1,1,1,1,1.0
66,6,v19-replay-d06-t06,v19-loop-009,1,1,1,1,1,1,0.944445
67,6,v19-replay-d06-t07,v19-loop-009,1,1,1,1,1,1,1.0
68,6,v19-replay-d06-t08,v19-loop-009,1,1,1,1,1,1,1.0
69,6,v19-replay-d06-t09,v19-loop-009,1,1,1,1,1,1,1.0
70,6,v19-replay-d06-t10,v19-loop-009,1,1,1,1,1,1,0.916667
71,6,v19-replay-d06-t11,v19-loop-009,1,1,1,1,1,1,1.0
72,7,v19-replay-d07-t00,v19-loop-010,1,1,1,1,1,1,1.0
73,7,v19-replay-d07-t01,v19-loop-010,1,1,1,1,1,1,1.0
74,7,v19-replay-d07-t02,v19-loop-010,1,1,1,1,1,1,1.0
75,7,v19-replay-d07-t03,v19-loop-010,1,1,1,1,1,1,1.0
76,7,v19-replay-d07-t04,v19-loop-010,1,1,1,1,1,1,0.958333
77,7,v19-replay-d07-t05,v19-loop-010,1,1,1,1,1,1,0.944445
78,7,v19-replay-d07-t06,v19-loop-010,1,1,1,1,1,1,1.0
79,7,v19-replay-d07-t07,v19-loop-010,1,1,1,1,1,1,1.0
