metric,value
report,299
seed,20270519
verdict,pass
readiness,0.947631
mean_channel_score,0.988615
weakest_channel_score,0.852
weakest_named_channel,audit_layer_not_vertical_slice_product
replay_scrub_frames,5040
resident_audit_index_frames,5040
memory_debt_audit_frames,5040
schedule_diff_audit_frames,5040
localstorage_snapshot_frames,5040
invariant_audit_frames,5040
consequence_causality_frames,5040
audit_ui_frames,5040
browser_ticks,5040
browser_buttons,208
live_days,280
ticks_per_day,18
resident_filters,6
invariant_names,6
source_v58_continuity,1.0
replay_scrub_tick_navigation,1.0
resident_filter_index_integrity,1.0
memory_debt_audit_traceability,1.0
schedule_diff_audit_traceability,1.0
localstorage_snapshot_restore_integrity,1.0
invariant_audit_coverage,1.0
consequence_causality_scrubbable,1.0
audit_ui_usability,1.0
browser_audit_surface,1.0
private_workspace_boundary_preserved,1.0
no_llm_no_consciousness_boundary,1.0
audit_layer_not_vertical_slice_product,0.852
