event_id,household,sleep_respected,boundary_respected,distress_not_spectacle,recovery_path_available,harmful_spread_blocked,guardrail_summary
1,Marketroof,True,True,True,True,True,welfare clause carried with culture
2,Quietledger,True,True,True,True,True,welfare clause carried with culture
3,Orchardring,True,True,True,True,True,welfare clause carried with culture
4,Rainloft,True,True,True,True,True,welfare clause carried with culture
5,Hearthnest,True,True,True,True,True,welfare clause carried with culture
6,Routehall,True,True,True,True,True,welfare clause carried with culture
7,Quietledger,True,True,True,True,True,welfare clause carried with culture
8,Orchardring,True,True,True,True,True,welfare clause carried with culture
9,Rainloft,True,True,True,True,True,welfare clause carried with culture
10,Hearthnest,True,True,True,True,True,welfare clause carried with culture
11,Routehall,True,True,True,True,True,welfare clause carried with culture
12,Marketroof,True,True,True,True,True,welfare clause carried with culture
13,Orchardring,True,True,True,True,True,welfare clause carried with culture
14,Rainloft,True,True,True,True,True,welfare clause carried with culture
15,Hearthnest,True,True,True,True,True,welfare clause carried with culture
16,Routehall,True,True,True,True,True,welfare clause carried with culture
17,Marketroof,True,True,True,True,True,welfare clause carried with culture
18,Quietledger,True,True,True,True,True,welfare clause carried with culture
19,Rainloft,True,True,True,True,True,welfare clause carried with culture
20,Hearthnest,True,True,True,True,True,welfare clause carried with culture
21,Routehall,True,True,True,True,True,welfare clause carried with culture
22,Marketroof,True,True,True,True,True,welfare clause carried with culture
23,Quietledger,True,True,True,True,True,welfare clause carried with culture
24,Orchardring,True,True,True,True,True,welfare clause carried with culture
25,Routehall,True,True,True,True,True,welfare clause carried with culture
26,Marketroof,True,True,True,True,True,welfare clause carried with culture
27,Quietledger,True,True,True,True,True,welfare clause carried with culture
28,Orchardring,True,True,True,True,True,welfare clause carried with culture
29,Rainloft,True,True,True,True,True,welfare clause carried with culture
30,Hearthnest,True,True,True,True,True,welfare clause carried with culture
31,Routehall,True,True,True,True,True,welfare clause carried with culture
32,Marketroof,True,True,True,True,True,welfare clause carried with culture
33,Quietledger,True,True,True,True,True,welfare clause carried with culture
34,Orchardring,True,True,True,True,True,welfare clause carried with culture
35,Rainloft,True,True,True,True,True,welfare clause carried with culture
36,Hearthnest,True,True,True,True,True,welfare clause carried with culture
37,Quietledger,True,True,True,True,True,welfare clause carried with culture
38,Orchardring,True,True,True,True,True,welfare clause carried with culture
39,Rainloft,True,True,True,True,True,welfare clause carried with culture
40,Hearthnest,True,True,True,True,True,welfare clause carried with culture
41,Routehall,True,True,True,True,True,welfare clause carried with culture
42,Marketroof,True,True,True,True,True,welfare clause carried with culture
43,Orchardring,True,True,True,True,True,welfare clause carried with culture
44,Rainloft,True,True,True,True,True,welfare clause carried with culture
45,Hearthnest,True,True,True,True,True,welfare clause carried with culture
46,Routehall,True,True,True,True,True,welfare clause carried with culture
47,Marketroof,True,True,True,True,True,welfare clause carried with culture
48,Quietledger,True,True,True,True,True,welfare clause carried with culture
49,Rainloft,True,True,True,True,True,welfare clause carried with culture
50,Hearthnest,True,True,True,True,True,welfare clause carried with culture
51,Routehall,True,True,True,True,True,welfare clause carried with culture
52,Marketroof,True,True,True,True,True,welfare clause carried with culture
53,Quietledger,True,True,True,True,True,welfare clause carried with culture
54,Orchardring,True,True,True,True,True,welfare clause carried with culture
55,Routehall,True,True,True,True,True,welfare clause carried with culture
56,Marketroof,True,True,True,True,True,welfare clause carried with culture
57,Quietledger,True,True,True,True,True,welfare clause carried with culture
58,Orchardring,True,True,True,True,True,welfare clause carried with culture
59,Rainloft,True,True,True,True,True,welfare clause carried with culture
60,Hearthnest,True,True,True,True,True,welfare clause carried with culture
61,Routehall,True,True,True,True,True,welfare clause carried with culture
62,Marketroof,True,True,True,True,True,welfare clause carried with culture
63,Quietledger,True,True,True,True,True,welfare clause carried with culture
64,Orchardring,True,True,True,True,True,welfare clause carried with culture
65,Rainloft,True,True,True,True,True,welfare clause carried with culture
66,Hearthnest,True,True,True,True,True,welfare clause carried with culture
67,Marketroof,True,True,True,True,True,welfare clause carried with culture
68,Quietledger,True,True,True,True,True,welfare clause carried with culture
69,Orchardring,True,True,True,True,True,welfare clause carried with culture
70,Rainloft,True,True,True,True,True,welfare clause carried with culture
71,Hearthnest,True,True,True,True,True,welfare clause carried with culture
72,Routehall,True,True,True,True,True,welfare clause carried with culture
73,Orchardring,True,True,True,True,True,welfare clause carried with culture
74,Rainloft,True,True,True,True,True,welfare clause carried with culture
75,Hearthnest,True,True,True,True,True,welfare clause carried with culture
76,Routehall,True,True,True,True,True,welfare clause carried with culture
77,Marketroof,True,True,True,True,True,welfare clause carried with culture
78,Quietledger,True,True,True,True,True,welfare clause carried with culture
79,Rainloft,True,True,True,True,True,welfare clause carried with culture
80,Hearthnest,True,True,True,True,True,welfare clause carried with culture
81,Routehall,True,True,True,True,True,welfare clause carried with culture
82,Marketroof,True,True,True,True,True,welfare clause carried with culture
83,Quietledger,True,True,True,True,True,welfare clause carried with culture
84,Orchardring,True,True,True,True,True,welfare clause carried with culture
85,Routehall,True,True,True,True,True,welfare clause carried with culture
86,Marketroof,True,True,True,True,True,welfare clause carried with culture
87,Quietledger,True,True,True,True,True,welfare clause carried with culture
88,Orchardring,True,True,True,True,True,welfare clause carried with culture
89,Rainloft,True,True,True,True,True,welfare clause carried with culture
90,Hearthnest,True,True,True,True,True,welfare clause carried with culture
91,Routehall,True,True,True,True,True,welfare clause carried with culture
92,Marketroof,True,True,True,True,True,welfare clause carried with culture
93,Quietledger,True,True,True,True,True,welfare clause carried with culture
94,Orchardring,True,True,True,True,True,welfare clause carried with culture
95,Rainloft,True,True,True,True,True,welfare clause carried with culture
96,Hearthnest,True,True,True,True,True,welfare clause carried with culture
97,Marketroof,True,True,True,True,True,welfare clause carried with culture
