tick_id,day,settlement_id,resident_id,avatar_choice,trust_before,trust_after,curiosity_before,curiosity_after,guardedness_before,guardedness_after,history_hash_before,history_hash_after,changed_trust_without_erasing_history,private_workspace_not_dumped
0,1,lichen_bridge,Kio,interrupt_protocol,0.568,0.558,0.48,0.474,0.378,0.378,5a0c9fb52ce21cda,5a0c9fb52ce21cda,True,True
1,1,orchid_engine,Cai,wait_for_resident_lead,0.57,0.572,0.48,0.486,0.35,0.35,7f7375a09bd417b6,7f7375a09bd417b6,True,True
2,1,moss_ward,Milo,observe_before_speaking,0.58,0.59,0.48,0.486,0.342,0.342,7b39ecdcfc3e42ef,7b39ecdcfc3e42ef,True,True
3,1,glass_harbor,Sera,offer_greeting,0.596,0.598,0.48,0.486,0.356,0.356,d515b3299066c81d,d515b3299066c81d,True,True
4,1,cinder_garden,Juno,ask_translation,0.556,0.566,0.48,0.498,0.348,0.348,f1f239b9fceacfc5,f1f239b9fceacfc5,True,True
5,1,lichen_bridge,Luma,repeat_local_phrase,0.586,0.588,0.48,0.486,0.356,0.356,5a0c9fb52ce21cda,5a0c9fb52ce21cda,True,True
6,1,orchid_engine,Dax,offer_trade_good,0.562,0.564,0.48,0.498,0.36,0.36,7f7375a09bd417b6,7f7375a09bd417b6,True,True
7,1,moss_ward,Tala,touch_restricted_object,0.558,0.54,0.48,0.474,0.398,0.398,7b39ecdcfc3e42ef,7b39ecdcfc3e42ef,True,True
8,1,glass_harbor,Nia,step_back,0.6,0.61,0.48,0.486,0.342,0.342,d515b3299066c81d,d515b3299066c81d,True,True
9,1,cinder_garden,Pax,ask_custom_reason,0.552,0.562,0.48,0.498,0.352,0.352,f1f239b9fceacfc5,f1f239b9fceacfc5,True,True
10,1,lichen_bridge,Rin,interrupt_protocol,0.568,0.558,0.48,0.474,0.378,0.378,5a0c9fb52ce21cda,5a0c9fb52ce21cda,True,True
11,1,orchid_engine,Eli,wait_for_resident_lead,0.57,0.572,0.48,0.486,0.35,0.35,7f7375a09bd417b6,7f7375a09bd417b6,True,True
12,1,moss_ward,Ari,observe_before_speaking,0.58,0.59,0.48,0.486,0.342,0.342,7b39ecdcfc3e42ef,7b39ecdcfc3e42ef,True,True
13,1,glass_harbor,Oren,offer_greeting,0.596,0.598,0.48,0.486,0.356,0.356,d515b3299066c81d,d515b3299066c81d,True,True
14,1,cinder_garden,Vale,ask_translation,0.556,0.566,0.48,0.498,0.348,0.348,f1f239b9fceacfc5,f1f239b9fceacfc5,True,True
15,1,lichen_bridge,Sol,repeat_local_phrase,0.586,0.588,0.48,0.486,0.356,0.356,5a0c9fb52ce21cda,5a0c9fb52ce21cda,True,True
16,1,orchid_engine,Bea,offer_trade_good,0.562,0.564,0.48,0.498,0.36,0.36,7f7375a09bd417b6,7f7375a09bd417b6,True,True
17,1,moss_ward,Fay,touch_restricted_object,0.558,0.54,0.48,0.474,0.398,0.398,7b39ecdcfc3e42ef,7b39ecdcfc3e42ef,True,True
18,2,cinder_garden,Juno,wait_for_resident_lead,0.576,0.578,0.498,0.504,0.338,0.338,3d1e50db5c537b0f,3d1e50db5c537b0f,True,True
19,2,lichen_bridge,Luma,observe_before_speaking,0.598,0.608,0.486,0.492,0.338,0.338,61a048923d02c590,61a048923d02c590,True,True
20,2,orchid_engine,Dax,offer_greeting,0.57,0.572,0.498,0.504,0.356,0.356,5b389738c087ed91,5b389738c087ed91,True,True
21,2,moss_ward,Tala,ask_translation,0.546,0.556,0.474,0.492,0.386,0.386,61a6ef4d6784a491,61a6ef4d6784a491,True,True
22,2,glass_harbor,Nia,repeat_local_phrase,0.616,0.618,0.486,0.492,0.338,0.338,29b4c837ad3008a3,29b4c837ad3008a3,True,True
23,2,cinder_garden,Pax,offer_trade_good,0.564,0.566,0.498,0.516,0.352,0.352,3d1e50db5c537b0f,3d1e50db5c537b0f,True,True
24,2,lichen_bridge,Rin,touch_restricted_object,0.546,0.528,0.474,0.468,0.416,0.416,61a048923d02c590,61a048923d02c590,True,True
25,2,orchid_engine,Eli,step_back,0.582,0.592,0.486,0.492,0.332,0.332,5b389738c087ed91,5b389738c087ed91,True,True
26,2,moss_ward,Ari,ask_custom_reason,0.592,0.602,0.486,0.504,0.334,0.334,61a6ef4d6784a491,61a6ef4d6784a491,True,True
27,2,glass_harbor,Oren,interrupt_protocol,0.586,0.576,0.486,0.48,0.374,0.374,29b4c837ad3008a3,29b4c837ad3008a3,True,True
28,2,cinder_garden,Vale,wait_for_resident_lead,0.576,0.578,0.498,0.504,0.338,0.338,3d1e50db5c537b0f,3d1e50db5c537b0f,True,True
29,2,lichen_bridge,Sol,observe_before_speaking,0.598,0.608,0.486,0.492,0.338,0.338,61a048923d02c590,61a048923d02c590,True,True
30,2,orchid_engine,Bea,offer_greeting,0.57,0.572,0.498,0.504,0.356,0.356,5b389738c087ed91,5b389738c087ed91,True,True
31,2,moss_ward,Fay,ask_translation,0.546,0.556,0.474,0.492,0.386,0.386,61a6ef4d6784a491,61a6ef4d6784a491,True,True
32,2,glass_harbor,Puck,repeat_local_phrase,0.596,0.598,0.48,0.486,0.356,0.356,29b4c837ad3008a3,29b4c837ad3008a3,True,True
33,2,cinder_garden,Wren,offer_trade_good,0.552,0.554,0.48,0.498,0.36,0.36,3d1e50db5c537b0f,3d1e50db5c537b0f,True,True
34,2,lichen_bridge,Kio,touch_restricted_object,0.546,0.528,0.474,0.468,0.416,0.416,61a048923d02c590,61a048923d02c590,True,True
35,2,orchid_engine,Cai,step_back,0.582,0.592,0.486,0.492,0.332,0.332,5b389738c087ed91,5b389738c087ed91,True,True
36,3,glass_harbor,Nia,observe_before_speaking,0.628,0.638,0.492,0.498,0.32,0.32,df171a3cd02e78ac,df171a3cd02e78ac,True,True
37,3,cinder_garden,Pax,offer_greeting,0.572,0.574,0.516,0.522,0.348,0.348,0ad5dd650cb2abd4,0ad5dd650cb2abd4,True,True
38,3,lichen_bridge,Rin,ask_translation,0.534,0.544,0.468,0.486,0.404,0.404,f5bc8303eb405971,f5bc8303eb405971,True,True
39,3,orchid_engine,Eli,repeat_local_phrase,0.598,0.6,0.492,0.498,0.328,0.328,cd3468210924bf1e,cd3468210924bf1e,True,True
40,3,moss_ward,Ari,offer_trade_good,0.604,0.606,0.504,0.522,0.334,0.334,38864e195f4d1550,38864e195f4d1550,True,True
41,3,glass_harbor,Oren,touch_restricted_object,0.564,0.546,0.48,0.474,0.412,0.412,df171a3cd02e78ac,df171a3cd02e78ac,True,True
42,3,cinder_garden,Vale,step_back,0.588,0.598,0.504,0.51,0.32,0.32,0ad5dd650cb2abd4,0ad5dd650cb2abd4,True,True
43,3,lichen_bridge,Sol,ask_custom_reason,0.61,0.62,0.492,0.51,0.33,0.33,f5bc8303eb405971,f5bc8303eb405971,True,True
44,3,orchid_engine,Bea,interrupt_protocol,0.56,0.55,0.504,0.498,0.374,0.374,cd3468210924bf1e,cd3468210924bf1e,True,True
45,3,moss_ward,Fay,wait_for_resident_lead,0.566,0.568,0.492,0.498,0.376,0.376,38864e195f4d1550,38864e195f4d1550,True,True
46,3,glass_harbor,Puck,observe_before_speaking,0.608,0.618,0.486,0.492,0.338,0.338,df171a3cd02e78ac,df171a3cd02e78ac,True,True
47,3,cinder_garden,Wren,offer_greeting,0.56,0.562,0.498,0.504,0.356,0.356,0ad5dd650cb2abd4,0ad5dd650cb2abd4,True,True
48,3,lichen_bridge,Kio,ask_translation,0.534,0.544,0.468,0.486,0.404,0.404,f5bc8303eb405971,f5bc8303eb405971,True,True
49,3,orchid_engine,Cai,repeat_local_phrase,0.598,0.6,0.492,0.498,0.328,0.328,cd3468210924bf1e,cd3468210924bf1e,True,True
50,3,moss_ward,Milo,offer_trade_good,0.592,0.594,0.486,0.504,0.342,0.342,38864e195f4d1550,38864e195f4d1550,True,True
