tick_id,day,settlement_id,resident_id,object_id,apology_action,forgiveness_state,trust_before,trust_after,resentment_before,resentment_after,gaze_keyframes,posture_keyframes,gesture_keyframes,forgiveness_limit_visible,repair_partial_not_magic,no_forced_forgiveness
0,1,roofward,Sera,herb ledger,absent,observed,0.658,0.658,0.056,0.056,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
2,1,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.651,0.653,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
5,1,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.646,0.648,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
9,1,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.646,0.648,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
10,1,repair_ring,Wren,cool cloth,inspect_role_board,observed,0.663,0.663,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
12,1,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.664,0.666,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
15,1,orchard,Ivo,seed satchel,ask_about_debt,observed,0.652,0.652,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
16,1,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.656,0.658,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
19,2,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.655,0.657,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
20,2,orchard,Ivo,seed satchel,inspect_role_board,observed,0.655,0.655,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
22,2,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.648,0.65,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
25,2,signal,Ren,oil lantern,ask_about_debt,observed,0.654,0.654,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
26,2,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.649,0.651,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
29,2,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.667,0.669,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
30,2,archive,Vell,memory tag,inspect_role_board,observed,0.667,0.667,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
33,2,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.658,0.66,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
35,2,roofward,Bex,shade cloth,ask_about_debt,observed,0.652,0.652,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
36,3,signal,Oda,wind wrap,ask_forgiveness_limit,limited,0.657,0.659,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
39,3,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.65,0.652,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
40,3,roofward,Bex,shade cloth,inspect_role_board,observed,0.652,0.652,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
43,3,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.652,0.654,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
45,3,riverbend,Ari,cedar plank,ask_about_debt,observed,0.655,0.655,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
46,3,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.675,0.677,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
50,3,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.666,0.668,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
53,3,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.647,0.649,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
55,4,repair_ring,Pax,copper wire,absent,observed,0.668,0.668,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
56,4,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.66,0.662,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
60,4,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.659,0.661,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
63,4,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.685,0.687,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
65,4,signal,Oda,wind wrap,absent,observed,0.664,0.664,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
67,4,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.668,0.67,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
70,4,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.649,0.651,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
73,5,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.662,0.664,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
75,5,archive,Nia,signal spool,absent,observed,0.651,0.651,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
77,5,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.661,0.663,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
80,5,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.692,0.694,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
84,5,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.678,0.68,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
85,5,riverbend,Cee,binding cord,absent,observed,0.664,0.664,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
87,5,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.652,0.654,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
90,6,riverbend,Cee,binding cord,ask_forgiveness_limit,limited,0.664,0.666,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
94,6,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.663,0.665,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
95,6,repair_ring,Wren,cool cloth,inspect_role_board,observed,0.68,0.68,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
97,6,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.694,0.696,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
100,6,orchard,Ivo,seed satchel,ask_about_debt,observed,0.663,0.663,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
101,6,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.681,0.683,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
104,6,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.655,0.657,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
105,6,signal,Ren,oil lantern,inspect_role_board,observed,0.68,0.68,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
110,7,signal,Ren,oil lantern,ask_about_debt,observed,0.68,0.68,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
111,7,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.665,0.667,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
114,7,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.702,0.704,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
115,7,archive,Vell,memory tag,inspect_role_board,observed,0.668,0.668,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
118,7,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.686,0.688,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
120,7,roofward,Bex,shade cloth,ask_about_debt,observed,0.677,0.677,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
121,7,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.658,0.66,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
125,7,riverbend,Ari,cedar plank,inspect_role_board,observed,0.664,0.664,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
128,8,orchard,Pim,dry cord,ask_forgiveness_limit,limited,0.675,0.677,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
130,8,riverbend,Ari,cedar plank,ask_about_debt,observed,0.664,0.664,0.06,0.06,room>object>room,neutral>still>neutral,idle>small-turn>idle,True,True,True
131,8,roofward,Sera,herb ledger,ask_forgiveness_limit,limited,0.712,0.714,0.056,0.056,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
135,8,repair_ring,Pax,copper wire,ask_forgiveness_limit,limited,0.696,0.698,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
138,8,archive,Nia,signal spool,ask_forgiveness_limit,limited,0.66,0.662,0.06,0.06,away>brief-look>object,guarded>half-open>guarded,hold-boundary>point-return>small-nod,True,True,True
