tick,event_type,year,actor_or_layer,public_fact,private_digest,continuity_effect,drift_effect,institution_effect,readable_marker,vibration_hz,flower_phase
1,epoch_stratum,-1800,founding-cave,kin bands around sleeping fire preserve memory through charcoal marks,sealed:epoch-private-agent-lives-not-simulated-here,first rule: do not name another body-pain in public,cold wet caves,shared heat stones,archive wall lights one flower node for the epoch,113.268981,1
2,epoch_stratum,-1320,river-shelter,route keepers and water stewards preserve memory through knotted reed cords,sealed:epoch-private-agent-lives-not-simulated-here,flood debt becomes shared carrying duty,river floods,dry routes and cup shelves,archive wall lights one flower node for the epoch,131.001645,2
3,epoch_stratum,-870,bridge-workshop,workshop houses preserve memory through stone notches,sealed:epoch-private-agent-lives-not-simulated-here,repair is counted as care infrastructure,long freeze,repair tools and warm alcoves,archive wall lights one flower node for the epoch,149.271171,3
4,epoch_stratum,-430,archive-hearth,archive speakers and hearth keepers preserve memory through wax tablets,sealed:epoch-private-agent-lives-not-simulated-here,private care histories are sealed,wind dust years,medicine stock and clean water,archive wall lights one flower node for the epoch,166.927598,4
5,epoch_stratum,0,flower-council,flower-ring councils preserve memory through ring songs,sealed:epoch-private-agent-lives-not-simulated-here,minority notes are kept beside rules,stable spring,named cups and public ledgers,archive wall lights one flower node for the epoch,184.075087,5
6,epoch_stratum,610,cistern-crisis,appeal circles preserve memory through copper tally leaves,sealed:epoch-private-agent-lives-not-simulated-here,rumor repair requires public action,cistern fever scare,water and medicine scarcity,archive wall lights one flower node for the epoch,202.599452,6
7,epoch_stratum,1240,runner-roads,runner guilds preserve memory through map chants,sealed:epoch-private-agent-lives-not-simulated-here,moving work must be counted in triage,dry expansion,cart routes and trade knots,archive wall lights one flower node for the epoch,220.710347,7
8,epoch_stratum,1880,lantern-schools,teaching houses preserve memory through chalk murals,sealed:epoch-private-agent-lives-not-simulated-here,children learn boundary phrases before tool names,dark winter cycles,school lanterns and repair benches,archive wall lights one flower node for the epoch,238.290708,8
9,epoch_stratum,2520,frequency-archives,rate keepers preserve memory through frequency ledgers,sealed:epoch-private-agent-lives-not-simulated-here,rates can guide care but not prove guilt,sensor era,body-rate chimes and archive crystals,archive wall lights one flower node for the epoch,255.855135,9
10,epoch_stratum,3180,pre-avatar-threshold,federated councils preserve memory through replay glass,sealed:epoch-private-agent-lives-not-simulated-here,outsider avatar may enter only after deep history briefing,mixed scarcity cycles,public replay walls,archive wall lights one flower node for the epoch,273.352499,10
