tick_id,day,route_id,previous_recovery,branch_effect,simultaneous_task_effect,import_export_effect,reload_effect,dialogue_effect,recovery_after,consequence_persists_after_reload,visible_consequence_marker
0,1,riverbend_roofward,0.62,0.006335,0.0,-0.006,0.006,0.0,0.622169,True,riverbend_roofward:recovery:0.62
1,1,roofward_archive,0.598,0.003255,0.046,0.008,0.0,0.0,0.649989,False,roofward_archive:recovery:0.65
2,1,archive_signal,0.576,0.000175,0.046,0.0,0.0,0.0,0.615809,False,archive_signal:recovery:0.62
3,1,signal_orchard,0.554,0.006335,0.0,0.0,0.0,0.0,0.556169,False,signal_orchard:recovery:0.56
4,1,orchard_riverbend,0.532,0.003255,0.0,0.0,0.0,0.0,0.529989,False,orchard_riverbend:recovery:0.53
5,1,central_repair_ring,0.51,0.000175,0.046,0.0,0.0,0.0,0.549809,False,central_repair_ring:recovery:0.55
6,1,riverbend_roofward,0.622169,0.006335,0.0,0.0,0.0,0.0,0.624338,False,riverbend_roofward:recovery:0.62
7,1,roofward_archive,0.649989,0.033501,0.046,0.008,0.0,0.0,0.732251,False,roofward_archive:recovery:0.73
8,1,archive_signal,0.615809,0.032401,0.0,0.0,0.0,0.0,0.641871,False,archive_signal:recovery:0.64
9,1,signal_orchard,0.556169,0.006335,0.0,0.008,0.0,0.0,0.566338,False,signal_orchard:recovery:0.57
10,1,orchard_riverbend,0.529989,0.003255,0.046,0.0,0.0,0.0,0.573978,False,orchard_riverbend:recovery:0.57
11,1,central_repair_ring,0.549809,0.000251,0.0,0.0,0.0,0.0,0.543721,False,central_repair_ring:recovery:0.54
12,1,riverbend_roofward,0.624338,0.034394,0.0,0.0,0.0,0.0,0.654566,False,riverbend_roofward:recovery:0.65
13,1,roofward_archive,0.732251,0.033708,0.046,0.0,0.0,0.0,0.806747,False,roofward_archive:recovery:0.81
14,1,archive_signal,0.641871,0.032401,0.0,0.008,0.006,0.0,0.681933,v31-536490,archive_signal:recovery:0.68
15,2,signal_orchard,0.566338,0.032194,0.0,0.0,0.006,0.0,0.598166,True,signal_orchard:recovery:0.60
16,2,orchard_riverbend,0.573978,0.006411,0.0,0.008,0.0,0.0,0.58425,False,orchard_riverbend:recovery:0.58
17,2,central_repair_ring,0.543721,0.003331,0.0,0.0,0.0,0.0,0.541813,False,central_repair_ring:recovery:0.54
18,2,riverbend_roofward,0.654566,0.032194,0.0,0.0,0.0,0.0,0.680394,False,riverbend_roofward:recovery:0.68
19,2,roofward_archive,0.806747,0.035015,0.0,0.0,0.0,0.0,0.837677,False,roofward_archive:recovery:0.84
20,2,archive_signal,0.681933,0.003331,0.046,0.0,0.0,0.0,0.726025,False,archive_signal:recovery:0.73
21,2,signal_orchard,0.598166,0.032194,0.0,0.0,0.0,0.0,0.623994,False,signal_orchard:recovery:0.62
22,2,orchard_riverbend,0.58425,0.006411,0.0,0.0,0.0,0.0,0.586522,False,orchard_riverbend:recovery:0.59
23,2,central_repair_ring,0.541813,0.033501,0.0,0.0,0.0,0.0,0.570075,False,central_repair_ring:recovery:0.57
24,2,riverbend_roofward,0.680394,0.032194,0.0,0.008,0.0,0.0,0.714222,False,riverbend_roofward:recovery:0.71
25,2,roofward_archive,0.837677,0.035015,0.046,0.0,0.0,0.0,0.914607,False,roofward_archive:recovery:0.91
26,2,archive_signal,0.726025,0.003406,0.046,0.0,0.0,0.0,0.770219,False,archive_signal:recovery:0.77
27,2,signal_orchard,0.623994,0.032194,0.0,0.0,0.0,0.0,0.649822,False,signal_orchard:recovery:0.65
28,2,orchard_riverbend,0.586522,0.006411,0.046,0.0,0.0,0.0,0.634794,False,orchard_riverbend:recovery:0.63
29,2,central_repair_ring,0.570075,0.033501,0.0,0.008,0.006,0.0,0.612337,v31-590543,central_repair_ring:recovery:0.61
30,3,riverbend_roofward,0.714222,0.033294,0.0,0.0,0.006,0.0,0.74825,True,riverbend_roofward:recovery:0.75
31,3,roofward_archive,0.914607,0.025393,0.0,-0.006,0.0,0.0,0.927742,False,roofward_archive:recovery:0.93
32,3,archive_signal,0.770219,0.006562,0.046,0.0,0.0,0.0,0.818696,False,archive_signal:recovery:0.82
33,3,signal_orchard,0.649822,0.033294,0.046,0.0,0.0,0.0,0.72385,False,signal_orchard:recovery:0.72
34,3,orchard_riverbend,0.634794,0.000326,0.0,0.0,0.0,0.0,0.628808,False,orchard_riverbend:recovery:0.63
35,3,central_repair_ring,0.612337,0.034601,0.046,0.0,0.0,0.0,0.688799,False,central_repair_ring:recovery:0.69
36,3,riverbend_roofward,0.74825,0.033294,0.0,0.0,0.0,0.0,0.776278,False,riverbend_roofward:recovery:0.78
37,3,roofward_archive,0.927742,0.012258,0.0,0.0,0.0,0.0,0.933742,False,roofward_archive:recovery:0.93
38,3,archive_signal,0.818696,0.006638,0.0,0.0,0.0,0.0,0.821276,False,archive_signal:recovery:0.82
39,3,signal_orchard,0.72385,0.033501,0.046,0.008,0.0,0.0,0.806112,False,signal_orchard:recovery:0.81
