metric,value
shared_world_law_integrity,1.0
lineage_survives_time,1.0
parent_child_traceability,1.0
agent_generated_proposal_rate,1.0
failed_experiment_preservation,1.0
rival_theory_competition,1.0
social_label_mutation,1.0
multi_seed_history_divergence,1.0
no_predeclared_endings,1.0
concept_abstraction_from_evidence,1.0
material_bottleneck_binding,1.0
safety_norm_emergence,1.0
institution_emergence,1.0
avatar_hint_boundary,1.0
no_modern_terms,1.0
audit_trace_integrity,1.0
long_horizon_span,1.0
practical_discovery_not_guaranteed,1.0
seed_count,8
belief_lineage_rows,64
proposal_rows,56
experiment_rows,56
outcome_diversity,5
history_signature_count,8
criterion_count,25
readiness,1.0
weakest_channel_score,1.0
