tick_id,day,week,settlement_id,resident_id,circadian_hour,sleep_state,sleep_quality,fatigue_before,fatigue_after,rest_debt_before,rest_debt_after,dream_workspace_private,visible_sleep_marker,frequency_hz,flower_phase,bounded_cycle
0,1,1,glass_harbor,Nia,0.0,asleep,0.7224,0.24,0.189432,0.18,0.12582,True,"curled posture, low breath rhythm",6.840667,0.0644,True
1,1,1,cinder_garden,Pax,1.5,asleep,0.7224,0.24,0.189432,0.18,0.12582,True,"curled posture, low breath rhythm",9.460667,0.095108,True
2,1,1,lichen_bridge,Rin,3.0,asleep,0.7224,0.24,0.189432,0.18,0.12582,True,"curled posture, low breath rhythm",8.190667,0.086917,True
3,1,1,orchid_engine,Eli,4.5,asleep,0.7224,0.24,0.189432,0.18,0.12582,True,"curled posture, low breath rhythm",10.580667,0.115325,True
4,1,1,moss_ward,Ari,6.0,awake,0.0,0.24,0.258,0.18,0.19,True,upright work rhythm,6.01878,0.073933,True
5,1,1,glass_harbor,Oren,7.5,awake,0.0,0.24,0.264,0.18,0.19,True,upright work rhythm,7.22124,0.090442,True
6,1,1,cinder_garden,Vale,9.0,awake,0.0,0.24,0.258,0.18,0.19,True,upright work rhythm,9.83878,0.12115,True
7,1,1,lichen_bridge,Sol,10.5,awake,0.0,0.24,0.264,0.18,0.19,True,upright work rhythm,8.57124,0.112958,True
8,1,1,orchid_engine,Bea,12.0,awake,0.0,0.24,0.258,0.18,0.19,True,upright work rhythm,10.95878,0.141367,True
9,1,1,moss_ward,Fay,13.5,awake,0.0,0.24,0.258,0.18,0.19,True,upright work rhythm,6.36878,0.099975,True
10,1,1,glass_harbor,Puck,15.0,awake,0.0,0.24,0.264,0.18,0.19,True,upright work rhythm,7.57124,0.116483,True
11,1,1,cinder_garden,Wren,16.5,awake,0.0,0.24,0.258,0.18,0.19,True,upright work rhythm,10.18878,0.147192,True
12,1,1,lichen_bridge,Kio,18.0,awake,0.0,0.24,0.264,0.18,0.19,True,upright work rhythm,8.92124,0.139,True
13,1,1,orchid_engine,Cai,19.5,awake,0.0,0.24,0.258,0.18,0.19,True,upright work rhythm,11.30878,0.167408,True
14,1,1,moss_ward,Milo,21.0,awake,0.0,0.24,0.258,0.18,0.19,True,upright work rhythm,6.71878,0.126017,True
15,1,1,glass_harbor,Sera,22.5,asleep,0.7224,0.24,0.189432,0.18,0.12582,True,"curled posture, low breath rhythm",7.890667,0.142525,True
16,2,1,lichen_bridge,Kio,0.0,asleep,0.7348,0.264,0.212564,0.19,0.13489,True,"curled posture, low breath rhythm",8.060151,0.159833,True
17,2,1,orchid_engine,Cai,1.5,asleep,0.73326,0.258,0.206672,0.19,0.135006,True,"curled posture, low breath rhythm",10.447735,0.188242,True
18,2,1,moss_ward,Milo,3.0,asleep,0.73476,0.258,0.206567,0.19,0.134893,True,"curled posture, low breath rhythm",5.857692,0.14685,True
19,2,1,glass_harbor,Sera,4.5,asleep,0.74014,0.189432,0.137622,0.12582,0.070309,True,"curled posture, low breath rhythm",7.029425,0.163358,True
20,2,1,cinder_garden,Juno,6.0,awake,0.0,0.24,0.264,0.18,0.19,True,upright work rhythm,9.70124,0.194067,True
21,2,1,lichen_bridge,Luma,7.5,awake,0.0,0.24,0.258,0.18,0.19,True,upright work rhythm,8.42878,0.185875,True
22,2,1,orchid_engine,Dax,9.0,awake,0.0,0.24,0.258,0.18,0.19,True,upright work rhythm,10.81878,0.214283,True
23,2,1,moss_ward,Tala,10.5,awake,0.0,0.24,0.258,0.18,0.19,True,upright work rhythm,6.22878,0.172892,True
24,2,1,glass_harbor,Nia,12.0,awake,0.0,0.189432,0.207432,0.12582,0.13582,True,upright work rhythm,7.408047,0.1894,True
25,2,1,cinder_garden,Pax,13.5,awake,0.0,0.189432,0.213432,0.12582,0.13582,True,upright work rhythm,10.030507,0.220108,True
26,2,1,lichen_bridge,Rin,15.0,awake,0.0,0.189432,0.207432,0.12582,0.13582,True,upright work rhythm,8.758047,0.211917,True
27,2,1,orchid_engine,Eli,16.5,awake,0.0,0.189432,0.207432,0.12582,0.13582,True,upright work rhythm,11.148047,0.240325,True
28,2,1,moss_ward,Ari,18.0,awake,0.0,0.258,0.276,0.19,0.2,True,upright work rhythm,6.58616,0.198933,True
29,2,1,glass_harbor,Oren,19.5,awake,0.0,0.264,0.282,0.19,0.2,True,upright work rhythm,7.78862,0.215442,True
30,2,1,cinder_garden,Vale,21.0,awake,0.0,0.258,0.282,0.19,0.2,True,upright work rhythm,10.40862,0.24615,True
31,2,1,lichen_bridge,Sol,22.5,asleep,0.7325,0.264,0.212725,0.19,0.135063,True,"curled posture, low breath rhythm",9.110217,0.237958,True
32,3,1,moss_ward,Ari,0.0,asleep,0.74712,0.276,0.223702,0.2,0.143966,True,"curled posture, low breath rhythm",5.724718,0.219767,True
33,3,1,glass_harbor,Oren,1.5,asleep,0.74536,0.282,0.229825,0.2,0.144098,True,"curled posture, low breath rhythm",6.927228,0.236275,True
34,3,1,cinder_garden,Vale,3.0,asleep,0.74636,0.282,0.229755,0.2,0.144023,True,"curled posture, low breath rhythm",9.547199,0.266983,True
35,3,1,lichen_bridge,Sol,4.5,asleep,0.753,0.212725,0.160015,0.135063,0.078588,True,"curled posture, low breath rhythm",8.248606,0.258792,True
36,3,1,orchid_engine,Bea,6.0,awake,0.0,0.258,0.276,0.19,0.2,True,upright work rhythm,10.68616,0.2872,True
37,3,1,moss_ward,Fay,7.5,awake,0.0,0.258,0.276,0.19,0.2,True,upright work rhythm,6.09616,0.245808,True
38,3,1,glass_harbor,Puck,9.0,awake,0.0,0.264,0.282,0.19,0.2,True,upright work rhythm,7.29862,0.262317,True
39,3,1,cinder_garden,Wren,10.5,awake,0.0,0.258,0.276,0.19,0.2,True,upright work rhythm,9.91616,0.293025,True
40,3,1,lichen_bridge,Kio,12.0,awake,0.0,0.212564,0.230564,0.13489,0.14489,True,upright work rhythm,8.627531,0.284833,True
41,3,1,orchid_engine,Cai,13.5,awake,0.0,0.206672,0.224672,0.135006,0.145006,True,upright work rhythm,11.015115,0.313242,True
42,3,1,moss_ward,Milo,15.0,awake,0.0,0.206567,0.224567,0.134893,0.144893,True,upright work rhythm,6.425072,0.27185,True
43,3,1,glass_harbor,Sera,16.5,awake,0.0,0.137622,0.155622,0.070309,0.080309,True,upright work rhythm,7.596805,0.288358,True
44,3,1,cinder_garden,Juno,18.0,awake,0.0,0.264,0.282,0.19,0.2,True,upright work rhythm,10.26862,0.319067,True
45,3,1,lichen_bridge,Luma,19.5,awake,0.0,0.258,0.276,0.19,0.2,True,upright work rhythm,8.99616,0.310875,True
46,3,1,orchid_engine,Dax,21.0,awake,0.0,0.258,0.276,0.19,0.2,True,upright work rhythm,11.38616,0.339283,True
47,3,1,moss_ward,Tala,22.5,asleep,0.73526,0.258,0.206532,0.19,0.134856,True,"curled posture, low breath rhythm",6.767678,0.297892,True
48,4,1,cinder_garden,Juno,0.0,asleep,0.74636,0.282,0.229755,0.2,0.144023,True,"curled posture, low breath rhythm",9.407199,0.3399,True
49,4,1,lichen_bridge,Luma,1.5,asleep,0.74732,0.276,0.223688,0.2,0.143951,True,"curled posture, low breath rhythm",8.134712,0.331708,True
50,4,1,orchid_engine,Dax,3.0,asleep,0.74712,0.276,0.223702,0.2,0.143966,True,"curled posture, low breath rhythm",10.524718,0.360117,True
51,4,1,moss_ward,Tala,4.5,asleep,0.75496,0.206532,0.153685,0.134856,0.078234,True,"curled posture, low breath rhythm",5.906011,0.318725,True
52,4,1,glass_harbor,Nia,6.0,awake,0.0,0.207432,0.225432,0.13582,0.14582,True,upright work rhythm,7.135427,0.335233,True
53,4,1,cinder_garden,Pax,7.5,awake,0.0,0.213432,0.237432,0.13582,0.14582,True,upright work rhythm,9.760347,0.365942,True
54,4,1,lichen_bridge,Rin,9.0,awake,0.0,0.207432,0.225432,0.13582,0.14582,True,upright work rhythm,8.485427,0.35775,True
55,4,1,orchid_engine,Eli,10.5,awake,0.0,0.207432,0.231432,0.13582,0.14582,True,upright work rhythm,10.877887,0.386158,True
56,4,1,moss_ward,Ari,12.0,awake,0.0,0.223702,0.247702,0.143966,0.153966,True,upright work rhythm,6.294558,0.344767,True
57,4,1,glass_harbor,Oren,13.5,awake,0.0,0.229825,0.247825,0.144098,0.154098,True,upright work rhythm,7.494608,0.361275,True
58,4,1,cinder_garden,Vale,15.0,awake,0.0,0.229755,0.253755,0.144023,0.154023,True,upright work rhythm,10.117039,0.391983,True
59,4,1,lichen_bridge,Sol,16.5,awake,0.0,0.160015,0.178015,0.078588,0.088587,True,upright work rhythm,8.815986,0.383792,True
60,4,1,orchid_engine,Bea,18.0,awake,0.0,0.276,0.3,0.2,0.21,True,upright work rhythm,11.256,0.4122,True
61,4,1,moss_ward,Fay,19.5,awake,0.0,0.276,0.3,0.2,0.21,True,upright work rhythm,6.666,0.370808,True
62,4,1,glass_harbor,Puck,21.0,awake,0.0,0.282,0.3,0.2,0.21,True,upright work rhythm,7.866,0.387317,True
63,4,1,cinder_garden,Wren,22.5,asleep,0.74732,0.276,0.223688,0.2,0.143951,True,"curled posture, low breath rhythm",10.454712,0.418025,True
64,5,1,orchid_engine,Bea,0.0,asleep,0.75872,0.3,0.24689,0.21,0.153096,True,"curled posture, low breath rhythm",10.394225,0.433033,True
65,5,1,moss_ward,Fay,1.5,asleep,0.75822,0.3,0.246925,0.21,0.153134,True,"curled posture, low breath rhythm",5.804239,0.391642,True
66,5,1,glass_harbor,Puck,3.0,asleep,0.75792,0.3,0.246946,0.21,0.153156,True,"curled posture, low breath rhythm",7.004248,0.40815,True
67,5,1,cinder_garden,Wren,4.5,asleep,0.76586,0.223688,0.170077,0.143951,0.086512,True,"curled posture, low breath rhythm",9.592732,0.438858,True
68,5,1,lichen_bridge,Kio,6.0,awake,0.0,0.230564,0.254564,0.14489,0.15489,True,upright work rhythm,8.357371,0.430667,True
69,5,1,orchid_engine,Cai,7.5,awake,0.0,0.224672,0.242672,0.145006,0.155006,True,upright work rhythm,10.742495,0.459075,True
70,5,1,moss_ward,Milo,9.0,awake,0.0,0.224567,0.242567,0.144893,0.154893,True,upright work rhythm,6.152452,0.417683,True
71,5,1,glass_harbor,Sera,10.5,awake,0.0,0.155622,0.173622,0.080309,0.090309,True,upright work rhythm,7.324185,0.434192,True
72,5,1,cinder_garden,Juno,12.0,awake,0.0,0.229755,0.247755,0.144023,0.154023,True,upright work rhythm,9.974579,0.4649,True
73,5,1,lichen_bridge,Luma,13.5,awake,0.0,0.223688,0.247688,0.143951,0.153951,True,upright work rhythm,8.704552,0.456708,True
74,5,1,orchid_engine,Dax,15.0,awake,0.0,0.223702,0.241702,0.143966,0.153966,True,upright work rhythm,11.092098,0.485117,True
