tick,day,branch_state_id,conflict_id,selected_outcome,stored_day,restored_day,survives_reload,survives_day_advance,branch_state_matches_memory,rollback_scope
0,1,v16-state-01-00,v16-conflict-d01-t00,defer_until_rest,1,2,0,0,0,single-agent-access-only
1,1,v16-state-01-01,v16-conflict-d01-t01,split_access,1,3,1,1,1,single-conflict
2,1,v16-state-01-02,v16-conflict-d01-t02,defer_until_rest,1,4,1,1,1,single-conflict
3,1,v16-state-01-03,v16-conflict-d01-t03,ask_public_reason,1,2,1,1,1,single-conflict
4,1,v16-state-01-04,v16-conflict-d01-t04,ask_public_reason,1,3,1,1,1,single-agent-access-only
5,1,v16-state-01-05,v16-conflict-d01-t05,split_access,1,4,1,1,1,single-conflict
6,1,v16-state-01-06,v16-conflict-d01-t06,defer_until_rest,1,2,1,1,0,single-conflict
7,1,v16-state-01-07,v16-conflict-d01-t07,ask_public_reason,1,3,1,1,1,single-conflict
8,1,v16-state-01-08,v16-conflict-d01-t08,defer_until_rest,1,4,1,1,1,single-agent-access-only
9,1,v16-state-01-09,v16-conflict-d01-t09,rotate_priority,1,2,1,1,1,single-conflict
10,1,v16-state-01-10,v16-conflict-d01-t10,repair_first,1,3,1,1,1,single-conflict
11,1,v16-state-01-11,v16-conflict-d01-t11,protect_boundary,1,4,1,1,1,single-conflict
12,2,v16-state-02-00,v16-conflict-d02-t00,defer_until_rest,2,3,1,1,1,single-agent-access-only
13,2,v16-state-02-01,v16-conflict-d02-t01,rotate_priority,2,4,1,1,1,single-conflict
14,2,v16-state-02-02,v16-conflict-d02-t02,ask_public_reason,2,5,1,1,1,single-conflict
15,2,v16-state-02-03,v16-conflict-d02-t03,rotate_priority,2,3,1,1,1,single-conflict
16,2,v16-state-02-04,v16-conflict-d02-t04,protect_boundary,2,4,1,1,1,single-agent-access-only
17,2,v16-state-02-05,v16-conflict-d02-t05,rotate_priority,2,5,1,1,0,single-conflict
18,2,v16-state-02-06,v16-conflict-d02-t06,protect_boundary,2,3,1,1,1,single-conflict
19,2,v16-state-02-07,v16-conflict-d02-t07,defer_until_rest,2,4,1,1,1,single-conflict
20,2,v16-state-02-08,v16-conflict-d02-t08,split_access,2,5,1,1,1,single-agent-access-only
21,2,v16-state-02-09,v16-conflict-d02-t09,protect_boundary,2,3,1,1,1,single-conflict
22,2,v16-state-02-10,v16-conflict-d02-t10,split_access,2,4,1,1,1,single-conflict
23,2,v16-state-02-11,v16-conflict-d02-t11,repair_first,2,5,1,1,1,single-conflict
24,3,v16-state-03-00,v16-conflict-d03-t00,protect_boundary,3,4,1,1,1,single-agent-access-only
25,3,v16-state-03-01,v16-conflict-d03-t01,repair_first,3,5,1,1,1,single-conflict
26,3,v16-state-03-02,v16-conflict-d03-t02,ask_public_reason,3,6,1,1,1,single-conflict
27,3,v16-state-03-03,v16-conflict-d03-t03,ask_public_reason,3,4,1,1,1,single-conflict
28,3,v16-state-03-04,v16-conflict-d03-t04,repair_first,3,5,1,1,1,single-agent-access-only
29,3,v16-state-03-05,v16-conflict-d03-t05,rotate_priority,3,6,1,0,0,single-conflict
30,3,v16-state-03-06,v16-conflict-d03-t06,protect_boundary,3,4,1,1,1,single-conflict
31,3,v16-state-03-07,v16-conflict-d03-t07,split_access,3,5,0,1,0,single-conflict
