seed,ablation,plan,count,mean_value,max_value
20260911,none,balanced_repair,16,0.5373977566284235,1.8
20260911,none,recovery_sustain_window,30,-0.38387001929862447,-0.04682345605254457
20260911,none,route_supply_window,176,0.7886925021103444,1.8
20260911,none,sanitize_care_window,276,0.8458701196203755,1.8
20260911,none,social_first,102,-0.08934033532054514,1.8
20260911,none,teaching_repair_window,9,-0.1637416166016104,-0.034086858340226824
20260912,none,balanced_repair,47,0.922932425531915,1.8
20260912,none,environment_first,65,0.6818632224017535,1.7744642186552737
20260912,none,recovery_sustain_window,56,-0.2492499710783113,-0.007976892870560892
20260912,none,route_supply_window,98,0.8161034433428564,1.8
20260912,none,sanitize_care_window,175,0.806592867252031,1.8
20260912,none,social_first,143,-0.06130223742711089,0.7153265440586819
20260912,none,teaching_repair_window,2,0.04907730698371948,0.6612090903368151
20260913,none,balanced_repair,70,1.0801629303012372,1.8
20260913,none,environment_first,80,0.6772895391698657,1.642787086307099
20260913,none,recovery_sustain_window,48,-0.09199376543474459,0.7003336703715888
20260913,none,route_supply_window,96,0.7937105623947224,1.8
20260913,none,sanitize_care_window,189,0.8030629103626526,1.8
20260913,none,social_first,72,0.04386488565042859,0.7318916371498163
20260913,none,storm_infrastructure_window,9,0.6750768746856496,0.7033954257064206
20260913,none,teaching_repair_window,13,0.5932309419596647,0.738901335203428
