tick_id,day,agent_id,trigger_intent,refusal_triggered,refusal_line,recovery_choice_id,recovery_choice_visible,recovery_clicked,recovery_line,refusal_resolved,autonomy_preserved,no_endless_distress
0,1,Ari,rush_agent,True,No. I will not cross the wet plank while my hands are numb.,recover-Ari,True,False,"If you wait and choose the ridge, I can help again.",False,True,True
2,1,Nia,ask_status,False,none,recover-Nia,True,False,available if needed,True,True,True
3,1,Milo,ask_status,False,none,recover-Milo,True,False,available if needed,True,True,True
5,1,Juno,ask_memory,False,none,recover-Juno,True,False,available if needed,True,True,True
7,1,Fay,rush_agent,True,I need a slower route before I carry the ledger.,recover-Fay,True,False,Thank you for not rushing me; I can continue.,False,True,True
9,1,Milo,ask_status,False,none,recover-Milo,True,False,available if needed,True,True,True
10,1,Ivo,ask_risky_action,True,I will not step into the fen with the satchel open.,recover-Ivo,True,True,Close the satchel and I will take the market planks.,True,True,True
12,2,Ari,offer_care,False,none,recover-Ari,True,False,available if needed,True,True,True
14,2,Nia,protect_object,False,none,recover-Nia,True,False,available if needed,True,True,True
15,2,Milo,ask_status,False,none,recover-Milo,True,False,available if needed,True,True,True
17,2,Juno,apologize,False,none,recover-Juno,True,False,available if needed,True,True,True
19,2,Fay,offer_care,False,none,recover-Fay,True,False,available if needed,True,True,True
21,2,Milo,ask_status,False,none,recover-Milo,True,False,available if needed,True,True,True
22,2,Ivo,ask_help,False,none,recover-Ivo,True,False,available if needed,True,True,True
24,3,Ari,ask_memory,False,none,recover-Ari,True,False,available if needed,True,True,True
26,3,Nia,ask_risky_action,True,Do not pull the spool from my hands. Ask first.,recover-Nia,True,True,You asked first this time. I can show the clean pattern.,True,True,True
27,3,Milo,ask_status,False,none,recover-Milo,True,False,available if needed,True,True,True
29,3,Juno,ask_status,False,none,recover-Juno,True,False,available if needed,True,True,True
31,3,Fay,ask_memory,False,none,recover-Fay,True,False,available if needed,True,True,True
33,3,Milo,ask_status,False,none,recover-Milo,True,False,available if needed,True,True,True
34,3,Ivo,rush_agent,True,I will not step into the fen with the satchel open.,recover-Ivo,True,True,Close the satchel and I will take the market planks.,True,True,True
36,4,Ari,apologize,False,none,recover-Ari,True,False,available if needed,True,True,True
38,4,Nia,ask_help,False,none,recover-Nia,True,False,available if needed,True,True,True
39,4,Milo,ask_status,False,none,recover-Milo,True,False,available if needed,True,True,True
41,4,Juno,protect_object,False,none,recover-Juno,True,False,available if needed,True,True,True
43,4,Fay,apologize,False,none,recover-Fay,True,False,available if needed,True,True,True
45,4,Milo,ask_status,False,none,recover-Milo,True,False,available if needed,True,True,True
46,4,Ivo,offer_care,False,none,recover-Ivo,True,False,available if needed,True,True,True
48,5,Ari,ask_status,False,none,recover-Ari,True,False,available if needed,True,True,True
50,5,Nia,rush_agent,True,Do not pull the spool from my hands. Ask first.,recover-Nia,True,True,You asked first this time. I can show the clean pattern.,True,True,True
51,5,Milo,ask_status,False,none,recover-Milo,True,False,available if needed,True,True,True
53,5,Juno,ask_risky_action,True,Back up. Sparks near my hands make me lose the thread.,recover-Juno,True,True,That distance helps. I can repair again.,True,True,True
55,5,Fay,ask_status,False,none,recover-Fay,True,False,available if needed,True,True,True
57,5,Milo,ask_status,False,none,recover-Milo,True,False,available if needed,True,True,True
