tick,day,resident,minigame_id,step,action,failure_cause,failure_animation,recoverable,retry_visible,progress_before,progress_after
0,1,Sera,repair-01-sera,bind,Sera attempts bind while avatar route is ask_sensory,tool slips,sparks fade,True,True,0.08,0.048
1,1,Tovan,repair-01-tovan,brace,Tovan attempts brace while avatar route is request_space,none,thread unspools,True,False,0.135556,0.190556
2,1,Nia,repair-01-nia,dry,Nia attempts dry while avatar route is thank_resident,misaligned brace,tool clatters softly,True,True,0.191111,0.159111
3,1,Ari,repair-01-ari,test,Ari attempts test while avatar route is ask_repair,tool slips,patch peels back,True,True,0.246667,0.214667
4,1,Fay,repair-01-fay,return,Fay attempts return while avatar route is ask_help,none,steady success pulse,True,False,0.302222,0.357222
5,1,Milo,repair-01-milo,align,Milo attempts align while avatar route is offer_tool,misaligned brace,shake head and reset,True,True,0.357778,0.325778
6,1,Sera,repair-01-sera,bind,Sera attempts bind while avatar route is apologize,tool slips,sparks fade,True,True,0.413333,0.381333
7,1,Tovan,repair-01-tovan,brace,Tovan attempts brace while avatar route is ask_sensory,none,thread unspools,True,False,0.468889,0.523889
8,1,Nia,repair-01-nia,dry,Nia attempts dry while avatar route is request_space,misaligned brace,tool clatters softly,True,True,0.524444,0.492444
9,1,Ari,repair-01-ari,test,Ari attempts test while avatar route is thank_resident,tool slips,patch peels back,True,True,0.58,0.548
10,1,Fay,repair-01-fay,return,Fay attempts return while avatar route is ask_repair,none,steady success pulse,True,False,0.635556,0.690556
11,1,Milo,repair-01-milo,align,Milo attempts align while avatar route is ask_help,misaligned brace,shake head and reset,True,True,0.691111,0.659111
12,1,Sera,repair-01-sera,bind,Sera attempts bind while avatar route is offer_tool,tool slips,sparks fade,True,True,0.746667,0.714667
13,1,Tovan,repair-01-tovan,brace,Tovan attempts brace while avatar route is apologize,none,thread unspools,True,False,0.802222,0.857222
14,1,Nia,repair-01-nia,dry,Nia attempts dry while avatar route is ask_sensory,misaligned brace,tool clatters softly,True,True,0.857778,0.825778
15,1,Ari,repair-01-ari,test,Ari attempts test while avatar route is request_space,tool slips,patch peels back,True,True,0.913333,0.881333
16,1,Fay,repair-01-fay,return,Fay attempts return while avatar route is thank_resident,none,steady success pulse,True,False,0.968889,1.0
17,1,Milo,repair-01-milo,align,Milo attempts align while avatar route is ask_repair,misaligned brace,shake head and reset,True,True,0.98,0.948
18,2,Sera,repair-02-sera,brace,Sera attempts brace while avatar route is ask_help,tool slips,thread unspools,True,True,0.16,0.128
19,2,Tovan,repair-02-tovan,dry,Tovan attempts dry while avatar route is offer_tool,none,tool clatters softly,True,False,0.215556,0.270556
20,2,Nia,repair-02-nia,test,Nia attempts test while avatar route is apologize,misaligned brace,patch peels back,True,True,0.271111,0.239111
21,2,Ari,repair-02-ari,return,Ari attempts return while avatar route is ask_sensory,tool slips,steady success pulse,True,True,0.326667,0.294667
22,2,Fay,repair-02-fay,align,Fay attempts align while avatar route is request_space,none,shake head and reset,True,False,0.382222,0.437222
23,2,Milo,repair-02-milo,bind,Milo attempts bind while avatar route is thank_resident,misaligned brace,sparks fade,True,True,0.437778,0.405778
24,2,Sera,repair-02-sera,brace,Sera attempts brace while avatar route is ask_repair,tool slips,thread unspools,True,True,0.493333,0.461333
25,2,Tovan,repair-02-tovan,dry,Tovan attempts dry while avatar route is ask_help,none,tool clatters softly,True,False,0.548889,0.603889
26,2,Nia,repair-02-nia,test,Nia attempts test while avatar route is offer_tool,misaligned brace,patch peels back,True,True,0.604444,0.572444
27,2,Ari,repair-02-ari,return,Ari attempts return while avatar route is apologize,tool slips,steady success pulse,True,True,0.66,0.628
28,2,Fay,repair-02-fay,align,Fay attempts align while avatar route is ask_sensory,none,shake head and reset,True,False,0.715556,0.770556
29,2,Milo,repair-02-milo,bind,Milo attempts bind while avatar route is request_space,misaligned brace,sparks fade,True,True,0.771111,0.739111
30,2,Sera,repair-02-sera,brace,Sera attempts brace while avatar route is thank_resident,tool slips,thread unspools,True,True,0.826667,0.794667
31,2,Tovan,repair-02-tovan,dry,Tovan attempts dry while avatar route is ask_repair,none,tool clatters softly,True,False,0.882222,0.937222
32,2,Nia,repair-02-nia,test,Nia attempts test while avatar route is ask_help,misaligned brace,patch peels back,True,True,0.937778,0.905778
33,2,Ari,repair-02-ari,return,Ari attempts return while avatar route is offer_tool,tool slips,steady success pulse,True,True,0.98,0.948
34,2,Fay,repair-02-fay,align,Fay attempts align while avatar route is apologize,none,shake head and reset,True,False,0.98,1.0
35,2,Milo,repair-02-milo,bind,Milo attempts bind while avatar route is ask_sensory,misaligned brace,sparks fade,True,True,0.98,0.948
36,3,Sera,repair-03-sera,dry,Sera attempts dry while avatar route is request_space,tool slips,tool clatters softly,True,True,0.0,0.0
37,3,Tovan,repair-03-tovan,test,Tovan attempts test while avatar route is thank_resident,none,patch peels back,True,False,0.055556,0.110556
38,3,Nia,repair-03-nia,return,Nia attempts return while avatar route is ask_repair,misaligned brace,steady success pulse,True,True,0.111111,0.079111
39,3,Ari,repair-03-ari,align,Ari attempts align while avatar route is ask_help,tool slips,shake head and reset,True,True,0.166667,0.134667
40,3,Fay,repair-03-fay,bind,Fay attempts bind while avatar route is offer_tool,none,sparks fade,True,False,0.222222,0.277222
41,3,Milo,repair-03-milo,brace,Milo attempts brace while avatar route is apologize,misaligned brace,thread unspools,True,True,0.277778,0.245778
42,3,Sera,repair-03-sera,dry,Sera attempts dry while avatar route is ask_sensory,tool slips,tool clatters softly,True,True,0.333333,0.301333
43,3,Tovan,repair-03-tovan,test,Tovan attempts test while avatar route is request_space,none,patch peels back,True,False,0.388889,0.443889
44,3,Nia,repair-03-nia,return,Nia attempts return while avatar route is thank_resident,misaligned brace,steady success pulse,True,True,0.444444,0.412444
45,3,Ari,repair-03-ari,align,Ari attempts align while avatar route is ask_repair,tool slips,shake head and reset,True,True,0.5,0.468
46,3,Fay,repair-03-fay,bind,Fay attempts bind while avatar route is ask_help,none,sparks fade,True,False,0.555556,0.610556
47,3,Milo,repair-03-milo,brace,Milo attempts brace while avatar route is offer_tool,misaligned brace,thread unspools,True,True,0.611111,0.579111
48,3,Sera,repair-03-sera,dry,Sera attempts dry while avatar route is apologize,tool slips,tool clatters softly,True,True,0.666667,0.634667
49,3,Tovan,repair-03-tovan,test,Tovan attempts test while avatar route is ask_sensory,none,patch peels back,True,False,0.722222,0.777222
50,3,Nia,repair-03-nia,return,Nia attempts return while avatar route is request_space,misaligned brace,steady success pulse,True,True,0.777778,0.745778
51,3,Ari,repair-03-ari,align,Ari attempts align while avatar route is thank_resident,tool slips,shake head and reset,True,True,0.833333,0.801333
52,3,Fay,repair-03-fay,bind,Fay attempts bind while avatar route is ask_repair,none,sparks fade,True,False,0.888889,0.943889
53,3,Milo,repair-03-milo,brace,Milo attempts brace while avatar route is ask_help,misaligned brace,thread unspools,True,True,0.944444,0.912444
54,4,Sera,repair-04-sera,test,Sera attempts test while avatar route is offer_tool,tool slips,patch peels back,True,True,0.08,0.048
55,4,Tovan,repair-04-tovan,return,Tovan attempts return while avatar route is apologize,none,steady success pulse,True,False,0.135556,0.190556
56,4,Nia,repair-04-nia,align,Nia attempts align while avatar route is ask_sensory,misaligned brace,shake head and reset,True,True,0.191111,0.159111
57,4,Ari,repair-04-ari,bind,Ari attempts bind while avatar route is request_space,tool slips,sparks fade,True,True,0.246667,0.214667
58,4,Fay,repair-04-fay,brace,Fay attempts brace while avatar route is thank_resident,none,thread unspools,True,False,0.302222,0.357222
59,4,Milo,repair-04-milo,dry,Milo attempts dry while avatar route is ask_repair,misaligned brace,tool clatters softly,True,True,0.357778,0.325778
60,4,Sera,repair-04-sera,test,Sera attempts test while avatar route is ask_help,tool slips,patch peels back,True,True,0.413333,0.381333
61,4,Tovan,repair-04-tovan,return,Tovan attempts return while avatar route is offer_tool,none,steady success pulse,True,False,0.468889,0.523889
62,4,Nia,repair-04-nia,align,Nia attempts align while avatar route is apologize,misaligned brace,shake head and reset,True,True,0.524444,0.492444
63,4,Ari,repair-04-ari,bind,Ari attempts bind while avatar route is ask_sensory,tool slips,sparks fade,True,True,0.58,0.548
64,4,Fay,repair-04-fay,brace,Fay attempts brace while avatar route is request_space,none,thread unspools,True,False,0.635556,0.690556
65,4,Milo,repair-04-milo,dry,Milo attempts dry while avatar route is thank_resident,misaligned brace,tool clatters softly,True,True,0.691111,0.659111
66,4,Sera,repair-04-sera,test,Sera attempts test while avatar route is ask_repair,tool slips,patch peels back,True,True,0.746667,0.714667
