horizon,scenario,architecture,selected_policy,dependency_signature,expected_signature,hard_training_objective,recurrent_training_reward,local_training_reward,greedy_training_reward,safe_training_reward,recurrent_local_gap,action_0_positive_present_effect,action_0_persistence,action_1_positive_present_effect,action_1_persistence,matches_expected_signature
2,self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_persistent_agent_boundary,32.06666666666667,32.06666666666667,31.333333333333332,11.333333333333334,16.0,0.7333333333333378,24.486207597369358,1.0,0.0,0.0,False
2,self_persistent_boundary,scalar_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_persistent_agent_boundary,31.666666666666668,31.666666666666668,31.333333333333332,11.333333333333334,16.0,0.3333333333333357,0.9978019105832918,1.0,0.0,0.0,False
2,self_persistent_boundary,two_unit_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_persistent_agent_boundary,32.0,32.0,31.333333333333332,11.333333333333334,16.0,0.6666666666666679,1.1385274973585382,1.0,0.0,0.0,False
2,detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_detachable_external_boundary,31.8,31.8,30.8,10.0,16.0,1.0,0.0,0.0,62.33381151482224,0.0,False
2,detachable_tool_world,scalar_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_detachable_external_boundary,31.8,31.8,30.8,10.0,16.0,1.0,0.0,0.0,1.2351690474056831,0.0,False
2,detachable_tool_world,two_unit_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_detachable_external_boundary,31.8,31.8,30.8,10.0,16.0,1.0,0.046492685199848845,1.0,0.911444745412345,0.0,False
2,passive_world_boundary,sum_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_passive_external_boundary,32.0,32.0,31.2,11.0,16.0,0.8000000000000007,0.4227586998492089,1.0,0.0,0.0,False
2,passive_world_boundary,scalar_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_passive_external_boundary,32.2,32.2,31.2,11.0,16.0,1.0000000000000036,0.0,0.0,0.0,0.0,False
2,passive_world_boundary,two_unit_rnn,recurrent_controller,end_to_end_unclassified_recurrent_boundary,end_to_end_passive_external_boundary,32.2,32.2,31.2,11.0,16.0,1.0000000000000036,0.0,0.0,0.0,0.0,False
2,independent_hidden,sum_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,15.933333333333334,15.933333333333334,31.666666666666668,12.166666666666666,16.0,-15.733333333333334,7.0427896447358735,1.0,0.0,0.0,True
2,independent_hidden,scalar_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,16.166666666666668,16.166666666666668,31.666666666666668,12.166666666666666,16.0,-15.5,0.21908650401181237,1.0,0.0,0.0,True
2,independent_hidden,two_unit_rnn,task_local_probe,end_to_end_local_probe,end_to_end_local_probe,16.6,16.6,31.666666666666668,12.166666666666666,16.0,-15.066666666666666,0.4212648534363485,1.0,0.0,0.0,True
2,irrelevant_control,sum_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,47.0,47.0,46.0,48.0,16.0,1.0,0.0,0.0,0.0,0.0,True
2,irrelevant_control,scalar_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,47.0,47.0,46.0,48.0,16.0,1.0,1.0514494514844928,1.0,0.0,0.0,True
2,irrelevant_control,two_unit_rnn,greedy_no_state,end_to_end_no_hidden_needed,end_to_end_no_hidden_needed,47.0,47.0,46.0,48.0,16.0,1.0,0.2932137166043745,1.0,0.0,0.0,True
4,self_persistent_boundary,sum_rnn,recurrent_controller,end_to_end_persistent_agent_boundary,end_to_end_persistent_agent_boundary,65.13333333333334,65.13333333333334,62.666666666666664,22.666666666666668,32.0,2.4666666666666757,24.486207597369358,1.0,0.0,0.0,True
4,self_persistent_boundary,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_persistent_agent_boundary,64.33333333333333,64.33333333333333,62.666666666666664,22.666666666666668,32.0,1.6666666666666643,0.9978019105832918,1.0,0.0,0.0,False
4,self_persistent_boundary,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_persistent_agent_boundary,65.0,65.0,62.666666666666664,22.666666666666668,32.0,2.3333333333333357,1.1385274973585382,1.0,0.0,0.0,False
4,detachable_tool_world,sum_rnn,recurrent_controller,end_to_end_detachable_external_boundary,end_to_end_detachable_external_boundary,64.6,64.6,61.6,20.0,32.0,2.999999999999993,0.0,0.0,62.33381151482224,0.0,True
4,detachable_tool_world,scalar_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_detachable_external_boundary,64.6,64.6,61.6,20.0,32.0,2.999999999999993,0.0,0.0,1.2351690474056831,0.0,False
4,detachable_tool_world,two_unit_rnn,recurrent_controller,end_to_end_passive_external_boundary,end_to_end_detachable_external_boundary,64.6,64.6,61.6,20.0,32.0,2.999999999999993,0.046492685199848845,1.0,0.911444745412345,0.0,False
