tick_id,day,project_id,workshop_id,sight_cue,sound_cue,smell_cue,temperature_cue,body_cue,rhythm_marker,sensory_bound_to_workshop
0,1,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,resin and warm copper,warm pulse,slower cooperative posture,flower-node,True
1,1,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
2,1,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
3,1,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
4,1,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,resin and warm copper,warm pulse,slower cooperative posture,pulse,True
5,1,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,flower-node,True
6,1,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
7,1,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
8,1,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,resin and warm copper,warm pulse,slower cooperative posture,pulse,True
9,1,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
10,1,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,flower-node,True
11,1,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,pulse,True
12,1,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,resin and warm copper,warm pulse,slower cooperative posture,pulse,True
13,1,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
14,1,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
15,1,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
16,1,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,resin and warm copper,warm pulse,slower cooperative posture,pulse,True
17,1,flood_bridge_market_route,wood bay,open bench,quiet waiting,resin and warm copper,cool draft,slower cooperative posture,pulse,True
18,1,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
19,1,dusk_signal_court,signal yard,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,ambient-rate,True
20,2,greenhouse_heat_loop,warm workshop,open bench,quiet waiting,paper dust and damp wood,warm pulse,slower cooperative posture,flower-node,True
21,2,flood_bridge_market_route,wood bay,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,pulse,True
22,2,archive_public_kiosk,archive bench,open bench,quiet waiting,paper dust and damp wood,cool draft,slower cooperative posture,pulse,True
23,2,dusk_signal_court,signal yard,open bench,single tool rhythm,resin and warm copper,warm pulse,shared carrying effort,pulse,True
24,2,greenhouse_heat_loop,warm workshop,open bench,single tool rhythm,paper dust and damp wood,warm pulse,shared carrying effort,pulse,True
25,2,flood_bridge_market_route,wood bay,open bench,single tool rhythm,paper dust and damp wood,cool draft,shared carrying effort,flower-node,True
