tick_id,day,settlement_id,object_id,lender_id,borrower_id,route_weather,exposure_temperature_delta,wetness_delta,cold_risk_before,cold_risk_after,loan_condition,borrower_choice,shelter_available,object_protected,visible_weather_tag,bounded_exposure
1,1,lichen_bridge,meal ledger,Sol,Rin,cold fog,-0.075,0.088,0.028,0.07186,nutrition:0.872,loan continues with weather tag,True,True,True,True
2,1,orchid_engine,valve key,Bea,Eli,drizzle,-0.03,0.08,0.028,0.0526,repair:0.872,loan continues with weather tag,True,True,True,True
3,1,moss_ward,moss cart,Milo,Ari,mist,-0.033,0.064,0.028,0.05128,transport:0.872,loan continues with weather tag,True,True,True,True
4,1,glass_harbor,tea kettle,Sera,Oren,sleet,-0.0975,0.216,0.028,0.08968,comfort:0.87,route changed through shelter,True,True,True,True
5,1,cinder_garden,shade pole,Vale,Vale,clear,0.015,0.0,0.028,0.034,shelter:0.872,loan continues with weather tag,True,True,True,True
6,1,lichen_bridge,rope kit,Luma,Sol,cold fog,-0.075,0.088,0.028,0.07186,repair:0.872,loan continues with weather tag,True,True,True,True
7,1,orchid_engine,meal box,Eli,Bea,drizzle,-0.03,0.08,0.028,0.04,food:0.876,loan delayed until weather clears,True,True,True,True
8,1,moss_ward,water jar,Fay,Fay,mist,-0.0225,0.064,0.028,0.04708,hydration:0.872,loan continues with weather tag,True,True,True,True
9,1,glass_harbor,net spool,Oren,Puck,sleet,-0.0975,0.216,0.028,0.08968,repair:0.87,route changed through shelter,True,True,True,True
11,1,lichen_bridge,signal bell,Rin,Kio,cold fog,-0.11,0.088,0.028,0.08586,warning:0.862,loan continues with weather tag,True,False,True,True
12,1,orchid_engine,orchid lamp,Dax,Cai,drizzle,-0.03,0.08,0.028,0.0526,comfort:0.872,loan continues with weather tag,True,True,True,True
13,1,moss_ward,lamp hook,Ari,Milo,mist,-0.0225,0.064,0.028,0.04708,safety:0.872,loan continues with weather tag,True,True,True,True
