tick_id,day,settlement_id,prehistory_hash,lineage_marker_visible,trade_obligation_visible,language_family_visible,local_law_visible,avatar_entry_did_not_reset_state,replay_exportable
0,1,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
5,1,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
10,1,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
15,1,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
20,2,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
25,2,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
30,2,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
35,2,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
40,3,moss_ward,00d965fa9d6a6446,True,True,True,True,True,True
45,3,moss_ward,00d965fa9d6a6446,True,True,True,True,True,True
50,3,moss_ward,00d965fa9d6a6446,True,True,True,True,True,True
55,4,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
60,4,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
65,4,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
70,4,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
75,5,cinder_garden,00d965fa9d6a6446,True,True,True,True,True,True
80,5,cinder_garden,00d965fa9d6a6446,True,True,True,True,True,True
85,5,cinder_garden,00d965fa9d6a6446,True,True,True,True,True,True
90,6,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
95,6,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
100,6,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
105,6,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
110,7,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
115,7,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
120,7,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
125,7,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
130,8,moss_ward,00d965fa9d6a6446,True,True,True,True,True,True
135,8,moss_ward,00d965fa9d6a6446,True,True,True,True,True,True
140,8,moss_ward,00d965fa9d6a6446,True,True,True,True,True,True
145,9,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
150,9,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
155,9,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
160,9,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
165,10,cinder_garden,00d965fa9d6a6446,True,True,True,True,True,True
170,10,cinder_garden,00d965fa9d6a6446,True,True,True,True,True,True
175,10,cinder_garden,00d965fa9d6a6446,True,True,True,True,True,True
180,11,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
185,11,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
190,11,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
195,11,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
200,12,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
205,12,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
210,12,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
215,12,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
220,13,moss_ward,00d965fa9d6a6446,True,True,True,True,True,True
225,13,moss_ward,00d965fa9d6a6446,True,True,True,True,True,True
230,13,moss_ward,00d965fa9d6a6446,True,True,True,True,True,True
235,14,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
240,14,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
245,14,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
250,14,glass_harbor,00d965fa9d6a6446,True,True,True,True,True,True
255,15,cinder_garden,00d965fa9d6a6446,True,True,True,True,True,True
260,15,cinder_garden,00d965fa9d6a6446,True,True,True,True,True,True
265,15,cinder_garden,00d965fa9d6a6446,True,True,True,True,True,True
270,16,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
275,16,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
280,16,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
285,16,lichen_bridge,00d965fa9d6a6446,True,True,True,True,True,True
290,17,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
295,17,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
300,17,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
305,17,orchid_engine,00d965fa9d6a6446,True,True,True,True,True,True
