tick,day,slot,resident,room,canvas_focus,conversation_frame,sensory_frame,gesture_frame,inventory_frame,minigame_frame,consequence_frame,replay_frame_key,boundary_visible
0,1,0,Sera,glasshouse,Sera@glasshouse,0,0,0,0,0,0,v57-replay-00000,True
1,1,1,Tovan,river gate,Tovan@river gate,1,1,1,1,1,1,v57-replay-00001,True
2,1,2,Nia,west hearth,Nia@west hearth,2,2,2,2,2,2,v57-replay-00002,True
3,1,3,Ari,rain court,Ari@rain court,3,3,3,3,3,3,v57-replay-00003,True
4,1,4,Fay,tool alcove,Fay@tool alcove,4,4,4,4,4,4,v57-replay-00004,True
5,1,5,Milo,fiber loft,Milo@fiber loft,5,5,5,5,5,5,v57-replay-00005,True
6,1,6,Sera,glasshouse,Sera@glasshouse,6,6,6,6,6,6,v57-replay-00006,True
7,1,7,Tovan,river gate,Tovan@river gate,7,7,7,7,7,7,v57-replay-00007,True
8,1,8,Nia,west hearth,Nia@west hearth,8,8,8,8,8,8,v57-replay-00008,True
9,1,9,Ari,rain court,Ari@rain court,9,9,9,9,9,9,v57-replay-00009,True
10,1,10,Fay,tool alcove,Fay@tool alcove,10,10,10,10,10,10,v57-replay-00010,True
11,1,11,Milo,fiber loft,Milo@fiber loft,11,11,11,11,11,11,v57-replay-00011,True
12,1,12,Sera,glasshouse,Sera@glasshouse,12,12,12,12,12,12,v57-replay-00012,True
13,1,13,Tovan,river gate,Tovan@river gate,13,13,13,13,13,13,v57-replay-00013,True
14,1,14,Nia,west hearth,Nia@west hearth,14,14,14,14,14,14,v57-replay-00014,True
15,1,15,Ari,rain court,Ari@rain court,15,15,15,15,15,15,v57-replay-00015,True
16,1,16,Fay,tool alcove,Fay@tool alcove,16,16,16,16,16,16,v57-replay-00016,True
17,1,17,Milo,fiber loft,Milo@fiber loft,17,17,17,17,17,17,v57-replay-00017,True
18,2,0,Sera,river gate,Sera@river gate,18,18,18,18,18,18,v57-replay-00018,True
19,2,1,Tovan,west hearth,Tovan@west hearth,19,19,19,19,19,19,v57-replay-00019,True
20,2,2,Nia,rain court,Nia@rain court,20,20,20,20,20,20,v57-replay-00020,True
21,2,3,Ari,tool alcove,Ari@tool alcove,21,21,21,21,21,21,v57-replay-00021,True
22,2,4,Fay,fiber loft,Fay@fiber loft,22,22,22,22,22,22,v57-replay-00022,True
23,2,5,Milo,glasshouse,Milo@glasshouse,23,23,23,23,23,23,v57-replay-00023,True
24,2,6,Sera,river gate,Sera@river gate,24,24,24,24,24,24,v57-replay-00024,True
25,2,7,Tovan,west hearth,Tovan@west hearth,25,25,25,25,25,25,v57-replay-00025,True
26,2,8,Nia,rain court,Nia@rain court,26,26,26,26,26,26,v57-replay-00026,True
27,2,9,Ari,tool alcove,Ari@tool alcove,27,27,27,27,27,27,v57-replay-00027,True
28,2,10,Fay,fiber loft,Fay@fiber loft,28,28,28,28,28,28,v57-replay-00028,True
29,2,11,Milo,glasshouse,Milo@glasshouse,29,29,29,29,29,29,v57-replay-00029,True
30,2,12,Sera,river gate,Sera@river gate,30,30,30,30,30,30,v57-replay-00030,True
31,2,13,Tovan,west hearth,Tovan@west hearth,31,31,31,31,31,31,v57-replay-00031,True
32,2,14,Nia,rain court,Nia@rain court,32,32,32,32,32,32,v57-replay-00032,True
33,2,15,Ari,tool alcove,Ari@tool alcove,33,33,33,33,33,33,v57-replay-00033,True
34,2,16,Fay,fiber loft,Fay@fiber loft,34,34,34,34,34,34,v57-replay-00034,True
35,2,17,Milo,glasshouse,Milo@glasshouse,35,35,35,35,35,35,v57-replay-00035,True
36,3,0,Sera,west hearth,Sera@west hearth,36,36,36,36,36,36,v57-replay-00036,True
37,3,1,Tovan,rain court,Tovan@rain court,37,37,37,37,37,37,v57-replay-00037,True
38,3,2,Nia,tool alcove,Nia@tool alcove,38,38,38,38,38,38,v57-replay-00038,True
39,3,3,Ari,fiber loft,Ari@fiber loft,39,39,39,39,39,39,v57-replay-00039,True
40,3,4,Fay,glasshouse,Fay@glasshouse,40,40,40,40,40,40,v57-replay-00040,True
41,3,5,Milo,river gate,Milo@river gate,41,41,41,41,41,41,v57-replay-00041,True
42,3,6,Sera,west hearth,Sera@west hearth,42,42,42,42,42,42,v57-replay-00042,True
43,3,7,Tovan,rain court,Tovan@rain court,43,43,43,43,43,43,v57-replay-00043,True
44,3,8,Nia,tool alcove,Nia@tool alcove,44,44,44,44,44,44,v57-replay-00044,True
45,3,9,Ari,fiber loft,Ari@fiber loft,45,45,45,45,45,45,v57-replay-00045,True
46,3,10,Fay,glasshouse,Fay@glasshouse,46,46,46,46,46,46,v57-replay-00046,True
47,3,11,Milo,river gate,Milo@river gate,47,47,47,47,47,47,v57-replay-00047,True
48,3,12,Sera,west hearth,Sera@west hearth,48,48,48,48,48,48,v57-replay-00048,True
49,3,13,Tovan,rain court,Tovan@rain court,49,49,49,49,49,49,v57-replay-00049,True
50,3,14,Nia,tool alcove,Nia@tool alcove,50,50,50,50,50,50,v57-replay-00050,True
51,3,15,Ari,fiber loft,Ari@fiber loft,51,51,51,51,51,51,v57-replay-00051,True
52,3,16,Fay,glasshouse,Fay@glasshouse,52,52,52,52,52,52,v57-replay-00052,True
53,3,17,Milo,river gate,Milo@river gate,53,53,53,53,53,53,v57-replay-00053,True
54,4,0,Sera,rain court,Sera@rain court,54,54,54,54,54,54,v57-replay-00054,True
55,4,1,Tovan,tool alcove,Tovan@tool alcove,55,55,55,55,55,55,v57-replay-00055,True
56,4,2,Nia,fiber loft,Nia@fiber loft,56,56,56,56,56,56,v57-replay-00056,True
57,4,3,Ari,glasshouse,Ari@glasshouse,57,57,57,57,57,57,v57-replay-00057,True
58,4,4,Fay,river gate,Fay@river gate,58,58,58,58,58,58,v57-replay-00058,True
59,4,5,Milo,west hearth,Milo@west hearth,59,59,59,59,59,59,v57-replay-00059,True
60,4,6,Sera,rain court,Sera@rain court,60,60,60,60,60,60,v57-replay-00060,True
61,4,7,Tovan,tool alcove,Tovan@tool alcove,61,61,61,61,61,61,v57-replay-00061,True
