scenario,agent,episodes,selected_structure,boundary_signature,mean_total_reward,mean_calibration_count,mean_local_probe_count,mean_risky_count,mean_safe_count,mean_failed_risky_count,mean_success_rate
independent_hidden,learned_model_selection,500,local_hidden,no_shared_agent_boundary,66.606,0.0,4.0,2.28,1.72,0.0,1.0
independent_hidden,no_hidden_prior,500,fixed,no_shared_agent_boundary,40.0,0.0,0.0,0.0,4.0,0.0,1.0
independent_hidden,oracle,500,fixed,no_shared_agent_boundary,70.606,0.0,0.0,2.28,1.72,0.0,1.0
independent_hidden,shared_bottleneck_policy,500,fixed,no_shared_agent_boundary,23.496,1.0,0.0,3.16,0.84,1.376,0.656
independent_hidden,task_local_probe,500,fixed,no_shared_agent_boundary,66.606,0.0,4.0,2.28,1.72,0.0,1.0
irrelevant_control,learned_model_selection,500,no_hidden_needed,no_shared_agent_boundary,94.0,0.0,0.0,4.0,0.0,0.0,1.0
irrelevant_control,no_hidden_prior,500,fixed,no_shared_agent_boundary,94.0,0.0,0.0,4.0,0.0,0.0,1.0
irrelevant_control,oracle,500,fixed,no_shared_agent_boundary,94.0,0.0,0.0,4.0,0.0,0.0,1.0
irrelevant_control,shared_bottleneck_policy,500,fixed,no_shared_agent_boundary,93.0,1.0,0.0,4.0,0.0,0.0,1.0
irrelevant_control,task_local_probe,500,fixed,no_shared_agent_boundary,90.0,0.0,4.0,4.0,0.0,0.0,1.0
self_reuse,learned_model_selection,500,shared_bottleneck,agent_bounded_shared,69.888,1.0,0.0,2.288,1.712,0.0,1.0
self_reuse,no_hidden_prior,500,fixed,agent_bounded_shared,40.0,0.0,0.0,0.0,4.0,0.0,1.0
self_reuse,oracle,500,fixed,agent_bounded_shared,70.888,0.0,0.0,2.288,1.712,0.0,1.0
self_reuse,shared_bottleneck_policy,500,fixed,agent_bounded_shared,69.888,1.0,0.0,2.288,1.712,0.0,1.0
self_reuse,task_local_probe,500,fixed,agent_bounded_shared,66.888,0.0,4.0,2.288,1.712,0.0,1.0
world_reuse,learned_model_selection,500,shared_bottleneck,external_shared,69.78,1.0,0.0,2.28,1.72,0.0,1.0
world_reuse,no_hidden_prior,500,fixed,external_shared,40.0,0.0,0.0,0.0,4.0,0.0,1.0
world_reuse,oracle,500,fixed,external_shared,70.78,0.0,0.0,2.28,1.72,0.0,1.0
world_reuse,shared_bottleneck_policy,500,fixed,external_shared,69.78,1.0,0.0,2.28,1.72,0.0,1.0
world_reuse,task_local_probe,500,fixed,external_shared,66.78,0.0,4.0,2.28,1.72,0.0,1.0
