episode_id,week,checkpoint_id,import_hash,export_hash,restore_verified,carried_learning_rows,durable_keys
1,1,r244-week01-episode001,c23c53fd92a455a6,c23c53fd92a455a6,True,1,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
2,1,,pending,9b16c82f39a5f833,False,2,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
3,1,,pending,05e7c68cf173f775,False,3,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
4,1,,pending,3f34e67c0d860d92,False,4,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
5,1,,pending,1c7695578ed0fec1,False,5,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
6,1,,pending,acc1ada61e25696b,False,6,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
7,1,,pending,71770e9480001b3d,False,7,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
8,1,,pending,e1d83297faeb511a,False,8,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
9,1,,pending,dc27be8fb3c435a3,False,9,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
10,1,,pending,c08e64da41e5dde3,False,10,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
11,1,,pending,530a1a87b8050fa6,False,11,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
12,1,,pending,edf8da4b9fab3f6e,False,12,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
13,1,,pending,88fc8b9cbc7ae32a,False,13,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
14,1,,pending,8d119b8fabcdb43c,False,14,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
15,1,,pending,4b959dd0c033794b,False,15,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
16,1,,pending,56f34fcac2fce387,False,16,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
17,1,,pending,38733ab5f4c73861,False,17,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
18,1,,pending,e87c6ea510cc1978,False,18,"routine_policy,proto_language,boundary_sleep,relationship,avatar_consequence,replay"
