tick_id,day,infrastructure_id,replay_event,state_hash,includes_household_economy,includes_building_decay,includes_tool_wear,includes_failure,includes_routine_ecology,replay_exportable
0,1,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-317801,True,True,True,False,True,True
1,1,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-355093,True,True,True,False,False,True
2,1,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-341384,True,True,True,False,True,True
3,1,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-307686,True,True,True,False,False,True
4,1,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-318096,True,True,True,False,False,True
5,1,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-378136,True,True,True,False,True,True
6,1,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-341529,True,True,True,False,True,True
7,1,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-302092,True,True,True,False,False,True
8,1,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-339527,True,True,True,False,False,True
9,1,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-378151,True,True,True,False,False,True
10,1,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-348456,True,True,True,False,False,True
11,1,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-335863,True,True,True,False,True,True
12,1,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-346384,True,True,True,False,False,True
13,1,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-361723,True,True,True,False,False,True
14,1,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-360171,True,True,True,False,True,True
15,1,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-330097,True,True,True,False,False,True
16,1,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-346739,True,True,True,False,False,True
17,1,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-386931,True,True,True,False,False,True
18,2,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-378515,True,True,True,False,False,True
19,2,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-336531,True,True,True,False,False,True
20,2,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-345188,True,True,True,False,True,True
21,2,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-386847,True,True,True,False,False,True
22,2,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-377779,True,True,True,False,False,True
23,2,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-341905,True,True,True,False,True,True
24,2,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-352007,True,True,True,False,False,True
25,2,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-390932,True,True,True,False,True,True
26,2,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-378066,True,True,True,False,True,True
27,2,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-359613,True,True,True,False,False,True
28,2,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-340031,True,True,True,False,False,True
29,2,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-385845,True,True,True,False,True,True
30,2,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-377757,True,True,True,False,True,True
31,2,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-360148,True,True,True,False,False,True
32,2,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-353456,True,True,True,False,True,True
33,2,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-391709,True,True,True,False,False,True
34,2,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-371631,True,True,True,False,True,True
35,2,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-360165,True,True,True,False,False,True
36,3,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-353144,True,True,True,False,False,True
37,3,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-385411,True,True,True,False,False,True
38,3,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-373550,True,True,True,False,True,True
39,3,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-359826,True,True,True,False,True,True
40,3,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-353048,True,True,True,False,False,True
41,3,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-385874,True,True,True,False,False,True
42,3,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-373170,True,True,True,False,False,True
43,3,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-360167,True,True,True,False,False,True
44,3,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-347692,True,True,True,False,True,True
45,3,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-385520,True,True,True,False,False,True
46,3,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-373471,True,True,True,False,False,True
47,3,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-353952,True,True,True,False,True,True
48,3,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-347380,True,True,True,False,True,True
49,3,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-385833,True,True,True,False,False,True
50,3,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-378655,True,True,True,False,True,True
51,3,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-359925,True,True,True,False,False,True
52,3,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-347012,True,True,True,False,True,True
53,3,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-385803,True,True,True,False,False,True
54,4,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-360182,True,True,True,False,False,True
55,4,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-347936,True,True,True,False,False,True
56,4,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-373963,True,True,True,False,True,True
57,4,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-372590,True,True,True,False,False,True
58,4,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-359843,True,True,True,False,False,True
59,4,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-348332,True,True,True,False,False,True
60,4,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-385958,True,True,True,False,False,True
61,4,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-379073,True,True,True,False,False,True
62,4,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-354103,True,True,True,False,True,True
63,4,river_mill_bridge,river_mill_bridge:stable:upkeep,v27-348236,True,True,True,False,False,True
64,4,roof_greenhouse_cistern,roof_greenhouse_cistern:stable:upkeep,v27-386929,True,True,True,False,False,True
65,4,archive_public_kiosk,archive_public_kiosk:stable:upkeep,v27-377715,True,True,True,False,False,True
66,4,dusk_signal_workshop,dusk_signal_workshop:stable:upkeep,v27-354404,True,True,True,False,False,True
