tick_id,day,settlement_id,room_id,action,temperature,wetness,pain,energy,comfort,arousal,body_delta_reason,care_action_available,body_state_visible,localstorage_body_key
0,1,riverbend,arrival court,warm_up,0.555,0.176,0.056,0.714,0.655,0.31558,environmental exposure,True,True,ssrm.v39.body.riverbend
1,1,roofward,arrival court,avoid_hazard,0.584,0.22,0.09,0.714,0.6,0.3177,environmental exposure,True,True,ssrm.v39.body.roofward
2,1,archive,stone stacks,move_east,0.555,0.176,0.056,0.695,0.6,0.31624,environmental exposure,True,True,ssrm.v39.body.archive
3,1,signal,arrival court,pick_up_object,0.584,0.22,0.056,0.714,0.6,0.31668,environmental exposure,True,True,ssrm.v39.body.signal
4,1,orchard,arrival court,talk_resident,0.584,0.176,0.056,0.714,0.626,0.315928,movement effort,True,True,ssrm.v39.body.orchard
5,1,repair_ring,spark lane,wait_for_schedule,0.584,0.22,0.056,0.714,0.6,0.31668,environmental exposure,True,True,ssrm.v39.body.repair_ring
6,1,riverbend,arrival court,pick_up_object,0.53,0.172,0.052,0.708,0.635,0.31124,environmental exposure,True,True,ssrm.v39.body.riverbend
7,1,roofward,arrival court,talk_resident,0.588,0.26,0.086,0.708,0.58,0.31592,environmental exposure,True,True,ssrm.v39.body.roofward
8,1,archive,spool room,wait_for_schedule,0.559,0.172,0.052,0.689,0.606,0.312248,movement effort,True,True,ssrm.v39.body.archive
9,1,signal,arrival court,warm_up,0.614,0.26,0.052,0.708,0.635,0.31322,environmental exposure,True,True,ssrm.v39.body.signal
10,1,orchard,seed lane,avoid_hazard,0.588,0.216,0.086,0.708,0.606,0.313396,environmental exposure,True,True,ssrm.v39.body.orchard
11,1,repair_ring,arrival court,move_east,0.559,0.216,0.052,0.689,0.58,0.31344,environmental exposure,True,True,ssrm.v39.body.repair_ring
12,2,riverbend,arrival court,dry_off,0.505,0.137,0.048,0.702,0.67,0.30601,environmental exposure,True,True,ssrm.v39.body.riverbend
13,2,roofward,warm lane,move_north,0.618,0.256,0.082,0.683,0.586,0.313908,environmental exposure,True,True,ssrm.v39.body.roofward
14,2,archive,spool room,inspect_object,0.563,0.168,0.048,0.683,0.612,0.308024,movement effort,True,True,ssrm.v39.body.archive
15,2,signal,arrival court,place_object,0.618,0.3,0.048,0.702,0.615,0.31028,environmental exposure,True,True,ssrm.v39.body.signal
16,2,orchard,seed lane,ask_dialect_memory,0.592,0.256,0.082,0.702,0.586,0.311384,environmental exposure,True,True,ssrm.v39.body.orchard
17,2,repair_ring,arrival court,rest,0.534,0.212,0.034,0.724,0.615,0.3092,environmental exposure,True,True,ssrm.v39.body.repair_ring
18,2,riverbend,arrival court,place_object,0.48,0.133,0.044,0.696,0.65,0.30086,environmental exposure,True,True,ssrm.v39.body.riverbend
19,2,roofward,warm lane,ask_dialect_memory,0.648,0.252,0.078,0.677,0.592,0.311664,environmental exposure,True,True,ssrm.v39.body.roofward
20,2,archive,spool room,rest,0.567,0.164,0.03,0.718,0.647,0.3028,care/rest action,True,True,ssrm.v39.body.archive
21,2,signal,arrival court,dry_off,0.622,0.34,0.044,0.696,0.65,0.3072,environmental exposure,True,True,ssrm.v39.body.signal
22,2,orchard,market plank,move_north,0.567,0.252,0.078,0.677,0.566,0.309452,environmental exposure,True,True,ssrm.v39.body.orchard
23,2,repair_ring,arrival court,inspect_object,0.509,0.208,0.03,0.718,0.595,0.30504,environmental exposure,True,True,ssrm.v39.body.repair_ring
24,3,riverbend,plank hall,avoid_hazard,0.484,0.173,0.074,0.69,0.63,0.29725,environmental exposure,True,True,ssrm.v39.body.riverbend
25,3,roofward,arrival court,move_east,0.652,0.292,0.074,0.652,0.572,0.30994,environmental exposure,True,True,ssrm.v39.body.roofward
26,3,archive,spool room,pick_up_object,0.571,0.16,0.026,0.712,0.653,0.297344,movement effort,True,True,ssrm.v39.body.archive
27,3,signal,arrival court,talk_resident,0.626,0.38,0.04,0.69,0.63,0.30464,environmental exposure,True,True,ssrm.v39.body.signal
28,3,orchard,satchel shed,wait_for_schedule,0.597,0.248,0.074,0.671,0.572,0.307288,environmental exposure,True,True,ssrm.v39.body.orchard
29,3,repair_ring,arrival court,warm_up,0.484,0.204,0.026,0.712,0.63,0.3003,environmental exposure,True,True,ssrm.v39.body.repair_ring
30,3,riverbend,plank hall,talk_resident,0.488,0.213,0.07,0.684,0.61,0.29416,environmental exposure,True,True,ssrm.v39.body.riverbend
31,3,roofward,warm lane,wait_for_schedule,0.682,0.288,0.07,0.646,0.578,0.307984,environmental exposure,True,True,ssrm.v39.body.roofward
32,3,archive,spool room,warm_up,0.601,0.156,0.022,0.706,0.688,0.291308,care/rest action,True,True,ssrm.v39.body.archive
33,3,signal,arrival court,avoid_hazard,0.63,0.42,0.07,0.684,0.61,0.30362,environmental exposure,True,True,ssrm.v39.body.signal
34,3,orchard,arrival court,move_east,0.601,0.244,0.07,0.646,0.578,0.304892,movement effort,True,True,ssrm.v39.body.orchard
35,3,repair_ring,arrival court,pick_up_object,0.459,0.2,0.022,0.706,0.61,0.29564,environmental exposure,True,True,ssrm.v39.body.repair_ring
36,4,riverbend,dry ridge,move_north,0.492,0.209,0.066,0.659,0.616,0.290838,movement effort,True,True,ssrm.v39.body.riverbend
37,4,roofward,warm lane,inspect_object,0.712,0.284,0.066,0.64,0.584,0.305796,environmental exposure,True,True,ssrm.v39.body.roofward
38,4,archive,spool room,place_object,0.605,0.152,0.018,0.7,0.694,0.28504,movement effort,True,True,ssrm.v39.body.archive
39,4,signal,arrival court,ask_dialect_memory,0.634,0.46,0.066,0.678,0.59,0.30312,environmental exposure,True,True,ssrm.v39.body.signal
40,4,orchard,arrival court,rest,0.605,0.24,0.052,0.681,0.613,0.301496,care/rest action,True,True,ssrm.v39.body.orchard
41,4,repair_ring,arrival court,dry_off,0.434,0.165,0.018,0.7,0.645,0.29009,environmental exposure,True,True,ssrm.v39.body.repair_ring
42,4,riverbend,dry ridge,ask_dialect_memory,0.496,0.205,0.062,0.653,0.622,0.287284,movement effort,True,True,ssrm.v39.body.riverbend
43,4,roofward,warm lane,rest,0.742,0.28,0.048,0.675,0.619,0.302608,environmental exposure,True,True,ssrm.v39.body.roofward
44,4,archive,spool room,dry_off,0.609,0.117,0.014,0.694,0.729,0.277882,care/rest action,True,True,ssrm.v39.body.archive
45,4,signal,lantern walk,move_north,0.638,0.456,0.062,0.653,0.596,0.302388,movement effort,True,True,ssrm.v39.body.signal
46,4,orchard,seed lane,inspect_object,0.609,0.28,0.048,0.675,0.593,0.29862,environmental exposure,True,True,ssrm.v39.body.orchard
47,4,repair_ring,arrival court,place_object,0.409,0.161,0.014,0.694,0.625,0.28462,environmental exposure,True,True,ssrm.v39.body.repair_ring
48,5,riverbend,kit alcove,move_east,0.526,0.201,0.058,0.628,0.628,0.283498,environmental exposure,True,True,ssrm.v39.body.riverbend
49,5,roofward,warm lane,pick_up_object,0.772,0.276,0.044,0.669,0.625,0.299188,environmental exposure,True,True,ssrm.v39.body.roofward
50,5,archive,spool room,talk_resident,0.613,0.113,0.01,0.688,0.735,0.270492,movement effort,True,True,ssrm.v39.body.archive
51,5,signal,arrival court,wait_for_schedule,0.642,0.496,0.058,0.647,0.576,0.302176,environmental exposure,True,True,ssrm.v39.body.signal
52,5,orchard,seed lane,warm_up,0.639,0.32,0.044,0.669,0.628,0.295604,environmental exposure,True,True,ssrm.v39.body.orchard
53,5,repair_ring,wire bench,avoid_hazard,0.439,0.157,0.01,0.688,0.631,0.278918,environmental exposure,True,True,ssrm.v39.body.repair_ring
54,5,riverbend,arrival court,wait_for_schedule,0.501,0.197,0.054,0.622,0.608,0.279792,environmental exposure,True,True,ssrm.v39.body.riverbend
55,5,roofward,warm lane,warm_up,0.802,0.272,0.04,0.663,0.66,0.295188,environmental exposure,True,True,ssrm.v39.body.roofward
56,5,archive,spool room,avoid_hazard,0.617,0.109,0.006,0.682,0.741,0.26287,movement effort,True,True,ssrm.v39.body.archive
57,5,signal,lantern walk,move_east,0.646,0.492,0.054,0.622,0.582,0.301732,movement effort,True,True,ssrm.v39.body.signal
58,5,orchard,market plank,pick_up_object,0.614,0.316,0.04,0.663,0.608,0.292668,environmental exposure,True,True,ssrm.v39.body.orchard
59,5,repair_ring,wire bench,talk_resident,0.469,0.153,0.006,0.682,0.637,0.272984,environmental exposure,True,True,ssrm.v39.body.repair_ring
60,6,riverbend,plank hall,inspect_object,0.505,0.237,0.05,0.616,0.588,0.276606,environmental exposure,True,True,ssrm.v39.body.riverbend
61,6,roofward,warm lane,place_object,0.832,0.268,0.036,0.657,0.666,0.290956,environmental exposure,True,True,ssrm.v39.body.roofward
62,6,archive,spool room,ask_dialect_memory,0.621,0.105,0.002,0.676,0.747,0.255016,movement effort,True,True,ssrm.v39.body.archive
63,6,signal,lantern walk,rest,0.65,0.488,0.036,0.657,0.617,0.300288,care/rest action,True,True,ssrm.v39.body.signal
64,6,orchard,market plank,dry_off,0.589,0.281,0.036,0.657,0.643,0.288842,environmental exposure,True,True,ssrm.v39.body.orchard
65,6,repair_ring,bell alcove,move_north,0.473,0.149,0.002,0.657,0.643,0.266818,movement effort,True,True,ssrm.v39.body.repair_ring
66,6,riverbend,plank hall,rest,0.509,0.277,0.032,0.651,0.623,0.27286,environmental exposure,True,True,ssrm.v39.body.riverbend
67,6,roofward,warm lane,dry_off,0.862,0.233,0.032,0.651,0.701,0.285834,environmental exposure,True,True,ssrm.v39.body.roofward
68,6,archive,ink niche,move_north,0.651,0.101,0.0,0.651,0.753,0.24699,environmental exposure,True,True,ssrm.v39.body.archive
69,6,signal,lantern walk,inspect_object,0.654,0.484,0.032,0.651,0.623,0.298612,movement effort,True,True,ssrm.v39.body.signal
70,6,orchard,satchel shed,place_object,0.619,0.277,0.032,0.651,0.649,0.284784,environmental exposure,True,True,ssrm.v39.body.orchard
71,6,repair_ring,bell alcove,ask_dialect_memory,0.477,0.145,0.0,0.651,0.649,0.26048,movement effort,True,True,ssrm.v39.body.repair_ring
72,7,roofward,ledger loft,place_object,0.866,0.229,0.028,0.645,0.707,0.28048,movement effort,True,True,ssrm.v39.body.roofward
73,7,archive,ink niche,ask_dialect_memory,0.681,0.097,0.0,0.645,0.759,0.238852,environmental exposure,True,True,ssrm.v39.body.archive
74,7,signal,lantern walk,rest,0.658,0.48,0.014,0.686,0.658,0.295936,care/rest action,True,True,ssrm.v39.body.signal
